bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/jar_adjustable_missiles
battle_barrier_health	jar_adjustable_combat__effect__battle_barrier_health__jar_ac_unit_set_global	jar_ac_unit_set_global
battle_barrier_health_mod	jar_adjustable_combat__effect__battle_barrier_health_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
unit_damage_resistance_all_mod	jar_adjustable_combat__effect__unit_damage_resistance_all_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
unit_damage_resistance_flame_mod	jar_adjustable_combat__effect__unit_damage_resistance_flame_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
unit_damage_resistance_magic_mod	jar_adjustable_combat__effect__unit_damage_resistance_magic_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
unit_damage_resistance_missile_mod	jar_adjustable_combat__effect__unit_damage_resistance_missile_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
unit_damage_resistance_physical_mod	jar_adjustable_combat__effect__unit_damage_resistance_physical_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
unit_fatigue_resistance_mod	jar_adjustable_combat__effect__unit_fatigue_resistance_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
unit_mass_percentage_mod	jar_adjustable_combat__effect__unit_mass_percentage_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
xp_gain_rate_mod	jar_adjustable_combat__effect__xp_gain_rate_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
morale	jar_adjustable_combat__effect__morale__jar_ac_unit_set_global	jar_ac_unit_set_global
armour_mod	jar_adjustable_combat__effect__armour_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
armour_mod_mult	jar_adjustable_combat__effect__armour_mod_mult__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_global	jar_ac_unit_set_global
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_global	jar_ac_unit_set_global
