unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!!!!!!!_nanu_dynamic_rors_compat__
			wh_main_emp_art_machine_gun	jar_adj_com_unit_set_chariots_war_machines	false
			wh2_main_hbe_inf_silverhelm_spears	jar_adj_com_unit_set_infantry	false
			wh2_main_hbe_inf_silverhelm_swords	jar_adj_com_unit_set_infantry	false
			wh2_main_hbe_inf_white_lions_spear_company	jar_adj_com_unit_set_infantry	false
			wh2_main_hbe_inf_white_lions_sword_company	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_elven_paladins	jar_adj_com_unit_set_cavalry	false
			wh2_main_hef_elven_paladins_dismounted	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_gol_spear	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_gol_swords	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_highborn_archers	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_highborn_axes	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_highborn_guard	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_highborn_knights	jar_adj_com_unit_set_cavalry	false
			wh2_main_hef_highborn_spears	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_highborn_swords	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_shadow_warriors	jar_adj_com_unit_set_infantry	false
			derpy_emp_tank_bulwark	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_emp_tank_griffon	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_emp_tank_helblaze	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_emp_tank_jagdpanzer	jar_adj_com_unit_set_chariots_war_machines	false
			emp_captain_retinue_1	jar_adj_com_unit_set_infantry	false
			emp_captain_retinue_2	jar_adj_com_unit_set_infantry	false
			emp_captain_retinue_3	jar_adj_com_unit_set_cavalry	false
			emp_captain_retinue_4	jar_adj_com_unit_set_infantry	false
			emp_captain_retinue_5	jar_adj_com_unit_set_infantry	false
			emp_captain_retinue_6	jar_adj_com_unit_set_cavalry	false
			emp_captain_retinue_7	jar_adj_com_unit_set_cavalry	false
			emp_captain_retinue_8	jar_adj_com_unit_set_cavalry	false
			emp_captain_retinue_9	jar_adj_com_unit_set_cavalry	false
			emp_engineer_retinue_1	jar_adj_com_unit_set_infantry	false
			emp_engineer_retinue_2	jar_adj_com_unit_set_infantry	false
			emp_engineer_retinue_3	jar_adj_com_unit_set_cavalry	false
			emp_engineer_retinue_4	jar_adj_com_unit_set_cavalry	false
			emp_general_retinue_1	jar_adj_com_unit_set_infantry	false
			emp_general_retinue_2	jar_adj_com_unit_set_cavalry	false
			emp_general_retinue_3	jar_adj_com_unit_set_cavalry	false
			emp_warrior_priest_retinue_1	jar_adj_com_unit_set_infantry	false
			emp_warrior_priest_retinue_2	jar_adj_com_unit_set_infantry	false
			emp_warrior_priest_retinue_3	jar_adj_com_unit_set_cavalry	false
			emp_warrior_priest_retinue_4	jar_adj_com_unit_set_cavalry	false
			emp_witch_hunter_retinue_1	jar_adj_com_unit_set_infantry	false
			emp_witch_hunter_retinue_2	jar_adj_com_unit_set_infantry	false
			emp_witch_hunter_retinue_3	jar_adj_com_unit_set_infantry	false
			emp_witch_hunter_retinue_4	jar_adj_com_unit_set_cavalry	false
			emp_witch_hunter_retinue_5	jar_adj_com_unit_set_cavalry	false
			ML_Fairlight_LL_brt_armored_sergeants	jar_adj_com_unit_set_infantry	false
			ML_Fairlight_LL_brt_crossbows	jar_adj_com_unit_set_infantry	false
			wh_main_brt_mon_trolls_summ	jar_adj_com_unit_set_monstrous_infantry	false
			azguz_bloodfist_dwarf_warriors	jar_adj_com_unit_set_infantry	false
			black_avangers	jar_adj_com_unit_set_infantry	false
			boris_von_raukov_4th_nuln_halberdiers	jar_adj_com_unit_set_infantry	false
			carlsson_cavalry	jar_adj_com_unit_set_cavalry	false
			carlsson_guard	jar_adj_com_unit_set_infantry	false
			countess_guard	jar_adj_com_unit_set_infantry	false
			dargrimm_firebeard_dwarf_warriors	jar_adj_com_unit_set_infantry	false
			dieter_schaeffer_carroburg_greatswords	jar_adj_com_unit_set_infantry	false
			dwarf_envoy_dwarf_warriors	jar_adj_com_unit_set_infantry	false
			elrod_wood_elf_glade_guards	jar_adj_com_unit_set_infantry	false
			emperors_hellblaster_volley_gun	jar_adj_com_unit_set_chariots_war_machines	false
			flagellants_eusebio_the_bleak	jar_adj_com_unit_set_infantry	false
			galed_elf_archers	jar_adj_com_unit_set_infantry	false
			grail_knights_tristan_de_la_tourtristan_de_la_tour	jar_adj_com_unit_set_cavalry	false
			grudgebringer_cannon	jar_adj_com_unit_set_chariots_war_machines	false
			grudgebringer_cavalry	jar_adj_com_unit_set_cavalry	false
			grudgebringer_crossbow	jar_adj_com_unit_set_infantry	false
			grudgebringer_infantry	jar_adj_com_unit_set_infantry	false
			grudgebringers_wagon	jar_adj_com_unit_set_chariots_war_machines	false
			helmgart_bowmen	jar_adj_com_unit_set_infantry	false
			imperial_cannon_darius_flugenheim	jar_adj_com_unit_set_chariots_war_machines	false
			jurgen_muntz_outlaw_infantry	jar_adj_com_unit_set_infantry	false
			keelers_longbows	jar_adj_com_unit_set_infantry	false
			knights_of_the_realm_bertrand_le_grande	jar_adj_com_unit_set_cavalry	false
			leitdorf_9th_crossbows	jar_adj_com_unit_set_infantry	false
