unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!!!!texag_united_empire__
			Aver_cross	jar_adj_com_unit_set_infantry	false
			Badland_cross	jar_adj_com_unit_set_infantry	false
			hoch_cross	jar_adj_com_unit_set_infantry	false
			Marien_cross	jar_adj_com_unit_set_infantry	false
			Midden_cross	jar_adj_com_unit_set_infantry	false
			Nord_cross	jar_adj_com_unit_set_infantry	false
			Oster_cross	jar_adj_com_unit_set_infantry	false
			Ostl_cross	jar_adj_com_unit_set_infantry	false
			Reik_cross	jar_adj_com_unit_set_infantry	false
			Southland_cross	jar_adj_com_unit_set_infantry	false
			Stir_cross	jar_adj_com_unit_set_infantry	false
			Tala_cross	jar_adj_com_unit_set_infantry	false
			Wissen_cross	jar_adj_com_unit_set_infantry	false
			carro_cross	jar_adj_com_unit_set_infantry	false
			Aver_greatswords	jar_adj_com_unit_set_infantry	false
			Badland_greatswords	jar_adj_com_unit_set_infantry	false
			hoch_greatswords	jar_adj_com_unit_set_infantry	false
			Marien_greatswords	jar_adj_com_unit_set_infantry	false
			Midden_greatswords	jar_adj_com_unit_set_infantry	false
			Nord_greatswords	jar_adj_com_unit_set_infantry	false
			Oster_greatswords	jar_adj_com_unit_set_infantry	false
			Ostl_greatswords	jar_adj_com_unit_set_infantry	false
			Reik_greatswords	jar_adj_com_unit_set_infantry	false
			Southland_greatswords	jar_adj_com_unit_set_infantry	false
			Stir_greatswords	jar_adj_com_unit_set_infantry	false
			Tala_greatswords	jar_adj_com_unit_set_infantry	false
			Wissen_greatswords	jar_adj_com_unit_set_infantry	false
			carro_greatswords	jar_adj_com_unit_set_infantry	false
			Aver_hand	jar_adj_com_unit_set_infantry	false
			Badland_hand	jar_adj_com_unit_set_infantry	false
			hoch_hand	jar_adj_com_unit_set_infantry	false
			Marien_hand	jar_adj_com_unit_set_infantry	false
			Midden_hand	jar_adj_com_unit_set_infantry	false
			Nord_hand	jar_adj_com_unit_set_infantry	false
			Oster_hand	jar_adj_com_unit_set_infantry	false
			Ostl_hand	jar_adj_com_unit_set_infantry	false
			Reik_hand	jar_adj_com_unit_set_infantry	false
			Southland_hand	jar_adj_com_unit_set_infantry	false
			Stir_hand	jar_adj_com_unit_set_infantry	false
			Tala_hand	jar_adj_com_unit_set_infantry	false
			Wissen_hand	jar_adj_com_unit_set_infantry	false
			carro_hand	jar_adj_com_unit_set_infantry	false
			Aver_halberdiers	jar_adj_com_unit_set_infantry	false
			Badland_halberdiers	jar_adj_com_unit_set_infantry	false
			hoch_halberdiers	jar_adj_com_unit_set_infantry	false
			Marien_halberdiers	jar_adj_com_unit_set_infantry	false
			Midden_halberdiers	jar_adj_com_unit_set_infantry	false
			Nord_halberdiers	jar_adj_com_unit_set_infantry	false
			Oster_halberdiers	jar_adj_com_unit_set_infantry	false
			Ostl_halberdiers	jar_adj_com_unit_set_infantry	false
			Reik_halberdiers	jar_adj_com_unit_set_infantry	false
			Southland_halberdiers	jar_adj_com_unit_set_infantry	false
			Stir_halberdiers	jar_adj_com_unit_set_infantry	false
			Tala_halberdiers	jar_adj_com_unit_set_infantry	false
			Wissen_halberdiers	jar_adj_com_unit_set_infantry	false
			carro_halberdiers	jar_adj_com_unit_set_infantry	false
			Aver_knights	jar_adj_com_unit_set_cavalry	false
			Badland_knights	jar_adj_com_unit_set_cavalry	false
			Estalia_knights	jar_adj_com_unit_set_cavalry	false
			hoch_knights	jar_adj_com_unit_set_cavalry	false
			Marien_knights	jar_adj_com_unit_set_cavalry	false
			Midden_knights	jar_adj_com_unit_set_cavalry	false
			Nord_knights	jar_adj_com_unit_set_cavalry	false
			Oster_knights	jar_adj_com_unit_set_cavalry	false
			Ostl_knights	jar_adj_com_unit_set_cavalry	false
			Reik_knights	jar_adj_com_unit_set_cavalry	false
			Southland_knights	jar_adj_com_unit_set_cavalry	false
			Stir_knights	jar_adj_com_unit_set_cavalry	false
			Tala_knights	jar_adj_com_unit_set_cavalry	false
			Wissen_knights	jar_adj_com_unit_set_cavalry	false
			carro_knights	jar_adj_com_unit_set_cavalry	false
			Altdorf_swordsmen	jar_adj_com_unit_set_infantry	false
			Aver_swordsmen	jar_adj_com_unit_set_infantry	false
			Badland_swordsmen	jar_adj_com_unit_set_infantry	false
			carro_swordsmen	jar_adj_com_unit_set_infantry	false
			hoch_swordsmen	jar_adj_com_unit_set_infantry	false
			Marien_swordsmen	jar_adj_com_unit_set_infantry	false
			Midden_swordsmen	jar_adj_com_unit_set_infantry	false
			Nord_swordsmen	jar_adj_com_unit_set_infantry	false
			Oster_swordsmen	jar_adj_com_unit_set_infantry	false
			Ostl_swordsmen	jar_adj_com_unit_set_infantry	false
			Reik_swordsmen	jar_adj_com_unit_set_infantry	false
			Southland_swordsmen	jar_adj_com_unit_set_infantry	false
			Stir_swordsmen	jar_adj_com_unit_set_infantry	false
			Tala_swordsmen	jar_adj_com_unit_set_infantry	false
			Wissen_swordsmen	jar_adj_com_unit_set_infantry	false
			Aver_spearmen_0	jar_adj_com_unit_set_infantry	false
			Aver_spearmen_1	jar_adj_com_unit_set_infantry	false
			Badland_spearmen_1	jar_adj_com_unit_set_infantry	false
			carro_spearmen_0	jar_adj_com_unit_set_infantry	false
			carro_spearmen_1	jar_adj_com_unit_set_infantry	false
			hoch_spearmen_0	jar_adj_com_unit_set_infantry	false
			hoch_spearmen_1	jar_adj_com_unit_set_infantry	false
			Marien_spearemen_0	jar_adj_com_unit_set_infantry	false
			Marien_spearmen_1	jar_adj_com_unit_set_infantry	false
			Midden_spearmen_0	jar_adj_com_unit_set_infantry	false
			Midden_spearmen_1	jar_adj_com_unit_set_infantry	false
			Nord_spearmen_0	jar_adj_com_unit_set_infantry	false
			Nord_spearmen_1	jar_adj_com_unit_set_infantry	false
			Oster_spearmen_0	jar_adj_com_unit_set_infantry	false
			Oster_spearmen_1	jar_adj_com_unit_set_infantry	false
			Ostl_spearmen_0	jar_adj_com_unit_set_infantry	false
			Ostl_spearmen_1	jar_adj_com_unit_set_infantry	false
			Reik_spearmen_0	jar_adj_com_unit_set_infantry	false
			Reik_spearmen_1	jar_adj_com_unit_set_infantry	false
			Southland_spearmen_0	jar_adj_com_unit_set_infantry	false
			Southland_spearmen_1	jar_adj_com_unit_set_infantry	false
			Stir_spearmen_0	jar_adj_com_unit_set_infantry	false
			Stir_spearmen_1	jar_adj_com_unit_set_infantry	false
			Tala_spearmen_0	jar_adj_com_unit_set_infantry	false
			Tala_spearmen_1	jar_adj_com_unit_set_infantry	false
			Wissen_spearmen_0	jar_adj_com_unit_set_infantry	false
			Wissen_spearmen_1	jar_adj_com_unit_set_infantry	false
			Aver_outriders	jar_adj_com_unit_set_cavalry	false
			Aver_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Reik_outriders	jar_adj_com_unit_set_cavalry	false
			carro_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Stir_outriders	jar_adj_com_unit_set_cavalry	false
			hoch_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Wiss_outriders	jar_adj_com_unit_set_cavalry	false
			Marien_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			carro_outriders	jar_adj_com_unit_set_cavalry	false
			Midden_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Marien_outriders	jar_adj_com_unit_set_cavalry	false
			Nor_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			hoch_outriders	jar_adj_com_unit_set_cavalry	false
			Osl_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Ost_outriders	jar_adj_com_unit_set_cavalry	false
			Ost_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Midden_outriders	jar_adj_com_unit_set_cavalry	false
			Reik_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Osl_outriders	jar_adj_com_unit_set_cavalry	false
			Stir_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Tal_outriders	jar_adj_com_unit_set_cavalry	false
			Tal_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Nor_outriders	jar_adj_com_unit_set_cavalry	false
			Wiss_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Syl_outriders_grenade_launcher	jar_adj_com_unit_set_cavalry	false
			Nor_pistols	jar_adj_com_unit_set_cavalry	false
			Midden_pistols	jar_adj_com_unit_set_cavalry	false
			carro_pistols	jar_adj_com_unit_set_cavalry	false
			Marien_pistols	jar_adj_com_unit_set_cavalry	false
			hoch_pistols	jar_adj_com_unit_set_cavalry	false
			Tal_pistols	jar_adj_com_unit_set_cavalry	false
			Ost_pistols	jar_adj_com_unit_set_cavalry	false
			Osl_pistols	jar_adj_com_unit_set_cavalry	false
			Stir_pistols	jar_adj_com_unit_set_cavalry	false
			Aver_pistols	jar_adj_com_unit_set_cavalry	false
			Wiss_pistols	jar_adj_com_unit_set_cavalry	false
			Reik_pistols	jar_adj_com_unit_set_cavalry	false
