unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!!scm_motm__
			um_ogr_flamefang_cavalry	jar_adj_com_unit_set_cavalry	false
			um_ogr_flamefang_cavalry_summoned	jar_adj_com_unit_set_cavalry	false
			um_ogr_morg_ironguts_ror	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flamewarrior	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flameeater_hammer	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flameeater_pistol	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_flamegut	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flame_spirits	jar_adj_com_unit_set_war_beasts	false
			ogr_flame_spirits_summoned	jar_adj_com_unit_set_war_beasts	false
			ogr_flame_thrower	jar_adj_com_unit_set_monstrous_infantry	false
			motm_ogr_pit_fighters	jar_adj_com_unit_set_monstrous_infantry	false
			motm_ogr_pit_fighters_cavalry	jar_adj_com_unit_set_cavalry	false
			um_ogr_pit_champions	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_pit_champions_mount	jar_adj_com_unit_set_cavalry	false
			motm_beastclad_reavers	jar_adj_com_unit_set_monstrous_infantry	false
			motm_jhared_feral_mournfang	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_rhinox	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_stonehorn	jar_adj_com_unit_set_single_entities	false
			motm_jhared_feral_thundertusk	jar_adj_com_unit_set_single_entities	false
			motm_jhared_crabs	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_boars	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_great_stag	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_pegasus	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_griffon	jar_adj_com_unit_set_single_entities	false
			motm_jhared_leviathan	jar_adj_com_unit_set_single_entities	false
