unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!TW_Millennium_Public__
			wh_twm_emp_building_field_headquarter_t5	jar_adj_com_unit_set_chariots_war_machines	false
			wh_twm_emp_building_field_barracks_t5	jar_adj_com_unit_set_chariots_war_machines	false
			wh_twm_emp_building_artillery_depot_t5	jar_adj_com_unit_set_chariots_war_machines	false
			wh_twm_emp_building_field_hospital_t5	jar_adj_com_unit_set_chariots_war_machines	false
			wh_twm_emp_building_ammo_bunker_t5	jar_adj_com_unit_set_chariots_war_machines	false
			wh_twm_emp_building_maintenance_depot_t5	jar_adj_com_unit_set_chariots_war_machines	false
			wh_twm_emp_inf_specialist_rifle_grenadier_mid	jar_adj_com_unit_set_single_entities	false
			wh_twm_brt_inf_modern_rifle_infantry_early	jar_adj_com_unit_set_infantry	false
			wh_twm_brt_inf_modern_rifle_infantry_mid	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_militia_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_rifle_infantry_early	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_rifle_infantry_mid	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_rifle_infantry_late	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_field_pioneers_early	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_field_pioneers_late	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_fortress_pioneers	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_base_engineers	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_vanguard_infantry_early	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_vanguard_infantry_late	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_mountain_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_marine_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_colonial_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_sharpshooter_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_tank_rifle_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_flamer_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_shock_infantry_early	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_shock_infantry_late	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_airborne_infantry	jar_adj_com_unit_set_infantry	false
			wh_twm_emp_inf_modern_battle_wizards	jar_adj_com_unit_set_infantry	false
