unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!cr_skaven_unit_dumping_ground__
			pj_dummy_summoned_behemoth	jar_adj_com_unit_set_single_entities	false
			cr_skv_mon_stormfiend_0	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_1	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_ror_tech_lab_0	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_ror_tech_lab_1	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_3	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_4	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_2	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_5	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_6	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_stormfiend_ror_tech_lab_2	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_chimaerat_0	jar_adj_com_unit_set_single_entities	false
			cr_skv_mon_chimaerat_0_flesh_lab	jar_adj_com_unit_set_single_entities	false
			cr_skv_mon_aberrations_0	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_aberrations_0_flesh_lab	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_giant_rats_0	jar_adj_com_unit_set_war_beasts	false
			cr_skv_mon_giant_rats_0_flesh_lab	jar_adj_com_unit_set_war_beasts	false
			cr_skv_mon_burrowing_behemoth_0	jar_adj_com_unit_set_single_entities	false
			cr_skv_mon_burrowing_behemoth_0_flesh_lab	jar_adj_com_unit_set_single_entities	false
			cr_skv_mon_armoured_rat_ogre_0	jar_adj_com_unit_set_monstrous_infantry	false
			cr_skv_mon_armoured_rat_ogre_0_flesh_lab	jar_adj_com_unit_set_monstrous_infantry	false
