unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!landmarks_of_legend_wh3__
			nor_shieldman	jar_adj_com_unit_set_infantry	false
			baerson_warrior	jar_adj_com_unit_set_infantry	false
			nor_champions_khorne	jar_adj_com_unit_set_infantry	false
			albino_guard	jar_adj_com_unit_set_infantry	false
			hellbeast	jar_adj_com_unit_set_single_entities	false
			mortar_salvaged	jar_adj_com_unit_set_chariots_war_machines	false
			helstorm_salvaged	jar_adj_com_unit_set_chariots_war_machines	false
			great_cannon_salvaged	jar_adj_com_unit_set_chariots_war_machines	false
			volley_gun_salvaged	jar_adj_com_unit_set_chariots_war_machines	false
			man_slave	jar_adj_com_unit_set_infantry	false
			goblin_slave_spears	jar_adj_com_unit_set_infantry	false
			goblin_slave_archers	jar_adj_com_unit_set_infantry	false
			treecherik_clanrats	jar_adj_com_unit_set_infantry	false
			tmb_cold_one_chariots	jar_adj_com_unit_set_chariots_war_machines	false
			tmb_saurus_warriors_aux_0	jar_adj_com_unit_set_infantry	false
			tmb_saurus_warriors_aux_1	jar_adj_com_unit_set_infantry	false
			tmb_undead_bolt_thrower	jar_adj_com_unit_set_chariots_war_machines	false
			hef_honour_guard	jar_adj_com_unit_set_infantry	false
			hef_laurelorn_spears	jar_adj_com_unit_set_infantry	false
			hef_eonir_stags	jar_adj_com_unit_set_cavalry	false
			hef_free_company	jar_adj_com_unit_set_infantry	false
			seafarers	jar_adj_com_unit_set_infantry	false
			mother_flame	jar_adj_com_unit_set_single_entities	false
			phoenix_riders	jar_adj_com_unit_set_war_beasts	false
			bearded_skull_miners	jar_adj_com_unit_set_infantry	false
			sons_of_gunnisson	jar_adj_com_unit_set_infantry	false
			azul_guard	jar_adj_com_unit_set_infantry	false
			greybeard_mining_drill	jar_adj_com_unit_set_chariots_war_machines	false
			ulthers_dragon_company	jar_adj_com_unit_set_infantry	false
			dwf_nor_marauder_champions_1	jar_adj_com_unit_set_infantry	false
			dec_inq_lahmian	jar_adj_com_unit_set_infantry	false
			lahmian_ror	jar_adj_com_unit_set_infantry	false
			ghost_swordsmen	jar_adj_com_unit_set_infantry	false
			vmp_bearded_skull_miners	jar_adj_com_unit_set_infantry	false
			undead_ogre	jar_adj_com_unit_set_monstrous_infantry	false
			vmp_swordsmen	jar_adj_com_unit_set_infantry	false
			vmp_greastswords	jar_adj_com_unit_set_infantry	false
			vmp_reiksguard	jar_adj_com_unit_set_cavalry	false
			damned_grail_knights	jar_adj_com_unit_set_cavalry	false
			red_abbey_monks	jar_adj_com_unit_set_infantry	false
			cuileux_knights	jar_adj_com_unit_set_cavalry	false
			vmp_jade_warriors_0	jar_adj_com_unit_set_infantry	false
			vmp_jade_warriors_1	jar_adj_com_unit_set_infantry	false
			vmp_jade_crossbowmen_0	jar_adj_com_unit_set_infantry	false
			vmp_jade_crossbowmen_1	jar_adj_com_unit_set_infantry	false
			stonewraith_wights	jar_adj_com_unit_set_infantry	false
			hanged_men	jar_adj_com_unit_set_infantry	false
			rackspire_dead	jar_adj_com_unit_set_infantry	false
			the_hungry	jar_adj_com_unit_set_infantry	false
			the_arisen	jar_adj_com_unit_set_infantry	false
			the_wretches	jar_adj_com_unit_set_infantry	false
			no_name_legion	jar_adj_com_unit_set_infantry	false
			green_skulls	jar_adj_com_unit_set_infantry	false
			doomed_legion	jar_adj_com_unit_set_infantry	false
			red_death_knights	jar_adj_com_unit_set_cavalry	false
			helmuts_own	jar_adj_com_unit_set_infantry	false
			dwarf_skeletons_1	jar_adj_com_unit_set_infantry	false
			vmp_depth_guard_0	jar_adj_com_unit_set_infantry	false
			vmp_depth_guard_1	jar_adj_com_unit_set_infantry	false
			nightmare_legion	jar_adj_com_unit_set_infantry	false
			ethereal_saurus_spearmen_1	jar_adj_com_unit_set_infantry	false
			ethereal_saurus_warriors_1	jar_adj_com_unit_set_infantry	false
			vmp_imperial_dragon	jar_adj_com_unit_set_single_entities	false
			twelve_arms_assassins	jar_adj_com_unit_set_infantry	false
			gutbusters_gutbusters	jar_adj_com_unit_set_monstrous_infantry	false
			HUM_miners_0	jar_adj_com_unit_set_infantry	false
			HUM_miners_1	jar_adj_com_unit_set_infantry	false
			garrison_cth_peasant_spearmen_1	jar_adj_com_unit_set_infantry	false
			sir_baldrin_reliquae	jar_adj_com_unit_set_single_entities	false
			le_grande_knights	jar_adj_com_unit_set_cavalry	false
			braconniers	jar_adj_com_unit_set_infantry	false
			braconnier_horsemen	jar_adj_com_unit_set_cavalry	false
			jacometta_knights	jar_adj_com_unit_set_cavalry	false
			cathay_ogres	jar_adj_com_unit_set_monstrous_infantry	false
			exiled_squires	jar_adj_com_unit_set_infantry	false
			cst_leadbelchers	jar_adj_com_unit_set_monstrous_infantry	false
			cst_maneater_0	jar_adj_com_unit_set_monstrous_infantry	false
			cst_maneater_1	jar_adj_com_unit_set_monstrous_infantry	false
			cst_maneater_2	jar_adj_com_unit_set_monstrous_infantry	false
			cst_maneater_3	jar_adj_com_unit_set_monstrous_infantry	false
			sartosan_handgunners	jar_adj_com_unit_set_infantry	false
			damned_knights_errant_2	jar_adj_com_unit_set_cavalry	false
			damned_knights_of_the_realm	jar_adj_com_unit_set_cavalry	false
			damned_questing_knights_0	jar_adj_com_unit_set_cavalry	false
			cst_undead_ogre	jar_adj_com_unit_set_monstrous_infantry	false
			khorne_horsemen	jar_adj_com_unit_set_cavalry	false
			axe_brothers	jar_adj_com_unit_set_infantry	false
			chd_skaven_labourers	jar_adj_com_unit_set_infantry	false
			dragonling_pack	jar_adj_com_unit_set_single_entities	false
			worldroot_serpent	jar_adj_com_unit_set_single_entities	false
			wef_hydra	jar_adj_com_unit_set_single_entities	false
			wef_flamespyre	jar_adj_com_unit_set_single_entities	false
			nur_nurgle_devotees	jar_adj_com_unit_set_infantry	false
			nur_lepers	jar_adj_com_unit_set_infantry	false
			children_of_doom	jar_adj_com_unit_set_infantry	false
			ruin_trolls	jar_adj_com_unit_set_monstrous_infantry	false
			nur_pox_bowmen	jar_adj_com_unit_set_infantry	false
			expedition_archers	jar_adj_com_unit_set_infantry	false
			colonial_militia	jar_adj_com_unit_set_infantry	false
			westland_hunters	jar_adj_com_unit_set_infantry	false
			freebooters	jar_adj_com_unit_set_infantry	false
			wlc_guard	jar_adj_com_unit_set_infantry	false
			emp_queen_bess	jar_adj_com_unit_set_chariots_war_machines	false
			badland_rangers	jar_adj_com_unit_set_infantry	false
			dalmark_militia	jar_adj_com_unit_set_infantry	false
			dalmark_gunners	jar_adj_com_unit_set_infantry	false
			imperial_dragon	jar_adj_com_unit_set_single_entities	false
			emp_saurus_spearmen_0	jar_adj_com_unit_set_infantry	false
			emp_skink_cohort_0	jar_adj_com_unit_set_infantry	false
			emp_skink_skirmishers_0	jar_adj_com_unit_set_infantry	false
			emp_cold_ones_1	jar_adj_com_unit_set_cavalry	false
			emp_terradon_riders_0	jar_adj_com_unit_set_cavalry	false
			emp_chameleon_skinks_0	jar_adj_com_unit_set_infantry	false
			emp_carnosaur_0	jar_adj_com_unit_set_single_entities	false
			emp_ancient_stegadon	jar_adj_com_unit_set_single_entities	false
			emp_chameleon_stalkers_0	jar_adj_com_unit_set_infantry	false
			emp_kroxigors	jar_adj_com_unit_set_monstrous_infantry	false
			emp_ice_guard_1	jar_adj_com_unit_set_infantry	false
			emp_gryphon_legion	jar_adj_com_unit_set_cavalry	false
			gleaming_shield_knights	jar_adj_com_unit_set_cavalry	false
