unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!scm_legendary__
			str_ironarm_crimson_death	jar_adj_com_unit_set_single_entities	false
			wh2_dlc15_grn_mnt_arachnarok_spider_red_moon	jar_adj_com_unit_set_single_entities	false
			kou_laddrielle_wolves	jar_adj_com_unit_set_war_beasts	false
			kou_eonir_explorers	jar_adj_com_unit_set_infantry	false
			kou_queen_ror_treekin	jar_adj_com_unit_set_monstrous_infantry	false
			kou_elf_wolf_rider	jar_adj_com_unit_set_single_entities	false
			camera_skelly_bones	jar_adj_com_unit_set_single_entities	false
			werebear_werebearus	jar_adj_com_unit_set_single_entities	false
			bear_dead_baron	jar_adj_com_unit_set_single_entities	false
			dust_gutrot_blight_kings	jar_adj_com_unit_set_monstrous_infantry	false
			dust_gutrot_flies_summon	jar_adj_com_unit_set_monstrous_infantry	false
			dust_gutrot_flies_riders_summon	jar_adj_com_unit_set_cavalry	false
			kou_bowmen_units	jar_adj_com_unit_set_infantry	false
			kou_meadow_chariot_ror	jar_adj_com_unit_set_chariots_war_machines	false
			kys_kho_wrathmonger_ror	jar_adj_com_unit_set_infantry	false
			kho_skullreaper_kys	jar_adj_com_unit_set_infantry	false
			kys_kho_wrathmonger	jar_adj_com_unit_set_infantry	false
			phy_sea_axes	jar_adj_com_unit_set_infantry	false
			str_chronos_knights	jar_adj_com_unit_set_cavalry	false
			str_herumar_hounds	jar_adj_com_unit_set_war_beasts	false
			str_kaarn_totem	jar_adj_com_unit_set_chariots_war_machines	false
			str_khoros_hounds	jar_adj_com_unit_set_cavalry	false
			dead_grigori_wolf	jar_adj_com_unit_set_single_entities	false
			str_braugh_spirit_slave	jar_adj_com_unit_set_infantry	false
			str_braugh_rage_slave	jar_adj_com_unit_set_infantry	false
			str_braugh_bomb_slave	jar_adj_com_unit_set_single_entities	false
			str_braugh_aura_slave	jar_adj_com_unit_set_infantry	false
			str_katerina_tabby	jar_adj_com_unit_set_single_entities	false
			wh2_skv_mors_redguard_ror	jar_adj_com_unit_set_infantry	false
			str_nastasya_ice_guard_0	jar_adj_com_unit_set_infantry	false
			str_nastasya_ice_guard_1	jar_adj_com_unit_set_infantry	false
			hunt_dwf_slayer_pirates_0	jar_adj_com_unit_set_infantry	false
			hunt_dwf_riggers_0	jar_adj_com_unit_set_infantry	false
			hunt_goblin_mob	jar_adj_com_unit_set_infantry	false
			hunt_boyz_mob	jar_adj_com_unit_set_infantry	false
			hunt_savage_mob	jar_adj_com_unit_set_infantry	false
			str_rahtep_cairn_sum	jar_adj_com_unit_set_infantry	false
			str_sayl_nightmaw	jar_adj_com_unit_set_single_entities	false
			str_vaslo_rampagers	jar_adj_com_unit_set_cavalry	false
			str_lc_verminkin_mro	jar_adj_com_unit_set_single_entities	false
