unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__!scm_marienburg__
			hkrul_mar_inf_boogschutter	jar_adj_com_unit_set_infantry	false
			hkrul_mar_inf_crossbow	jar_adj_com_unit_set_infantry	false
			hkrul_mar_inf_greatsword	jar_adj_com_unit_set_infantry	false
			hkrul_mar_inf_halberd	jar_adj_com_unit_set_infantry	false
			hkrul_mar_inf_handgun	jar_adj_com_unit_set_infantry	false
			hkrul_mar_inf_swords	jar_adj_com_unit_set_infantry	false
			hkrul_mar_inf_goedendagers	jar_adj_com_unit_set_infantry	false
			hkrul_mar_riverwarden	jar_adj_com_unit_set_infantry	false
			hkrul_mar_qual	jar_adj_com_unit_set_infantry	false
			hkrul_mar_qual_great	jar_adj_com_unit_set_infantry	false
			hkrul_mar_black_caps	jar_adj_com_unit_set_infantry	false
			hkrul_carriers	jar_adj_com_unit_set_single_entities	false
			hkrul_burgher	jar_adj_com_unit_set_infantry	false
			hkrul_privateers_dual_swords	jar_adj_com_unit_set_infantry	false
			hkrul_mar_handguns	jar_adj_com_unit_set_infantry	false
			hkrul_privateers	jar_adj_com_unit_set_infantry	false
			hkrul_mar_inf_cairn_wraiths_summoned_0	jar_adj_com_unit_set_infantry	false
			hkrul_mar_knights_mariner	jar_adj_com_unit_set_infantry	false
			hkrul_mar_knights_mariner_fmc	jar_adj_com_unit_set_infantry	false
			hkrul_manann_flagellant	jar_adj_com_unit_set_infantry	false
			hkrul_mar_defenders	jar_adj_com_unit_set_infantry	false
			rhox_mar_cst_inf_sartosa_free_company_0	jar_adj_com_unit_set_infantry	false
			rhox_mar_cst_inf_sartosa_militia_0	jar_adj_com_unit_set_infantry	false
			hkrul_pion	jar_adj_com_unit_set_infantry	false
			hkrul_klumpf	jar_adj_com_unit_set_infantry	false
			hkrul_carriers_ror	jar_adj_com_unit_set_single_entities	false
			hkrul_mar_art_paixhan_ror	jar_adj_com_unit_set_chariots_war_machines	false
			hkrul_mar_mananns_blades_ror	jar_adj_com_unit_set_infantry	false
			hkrul_mar_bordermen_ror	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_teuling	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_talons	jar_adj_com_unit_set_infantry	false
			hkrul_fooger_ror	jar_adj_com_unit_set_infantry	false
			hkrul_mar_riverwarden_ror	jar_adj_com_unit_set_infantry	false
			hkrul_mar_naval_paixhan	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_mar_inf_knights_mariner_0	jar_adj_com_unit_set_infantry	false
			hkrul_mar_cav_rijders	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_cav_rijders_crossbow	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_sons_of_manann	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_culverin	jar_adj_com_unit_set_chariots_war_machines	false
			hkrul_mar_hellblaster	jar_adj_com_unit_set_chariots_war_machines	false
			hkrul_mar_knights_griffon	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_mortar	jar_adj_com_unit_set_chariots_war_machines	false
			hkrul_mar_hellstorm	jar_adj_com_unit_set_chariots_war_machines	false
			hkrul_mar_cleansing_flame	jar_adj_com_unit_set_cavalry	false
