unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__@exp_roster_compilation__
			str_urgat_wolf_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			deco_chd_acolytes	jar_adj_com_unit_set_infantry	false
			deco_chd_zealots	jar_adj_com_unit_set_infantry	false
			deco_chd_ogre_slaves	jar_adj_com_unit_set_monstrous_infantry	false
			deco_chd_naphtha	jar_adj_com_unit_set_infantry	false
			deco_chd_lava_trolls	jar_adj_com_unit_set_monstrous_infantry	false
			deco_chd_ravagers	jar_adj_com_unit_set_cavalry	false
			deco_chd_quarrellers	jar_adj_com_unit_set_infantry	false
			deco_chd_annihilators	jar_adj_com_unit_set_infantry	false
			deco_chd_siege_giant	jar_adj_com_unit_set_single_entities	false
			deco_chd_gnoblar_slaves	jar_adj_com_unit_set_infantry	false
			dwf_kou_dreadnaught	jar_adj_com_unit_set_chariots_war_machines	false
			dec_spirit_host	jar_adj_com_unit_set_infantry	false
			dec_reapers	jar_adj_com_unit_set_infantry	false
			dec_lahmian	jar_adj_com_unit_set_infantry	false
			dec_hell_knights	jar_adj_com_unit_set_cavalry	false
			dec_kastellans	jar_adj_com_unit_set_cavalry	false
			deco_nor_pit	jar_adj_com_unit_set_infantry	false
			deco_nor_reavers	jar_adj_com_unit_set_infantry	false
			deco_nor_huskarls	jar_adj_com_unit_set_infantry	false
			deco_nor_bondsmen	jar_adj_com_unit_set_infantry	false
			deco_nor_maidens	jar_adj_com_unit_set_infantry	false
			deco_nor_hydra	jar_adj_com_unit_set_single_entities	false
			deco_nor_wolf	jar_adj_com_unit_set_single_entities	false
			deco_nor_valkyrie	jar_adj_com_unit_set_single_entities	false
			dec_bestigor_dual_axe	jar_adj_com_unit_set_infantry	false
			dec_gor_great_axe	jar_adj_com_unit_set_infantry	false
			dec_gouge_horns	jar_adj_com_unit_set_infantry	false
			dec_ogre_bulls_gw	jar_adj_com_unit_set_monstrous_infantry	false
			dec_giantbreakers	jar_adj_com_unit_set_monstrous_infantry	false
			dec_rhinox_bull	jar_adj_com_unit_set_single_entities	false
			dec_ice_mammoth	jar_adj_com_unit_set_single_entities	false
			dec_ember_drake	jar_adj_com_unit_set_single_entities	false
			deco_bugman_thrower	jar_adj_com_unit_set_chariots_war_machines	false
			deco_irondrakes_drakefire	jar_adj_com_unit_set_infantry	false
			deco_hammerers_dual	jar_adj_com_unit_set_infantry	false
			deco_old_guard	jar_adj_com_unit_set_infantry	false
			deco_prospectors	jar_adj_com_unit_set_infantry	false
			dec_magma_dragon	jar_adj_com_unit_set_single_entities	false
			dec_tower_masters	jar_adj_com_unit_set_infantry	false
			dec_lords_oblivion	jar_adj_com_unit_set_cavalry	false
			dec_hunters_anath_raema	jar_adj_com_unit_set_infantry	false
			deco_meadow_chariots	jar_adj_com_unit_set_chariots_war_machines	false
			deco_glade_knights	jar_adj_com_unit_set_cavalry	false
			deco_wind_riders	jar_adj_com_unit_set_cavalry	false
			deco_handmaidens_torothal	jar_adj_com_unit_set_infantry	false
			deco_dryads_willow	jar_adj_com_unit_set_infantry	false
			deco_wildwood_wardens	jar_adj_com_unit_set_infantry	false
			deco_dryads_willow_malicious	jar_adj_com_unit_set_infantry	false
			deco_griffon_knights	jar_adj_com_unit_set_cavalry	false
			deco_high_helms	jar_adj_com_unit_set_cavalry	false
			deco_bladelords	jar_adj_com_unit_set_infantry	false
			deco_skywardens	jar_adj_com_unit_set_cavalry	false
			deco_avelorn_maidens	jar_adj_com_unit_set_infantry	false
			deco_forest_goblin_archers	jar_adj_com_unit_set_infantry	false
			deco_night_goblin_spears	jar_adj_com_unit_set_infantry	false
			deco_forest_goblin_swords	jar_adj_com_unit_set_infantry	false
			deco_forest_goblin_spears	jar_adj_com_unit_set_infantry	false
			deco_snotlings	jar_adj_com_unit_set_infantry	false
			deco_hill_goblins	jar_adj_com_unit_set_infantry	false
			deco_armored_colossal_squig	jar_adj_com_unit_set_single_entities	false
			deco_savage_orc_spears	jar_adj_com_unit_set_infantry	false
			deco_savage_big_uns_gw	jar_adj_com_unit_set_infantry	false
			deco_black_orc_dual	jar_adj_com_unit_set_infantry	false
			deco_savage_giant	jar_adj_com_unit_set_single_entities	false
			deco_big_uns_shields	jar_adj_com_unit_set_infantry	false
			grn_poop	jar_adj_com_unit_set_cavalry	false
			deco_shielded_halberdiers	jar_adj_com_unit_set_infantry	false
			deco_doom_prophets	jar_adj_com_unit_set_infantry	false
			deco_knights_lynx	jar_adj_com_unit_set_cavalry	false
			deco_ironsides	jar_adj_com_unit_set_infantry	false
			deco_roadwardens	jar_adj_com_unit_set_cavalry	false
