unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__@xou_emp__
			wh_main_emp_cav_outriders_1	jar_adj_com_unit_set_cavalry	false
			rek_inf_crossbowmen	jar_adj_com_unit_set_infantry	false
			rek_inf_greatswords	jar_adj_com_unit_set_infantry	false
			rek_inf_halberdiers	jar_adj_com_unit_set_infantry	false
			rek_inf_handgunners	jar_adj_com_unit_set_infantry	false
			rek_inf_spearmen_0	jar_adj_com_unit_set_infantry	false
			rek_inf_spearmen_1	jar_adj_com_unit_set_infantry	false
			rek_inf_swordsmen	jar_adj_com_unit_set_infantry	false
			tab_inf_crossbowmen	jar_adj_com_unit_set_infantry	false
			tab_inf_greatswords	jar_adj_com_unit_set_infantry	false
			tab_inf_halberdiers	jar_adj_com_unit_set_infantry	false
			tab_inf_handgunners	jar_adj_com_unit_set_infantry	false
			tab_inf_spearmen_0	jar_adj_com_unit_set_infantry	false
			tab_inf_spearmen_1	jar_adj_com_unit_set_infantry	false
			tab_inf_swordsmen	jar_adj_com_unit_set_infantry	false
			avr_inf_crossbowmen	jar_adj_com_unit_set_infantry	false
			avr_inf_greatswords	jar_adj_com_unit_set_infantry	false
			avr_inf_halberdiers	jar_adj_com_unit_set_infantry	false
			avr_inf_handgunners	jar_adj_com_unit_set_infantry	false
			avr_inf_spearmen_0	jar_adj_com_unit_set_infantry	false
			avr_inf_spearmen_1	jar_adj_com_unit_set_infantry	false
			avr_inf_swordsmen	jar_adj_com_unit_set_infantry	false
			mid_inf_crossbowmen	jar_adj_com_unit_set_infantry	false
			mid_inf_greatswords	jar_adj_com_unit_set_infantry	false
			mid_inf_halberdiers	jar_adj_com_unit_set_infantry	false
			mid_inf_handgunners	jar_adj_com_unit_set_infantry	false
			mid_inf_spearmen_0	jar_adj_com_unit_set_infantry	false
			mid_inf_spearmen_1	jar_adj_com_unit_set_infantry	false
			mid_inf_swordsmen	jar_adj_com_unit_set_infantry	false
			nod_inf_crossbowmen	jar_adj_com_unit_set_infantry	false
			nod_inf_greatswords	jar_adj_com_unit_set_infantry	false
			nod_inf_halberdiers	jar_adj_com_unit_set_infantry	false
			nod_inf_handgunners	jar_adj_com_unit_set_infantry	false
			nod_inf_spearmen_0	jar_adj_com_unit_set_infantry	false
			nod_inf_spearmen_1	jar_adj_com_unit_set_infantry	false
			nod_inf_swordsmen	jar_adj_com_unit_set_infantry	false
			ost_inf_crossbowmen	jar_adj_com_unit_set_infantry	false
			ost_inf_greatswords	jar_adj_com_unit_set_infantry	false
