unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__AAA_dynasty_of_the_damned__
			jiang_wightkin	jar_adj_com_unit_set_monstrous_infantry	false
			jiang_wiltings	jar_adj_com_unit_set_infantry	false
			bm_theak_moloch_monks	jar_adj_com_unit_set_infantry	false
			wh_main_vmp_cav_black_knights_0_jiang	jar_adj_com_unit_set_cavalry	false
			wh_main_vmp_cav_black_knights_3_jiang	jar_adj_com_unit_set_cavalry	false
			wh_main_vmp_cav_hexwraiths_jiang	jar_adj_com_unit_set_cavalry	false
			wh_main_vmp_inf_cairn_wraiths_jiang	jar_adj_com_unit_set_infantry	false
			wh_main_vmp_inf_crypt_ghouls_jiang	jar_adj_com_unit_set_infantry	false
			wh_main_vmp_inf_grave_guard_0_jiang	jar_adj_com_unit_set_infantry	false
			wh_main_vmp_inf_grave_guard_1_jiang	jar_adj_com_unit_set_infantry	false
			wh_main_vmp_inf_skeleton_warriors_0_jiang	jar_adj_com_unit_set_infantry	false
			wh_main_vmp_inf_skeleton_warriors_1_jiang	jar_adj_com_unit_set_infantry	false
			wh_main_vmp_mon_crypt_horrors_jiang	jar_adj_com_unit_set_monstrous_infantry	false
			wh_main_vmp_veh_black_coach_jiang	jar_adj_com_unit_set_chariots_war_machines	false
			wh_dlc04_vmp_veh_mortis_engine_0_jiang	jar_adj_com_unit_set_chariots_war_machines	false
			wh_dlc02_vmp_cav_blood_knights_0_jiang	jar_adj_com_unit_set_cavalry	false
			wh_dlc04_vmp_veh_corpse_cart_0_jiang	jar_adj_com_unit_set_chariots_war_machines	false
			wh_dlc04_vmp_veh_corpse_cart_1_jiang	jar_adj_com_unit_set_chariots_war_machines	false
			wh_dlc04_vmp_veh_corpse_cart_2_jiang	jar_adj_com_unit_set_chariots_war_machines	false
			jiang_damned_cannon	jar_adj_com_unit_set_chariots_war_machines	false
			jiang_grave_guard_crossbow	jar_adj_com_unit_set_infantry	false
			jiang_grave_guard_halberd	jar_adj_com_unit_set_infantry	false
			jiang_shadow_lantern	jar_adj_com_unit_set_chariots_war_machines	false
			jiang_zombie_longspear	jar_adj_com_unit_set_infantry	false
			jiang_zombie_reg	jar_adj_com_unit_set_infantry	false
			jiang_dracolith	jar_adj_com_unit_set_single_entities	false
			jiang_zombie_archer	jar_adj_com_unit_set_infantry	false
			jiang_zombie_archer_putridshaft	jar_adj_com_unit_set_infantry	false
			jiang_grave_guard_crossbow_balefireshaft	jar_adj_com_unit_set_infantry	false
			jiang_necro_mortar	jar_adj_com_unit_set_chariots_war_machines	false
			jiang_copsewight	jar_adj_com_unit_set_single_entities	false
			jiang_shuimu	jar_adj_com_unit_set_monstrous_infantry	false
			jiang_longma_undead	jar_adj_com_unit_set_cavalry	false
			vmp_jiang_veh_war_compass_0	jar_adj_com_unit_set_chariots_war_machines	false
