unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__Bretonnia_Royal_Lake_Guard__
			driblex_brt_royal_lake_guard_spears	jar_adj_com_unit_set_infantry	false
			driblex_brt_royal_lake_guard_1h_hammer	jar_adj_com_unit_set_infantry	false
			driblex_brt_royal_lake_guard_2h_sword	jar_adj_com_unit_set_infantry	false
			driblex_brt_royal_lake_guard_lion_sarrosh	jar_adj_com_unit_set_single_entities	false
			driblex_brt_royal_lake_guard_circle_mages_support	jar_adj_com_unit_set_single_entities	false
			driblex_brt_royal_lake_guard_crossbow	jar_adj_com_unit_set_infantry	false
			driblex_brt_royal_lake_guard_trebuchet_cluster	jar_adj_com_unit_set_chariots_war_machines	false
			driblex_brt_royal_lake_guard_trebuchet_sunflare	jar_adj_com_unit_set_chariots_war_machines	false
			driblex_brt_royal_lake_guard_lion_sorcha	jar_adj_com_unit_set_single_entities	false
			driblex_brt_royal_lake_guard_trebuchet_starbreaker	jar_adj_com_unit_set_chariots_war_machines	false
			driblex_brt_royal_lake_guard_javelin	jar_adj_com_unit_set_infantry	false
			driblex_brt_royal_lake_guard_longbow	jar_adj_com_unit_set_infantry	false
			driblex_brt_royal_lake_guard_halberd	jar_adj_com_unit_set_infantry	false
			driblex_brt_royal_lake_guard_thunderlancers	jar_adj_com_unit_set_cavalry	false
