unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__CF-Chaos_Units__
			wh_dlc03_nur_inf_cygor_0	jar_adj_com_unit_set_single_entities	false
			wh_dlc03_kho_inf_cygor_0	jar_adj_com_unit_set_single_entities	false
			wh_dlc03_sla_inf_cygor_0	jar_adj_com_unit_set_single_entities	false
			wh_dlc03_tze_inf_cygor_0	jar_adj_com_unit_set_single_entities	false
			wh_dlc03_und_inf_cygor_0	jar_adj_com_unit_set_single_entities	false
			kho_incarnate_elemental_of_beasts	jar_adj_com_unit_set_single_entities	false
			nur_incarnate_elemental_of_beasts	jar_adj_com_unit_set_single_entities	false
			sla_incarnate_elemental_of_beasts	jar_adj_com_unit_set_single_entities	false
			tze_incarnate_elemental_of_beasts	jar_adj_com_unit_set_single_entities	false
			und_incarnate_elemental_of_beasts	jar_adj_com_unit_set_single_entities	false
			cf_kho_ghorgon	jar_adj_com_unit_set_single_entities	false
			cf_nur_ghorgon	jar_adj_com_unit_set_single_entities	false
			cf_sla_ghorgon	jar_adj_com_unit_set_single_entities	false
			cf_tze_ghorgon	jar_adj_com_unit_set_single_entities	false
			cf_und_ghorgon	jar_adj_com_unit_set_single_entities	false
			wh_main_chs_kho_giant	jar_adj_com_unit_set_single_entities	false
			wh_main_chs_nur_giant	jar_adj_com_unit_set_single_entities	false
			wh_main_chs_sla_giant	jar_adj_com_unit_set_single_entities	false
			wh_main_chs_tze_giant	jar_adj_com_unit_set_single_entities	false
			kho_gorebeast	jar_adj_com_unit_set_monstrous_infantry	false
			nur_gorebeast	jar_adj_com_unit_set_monstrous_infantry	false
			sla_gorebeast	jar_adj_com_unit_set_monstrous_infantry	false
			tze_gorebeast	jar_adj_com_unit_set_monstrous_infantry	false
			und_gorebeast	jar_adj_com_unit_set_monstrous_infantry	false
			kho_jabberslythe	jar_adj_com_unit_set_single_entities	false
			nur_jabberslythe	jar_adj_com_unit_set_single_entities	false
			sla_jabberslythe	jar_adj_com_unit_set_single_entities	false
			tze_jabberslythe	jar_adj_com_unit_set_single_entities	false
			und_jabberslythe	jar_adj_com_unit_set_single_entities	false
			nur_rot_beast	jar_adj_com_unit_set_war_beasts	false
			kho_juggernaut	jar_adj_com_unit_set_war_beasts	false
			cf_eye_of_tze	jar_adj_com_unit_set_chariots_war_machines	false
			wh3_main_und_mon_soul_grinder_0	jar_adj_com_unit_set_single_entities	false
			sla_steed	jar_adj_com_unit_set_war_beasts	false
			sla_valkyrie	jar_adj_com_unit_set_single_entities	false
			exalted_flesh_hounds_of_khorne	jar_adj_com_unit_set_war_beasts	false
			tze_clandestine_coatl	jar_adj_com_unit_set_single_entities	false
			tze_pink_squigularities	jar_adj_com_unit_set_war_beasts	false
			tze_blue_squigularities	jar_adj_com_unit_set_war_beasts	false
			tze_exalted_screamer	jar_adj_com_unit_set_single_entities	false
			tze_pink_horror_exalted_disc	jar_adj_com_unit_set_cavalry	false
			tze_veh_burning_chariots	jar_adj_com_unit_set_chariots_war_machines	false
			tze_fate_reapers	jar_adj_com_unit_set_infantry	false
			tze_exalted_purple_horrors	jar_adj_com_unit_set_infantry	false
			king_rot_fly	jar_adj_com_unit_set_single_entities	false
			queen_rot_fly	jar_adj_com_unit_set_single_entities	false
			wh3_main_nur_mon_rot_flies_0_summoned	jar_adj_com_unit_set_monstrous_infantry	false
			nur_bloated_plague_ogre	jar_adj_com_unit_set_single_entities	false
			nur_exalted_beast_of_nurgle	jar_adj_com_unit_set_single_entities	false
			nur_exalted_nurglings	jar_adj_com_unit_set_infantry	false
			nur_exalted_pox_riders	jar_adj_com_unit_set_cavalry	false
			nur_gorged_toad_dragon	jar_adj_com_unit_set_single_entities	false
			nur_king_plague_toad	jar_adj_com_unit_set_single_entities	false
			sla_exaltant_fiends	jar_adj_com_unit_set_single_entities	false
			sla_pleasure_portal	jar_adj_com_unit_set_chariots_war_machines	false
