unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__Chasslo_landmarks__
			Chasslo_Knights_Iranna	jar_adj_com_unit_set_cavalry	false
			Chasslo_Great_Oak_Mordheim	jar_adj_com_unit_set_single_entities	false
			Chasslo_Mutated_Trolls	jar_adj_com_unit_set_monstrous_infantry	false
			Chasslo_Ragnars_Wolves	jar_adj_com_unit_set_cavalry	false
			Chasslo_BlackWater_Squadron	jar_adj_com_unit_set_chariots_war_machines	false
			Chasslo_Grimnir_Sons	jar_adj_com_unit_set_infantry	false
			Chasslo_IronBrotherhood	jar_adj_com_unit_set_infantry	false
			Chasslo_Karag_Ironsmiths	jar_adj_com_unit_set_infantry	false
			Chasslo_Black_Bolt_Throwers	jar_adj_com_unit_set_chariots_war_machines	false
			Chasslo_Brood_Queen	jar_adj_com_unit_set_single_entities	false
			Chasslo_Iron_Guard	jar_adj_com_unit_set_infantry	false
			Chasslo_Berserker_Slayers	jar_adj_com_unit_set_infantry	false
			Chasslo_Stompin_Cobb	jar_adj_com_unit_set_single_entities	false
			Chasslo_Redmane_Forgehands	jar_adj_com_unit_set_infantry	false
			Chasslo_Azazel_Flagellants	jar_adj_com_unit_set_infantry	false
			Chasslo_First_Trebuchet	jar_adj_com_unit_set_chariots_war_machines	false
			Chasslo_Chamon_Destroyer	jar_adj_com_unit_set_single_entities	false
			Chasslo_Pale_Maidens	jar_adj_com_unit_set_infantry	false
			Chasslo_dancing_beauties	jar_adj_com_unit_set_infantry	false
			Chasslo_Blood_seekers	jar_adj_com_unit_set_monstrous_infantry	false
			Chasslo_Goldtooth_guard	jar_adj_com_unit_set_monstrous_infantry	false
			Chasslo_Doomspeakers	jar_adj_com_unit_set_single_entities	false
			Chasslo_Vashtorrs_Opus	jar_adj_com_unit_set_chariots_war_machines	false
			Chasslo_Soqotra_Pirates	jar_adj_com_unit_set_infantry	false
			Chasslo_Winter_throne_fanatics	jar_adj_com_unit_set_infantry	false
			Chasslo_Drachenhole_dragon	jar_adj_com_unit_set_single_entities	false
			Chasslo_Fireloques_Ferlangen	jar_adj_com_unit_set_infantry	false
			CLE_Gorger_Matron	jar_adj_com_unit_set_single_entities	false
			CLE_Silver_Guts	jar_adj_com_unit_set_monstrous_infantry	false
			CLE_Maw_Deep_Jaws	jar_adj_com_unit_set_monstrous_infantry	false
			CLE_Carcassone_Damned_Knight	jar_adj_com_unit_set_cavalry	false
			CLE_Manann_Leviathan	jar_adj_com_unit_set_single_entities	false
			CLE_Jaego_Faithful	jar_adj_com_unit_set_infantry	false
			CLE_Blight_Dragon	jar_adj_com_unit_set_single_entities	false
			CLE_Tian_Bei	jar_adj_com_unit_set_single_entities	false
			CLE_Lurking_Penumbra	jar_adj_com_unit_set_single_entities	false
			CLE_Von_Drak_Guards	jar_adj_com_unit_set_infantry	false
			CLE_Mannfred_heirotitan	jar_adj_com_unit_set_single_entities	false
			CLE_Oreon_Warband	jar_adj_com_unit_set_infantry	false
			CLE_Patient_Zero	jar_adj_com_unit_set_single_entities	false
			CLE_Hallowed_Oak	jar_adj_com_unit_set_single_entities	false
			CLE_Lady_lion	jar_adj_com_unit_set_war_beasts	false
			CLE_Ghrond_Librarian	jar_adj_com_unit_set_single_entities	false
			CLE_Wintergors	jar_adj_com_unit_set_infantry	false
			CLE_Blood_Shriekers	jar_adj_com_unit_set_monstrous_infantry	false
			CLE_Righteous_mob	jar_adj_com_unit_set_infantry	false
			CLE_Sotek_Scion	jar_adj_com_unit_set_single_entities	false
			CLE_Ostankya_Arachnarok	jar_adj_com_unit_set_single_entities	false
			CLE_Ksl_Snowhorn	jar_adj_com_unit_set_single_entities	false
			CLE_double_bastiladon	jar_adj_com_unit_set_single_entities	false
			CLE_Fay_stags_knight	jar_adj_com_unit_set_cavalry	false
			CLE_Jormungandr	jar_adj_com_unit_set_single_entities	false
			CLE_Barakas_Bulls	jar_adj_com_unit_set_monstrous_infantry	false
			CLE_Throgg_Chill_Sontar	jar_adj_com_unit_set_single_entities	false
			CLE_Tchar_Destroyers	jar_adj_com_unit_set_monstrous_infantry	false
			CLE_lzd_vultures	jar_adj_com_unit_set_war_beasts	false
			CLE_ogr_mutant_rat	jar_adj_com_unit_set_single_entities	false
