unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__Chema_Nordland_MOD__
			chema_nordland_spearmen	jar_adj_com_unit_set_infantry	false
			chema_nordland_swordmen	jar_adj_com_unit_set_infantry	false
			chema_nordland_salz_guard	jar_adj_com_unit_set_infantry	false
			chema_nordland_sea_devils	jar_adj_com_unit_set_infantry	false
			chema_nordland_halberdiers	jar_adj_com_unit_set_infantry	false
			chema_nordland_archer	jar_adj_com_unit_set_infantry	false
			chema_nordland_greatswords	jar_adj_com_unit_set_infantry	false
			chema_nordland_state_troops_crossbowmen	jar_adj_com_unit_set_infantry	false
			chema_nordland_spear_and_shieldmen	jar_adj_com_unit_set_infantry	false
			chema_nordland_sea_hawks_crossbow	jar_adj_com_unit_set_infantry	false
			chema_nordland_sea_hawks_spear	jar_adj_com_unit_set_infantry	false
			chema_nordland_norse_mercenary	jar_adj_com_unit_set_infantry	false
			chema_nordland_marine_gunner	jar_adj_com_unit_set_infantry	false
			chema_nordland_emp_state_troops_handgunners	jar_adj_com_unit_set_infantry	false
			chema_nordland_empire_knights	jar_adj_com_unit_set_cavalry	false
			chema_nordland_manaan_knight_foo	jar_adj_com_unit_set_infantry	false
			chema_nordland_manaan_knights	jar_adj_com_unit_set_cavalry	false
