unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__Chema_Ostermark_MOD__
			chema_ostermark_greatswords	jar_adj_com_unit_set_infantry	false
			chema_ostermark_halberd	jar_adj_com_unit_set_infantry	false
			chema_ostermark_handgunners	jar_adj_com_unit_set_infantry	false
			chema_ostermark_state_troops_crossbowmen	jar_adj_com_unit_set_infantry	false
			chema_ostermark_swordmen	jar_adj_com_unit_set_infantry	false
			chema_ostermark_troops_spears	jar_adj_com_unit_set_infantry	false
			chema_ostermark_troops_spears_shield	jar_adj_com_unit_set_infantry	false
			ost_knights_reiksguard	jar_adj_com_unit_set_cavalry	false
			chema_ostermark_comet_company	jar_adj_com_unit_set_infantry	false
			chema_death_head_halberdiers	jar_adj_com_unit_set_infantry	false
			chema_ostermark_archer	jar_adj_com_unit_set_infantry	false
