unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__Chema_Talabecland_MOD__
			chema_talabecland_spearmen	jar_adj_com_unit_set_infantry	false
			chema_talabecland_swordmen	jar_adj_com_unit_set_infantry	false
			chema_talab_craterblades	jar_adj_com_unit_set_infantry	false
			chema_talab_taal_chosen	jar_adj_com_unit_set_infantry	false
			chema_talab_talabheim_curs	jar_adj_com_unit_set_infantry	false
			chema_talab_city_guard	jar_adj_com_unit_set_infantry	false
			chema_talab_ taalbaston_spear	jar_adj_com_unit_set_infantry	false
			chema_talab_vengeful_blades	jar_adj_com_unit_set_infantry	false
			chema_talab_deer_knights	jar_adj_com_unit_set_cavalry	false
			chema_talab_beast_hunters	jar_adj_com_unit_set_infantry	false
			chema_talabecland_halberdiers	jar_adj_com_unit_set_infantry	false
			chema_talab_archer	jar_adj_com_unit_set_infantry	false
			chema_talab_greatswords	jar_adj_com_unit_set_infantry	false
			chema_talab_demigryph_knights_taal_fury	jar_adj_com_unit_set_cavalry	false
			chema_talab_empire_knights	jar_adj_com_unit_set_cavalry	false
			chema_talab_state_troops_crossbowmen	jar_adj_com_unit_set_infantry	false
			chema_talab_spear_and_shieldmen	jar_adj_com_unit_set_infantry	false
			chema_talab_emp_state_troops_handgunners	jar_adj_com_unit_set_infantry	false
			chema_talab_emp_state_troops_handgunners_bronzeballs	jar_adj_com_unit_set_infantry	false
			chema_talab_vi_regiment	jar_adj_com_unit_set_infantry	false
