unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__GMD_Sharkmen3__
			wh3_main_grn_inf_orc_boyz_spear_shield	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_dual	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_pike	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_shield	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_pike_shield	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_archer	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_canoneer	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_crossbow	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_axerifle	jar_adj_com_unit_set_infantry	false
			vcs_lowborn_big_canoneer_v2	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_lowborn_big_canoneer	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_lowborn_big_harpooner	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_lowborn_big_mortar	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_lowborn_big_catcher	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_lowborn_big_gatling	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_sharkmen_lowborn_grate_axe	jar_adj_com_unit_set_infantry	false
			vcs_vomiter	jar_adj_com_unit_set_single_entities	false
			vcs_screamer	jar_adj_com_unit_set_single_entities	false
			vcs_lophius	jar_adj_com_unit_set_cavalry	false
			vcs_lophius_explosion	jar_adj_com_unit_set_single_entities	false
			vcs_living_prometheans	jar_adj_com_unit_set_war_beasts	false
			vcs_living_prometheans_ror	jar_adj_com_unit_set_war_beasts	false
			vcs_living_prometheans_poison	jar_adj_com_unit_set_war_beasts	false
			vcs_sharkmen_juggernaut_dual	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_juggernaut_shield	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_juggernaut_axerifle	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_pistol_dual	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_lowborn_pistol_shield	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_juggernaut_pistol_dual	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_juggernaut_pistol_shield	jar_adj_com_unit_set_infantry	false
			vcs_orca_hunter	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_orca_fighter	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_orca	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_orca_berserker	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_orca_ronin	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_orca_spearmen	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_orca_ronin_spearmen	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_orca_stonebringer	jar_adj_com_unit_set_monstrous_infantry	false
			vcs_fishmen_archer	jar_adj_com_unit_set_infantry	false
			vcs_fishmen_spearmen	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_hammerhead	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_hammerhead_shield	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_hammerhead_archer	jar_adj_com_unit_set_infantry	false
			vcs_sharkmen_hammerhead_axerifle	jar_adj_com_unit_set_infantry	false
			vcs_nippon_sea_drake	jar_adj_com_unit_set_single_entities	false
			vcs_nippon_sea_drake_ror	jar_adj_com_unit_set_single_entities	false
			gmd_vpc_punished	jar_adj_com_unit_set_war_beasts	false
			gmd_vpc_punished_deckhands	jar_adj_com_unit_set_war_beasts	false
			gmd_vpc_punished_cannon	jar_adj_com_unit_set_war_beasts	false
			gmd_vpc_punished_cannon_ror	jar_adj_com_unit_set_war_beasts	false
			gmd_vpc_punished_vendicator	jar_adj_com_unit_set_war_beasts	false
			gmd_vpc_punished_megalodon_vindicator	jar_adj_com_unit_set_single_entities	false
			gmd_vpc_punished_megalodon_vindicator_ror	jar_adj_com_unit_set_single_entities	false
			cst_gmd_leviathan	jar_adj_com_unit_set_single_entities	false
			cst_gmd_leviathan_crushers	jar_adj_com_unit_set_single_entities	false
			cst_gmd_leviathan_sprayer	jar_adj_com_unit_set_single_entities	false
			cst_gmd_leviathan_seer	jar_adj_com_unit_set_single_entities	false
			cst_gmd_leviathan_dual_wield	jar_adj_com_unit_set_single_entities	false
			cst_gmd_drawned_miner_0	jar_adj_com_unit_set_infantry	false
			cst_gmd_drawned_miner_1	jar_adj_com_unit_set_infantry	false
			wh_main_grn_inf_savage_orcs	jar_adj_com_unit_set_infantry	false
			wh3_main_ogr_inf_ogres_0	jar_adj_com_unit_set_monstrous_infantry	false
