unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__More_Skaven_Per_Skaven__
			wh2_dlc12_skv_inf_clanrats_ror_0	jar_adj_com_unit_set_infantry	false
			wh2_dlc12_skv_inf_plague_monk_censer_bearer_ror_0	jar_adj_com_unit_set_infantry	false
			wh2_dlc12_skv_inf_stormvermin_ror_0	jar_adj_com_unit_set_infantry	false
			wh2_dlc14_skv_inf_death_runners_ror_0	jar_adj_com_unit_set_infantry	false
			wh2_dlc14_skv_inf_eshin_triads_0	jar_adj_com_unit_set_infantry	false
			wh2_dlc14_skv_inf_eshin_triads_ror_0	jar_adj_com_unit_set_infantry	false
			wh2_dlc14_skv_inf_eshin_triads_ror_summoned_0	jar_adj_com_unit_set_infantry	false
			wh2_dlc14_skv_inf_stormvermin_1_summoned	jar_adj_com_unit_set_infantry	false
			wh2_dlc16_skv_inf_skavenslave_spearmen_0_flesh_lab	jar_adj_com_unit_set_infantry	false
			wh2_dlc16_skv_inf_skavenslaves_0_flesh_lab	jar_adj_com_unit_set_infantry	false
			wh2_dlc16_skv_mon_rat_ogres_flesh_lab	jar_adj_com_unit_set_monstrous_infantry	false
			wh2_dlc16_skv_mon_rat_ogres_ror_0	jar_adj_com_unit_set_monstrous_infantry	false
			wh2_dlc16_skv_mon_rat_ogres_summoned	jar_adj_com_unit_set_monstrous_infantry	false
			wh2_dlc16_skv_mon_wolf_rats_0	jar_adj_com_unit_set_war_beasts	false
			wh2_dlc16_skv_mon_wolf_rats_0_flesh_lab	jar_adj_com_unit_set_war_beasts	false
			wh2_dlc16_skv_mon_wolf_rats_0_summoned	jar_adj_com_unit_set_war_beasts	false
			wh2_dlc16_skv_mon_wolf_rats_1	jar_adj_com_unit_set_war_beasts	false
			wh2_dlc16_skv_mon_wolf_rats_1_flesh_lab	jar_adj_com_unit_set_war_beasts	false
			wh2_dlc16_skv_mon_wolf_rats_1_summoned	jar_adj_com_unit_set_war_beasts	false
			wh2_main_skv_inf_clanrat_spearmen_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_clanrat_spearmen_1	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_clanrats_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_clanrats_0_summoned	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_clanrats_0_summoned_small	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_clanrats_1	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_death_runners_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_death_runners_0_summoned	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_gutter_runner_slingers_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_gutter_runner_slingers_1	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_gutter_runners_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_gutter_runners_1	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_night_runners_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_night_runners_1	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_plague_monk_censer_bearer	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_plague_monks	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_plague_monks_summoned	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_skavenslave_slingers_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_skavenslave_spearmen_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_skavenslave_spearmen_0_summoned	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_skavenslaves_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_stormvermin_0	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_stormvermin_0_quest	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_stormvermin_0_summoned	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_inf_stormvermin_1	jar_adj_com_unit_set_infantry	false
			wh2_main_skv_mon_rat_ogres	jar_adj_com_unit_set_monstrous_infantry	false
