unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__derpy_chd_units_ToT__
			chd_turtle_tank_w_multi_cannon_ror	jar_adj_com_unit_set_chariots_war_machines	false
			chd_turtle_tank_w_cannon	jar_adj_com_unit_set_chariots_war_machines	false
			chd_turtle_tank_w_turret	jar_adj_com_unit_set_chariots_war_machines	false
			chd_turtle_tank_carrier	jar_adj_com_unit_set_chariots_war_machines	false
			chd_turtle_tank_shorter	jar_adj_com_unit_set_chariots_war_machines	false
			chd_turtle_tank_grand_mortar_ror	jar_adj_com_unit_set_chariots_war_machines	false
			chd_turtle_tank_grand_mortar_al	jar_adj_com_unit_set_chariots_war_machines	false
			chd_turtle_tank_grand_mortar_ai	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_vengrin_ror	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_magmalobs	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_hashuts_flame	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_large_rocket	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_starquake	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_laser	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_units_warriors	jar_adj_com_unit_set_chariots_war_machines	false
			chd_train_units_infernals	jar_adj_com_unit_set_chariots_war_machines	false
			chd_golden_legion_laser_rifle_ror	jar_adj_com_unit_set_infantry	false
			chd_golden_legion_laser_sniper_ror	jar_adj_com_unit_set_infantry	false
			chd_gunners_shotgun	jar_adj_com_unit_set_infantry	false
			chd_gunners_sawed_off	jar_adj_com_unit_set_infantry	false
			chd_infernal_gunners_repeaters	jar_adj_com_unit_set_infantry	false
			chd_infernal_gunners_sniper	jar_adj_com_unit_set_infantry	false
			chd_wt_magma_spewer	jar_adj_com_unit_set_infantry	false
			chd_wt_ash_storm_maker	jar_adj_com_unit_set_infantry	false
			chd_prazaskal_hazkala_quadpistol	jar_adj_com_unit_set_infantry	false
			chd_etal_hazkala_rifle	jar_adj_com_unit_set_infantry	false
			chd_wt_flame_belcher	jar_adj_com_unit_set_infantry	false
			chd_wt_obsidian_shards	jar_adj_com_unit_set_infantry	false
