unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__derpy_gunpowder_units__
			derpy_gp_landship_3_ror	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_1_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_1_beer_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_2_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_3	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_3_huge	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_1_beer	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_0	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_1	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_landship_2	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_dwf_eng_tank	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_dwf_eng_tankette	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_tankette_tracks	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_dwf_great_mortar	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_dwf_mortar_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_dwf_flame_mortar_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_dwf_stonebreaker_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			dwf_gp_quarrelstorm_01_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			dwf_gp_ironblasters_malakai	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_8mm_turret	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_20mm_turret	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_triplecannon_turret	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_drakkfire_turret	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_gatling_turret	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_rocket_turret	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_dwf_mortar	jar_adj_com_unit_set_chariots_war_machines	false
			dwf_gp_quarrelstorm_01	jar_adj_com_unit_set_chariots_war_machines	false
			dwf_gp_ironblasters	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_dwf_flame_mortar	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_gp_dwf_mountainbreaker	jar_adj_com_unit_set_chariots_war_machines	false
			derpy_dwf_valley_guard	jar_adj_com_unit_set_infantry	false
			derpy_dwf_chaingunners	jar_adj_com_unit_set_infantry	false
			derpy_gp_drakkfire_piercers	jar_adj_com_unit_set_infantry	false
			derpy_dwf_karaklad_ironbulwarks_malakai	jar_adj_com_unit_set_infantry	false
			derpy_dwf_stonebreakers_malakai	jar_adj_com_unit_set_infantry	false
			derpy_dwf_gunaxe_thunderers_malakai	jar_adj_com_unit_set_infantry	false
			derpy_dwf_ironhog_repeaters_malakai	jar_adj_com_unit_set_cavalry	false
			derpy_dwf_storm_goats_grenade_malakai	jar_adj_com_unit_set_cavalry	false
			derpy_dwf_storm_dual_pistol_malakai	jar_adj_com_unit_set_cavalry	false
			derpy_gp_homing_malakai	jar_adj_com_unit_set_infantry	false
			derpy_gp_25mm_malakai	jar_adj_com_unit_set_infantry	false
			derpy_gp_multi_aa_malakai	jar_adj_com_unit_set_infantry	false
			derpy_dwf_gunaxe_slayers_malakai	jar_adj_com_unit_set_infantry	false
			derpy_gp_8mm_malakai	jar_adj_com_unit_set_infantry	false
			derpy_gp_combat_engineers_malakai	jar_adj_com_unit_set_infantry	false
			derpy_gp_combat_engineers_ror	jar_adj_com_unit_set_infantry	false
			derpy_dwf_karaklad_ironbulwarks	jar_adj_com_unit_set_infantry	false
			derpy_dwf_stonebreakers	jar_adj_com_unit_set_infantry	false
			derpy_dwf_gunaxe_thunderers	jar_adj_com_unit_set_infantry	false
			derpy_gp_gunaxe_slayers	jar_adj_com_unit_set_infantry	false
			derpy_dwf_storm_dual_pistol	jar_adj_com_unit_set_cavalry	false
			derpy_dwf_ironhog_repeaters	jar_adj_com_unit_set_cavalry	false
			derpy_dwf_storm_goats_grenade	jar_adj_com_unit_set_cavalry	false
			derpy_gp_25mm	jar_adj_com_unit_set_infantry	false
			derpy_gp_8mm	jar_adj_com_unit_set_infantry	false
			derpy_gp_combat_engineers	jar_adj_com_unit_set_infantry	false
			derpy_gp_homing	jar_adj_com_unit_set_infantry	false
			derpy_gp_multi_aa	jar_adj_com_unit_set_infantry	false
