unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__ec_hef_artisans_of_war__
			wh2_main_hef_cav_dragon_princes	jar_adj_com_unit_set_cavalry	false
			wh2_dlc10_hef_cav_the_fireborn_ror_0	jar_adj_com_unit_set_cavalry	false
			wh2_main_hef_mon_great_eagle	jar_adj_com_unit_set_single_entities	false
			wh2_main_hef_cav_silver_helms_0	jar_adj_com_unit_set_cavalry	false
			wh2_main_hef_cav_silver_helms_1	jar_adj_com_unit_set_cavalry	false
			wh2_main_hef_cav_ithilmar_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			wh2_main_hef_cav_tiranoc_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			wh2_main_hef_inf_lothern_sea_guard_0	jar_adj_com_unit_set_infantry	false
			wh2_main_hef_inf_lothern_sea_guard_1	jar_adj_com_unit_set_infantry	false
			wh3_dlc27_hef_mon_merwyrm	jar_adj_com_unit_set_single_entities	false
			wh3_dlc27_hef_mon_merwyrm_ror	jar_adj_com_unit_set_single_entities	false
			wh2_main_hef_mon_sun_dragon	jar_adj_com_unit_set_single_entities	false
			ec_hef_unit_martialartisan_custom_griffon_0	jar_adj_com_unit_set_single_entities	false
