unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__eternal_dynasties__
			eternal_dynasties_lzd_spawn_of_the_sun_feral_bastiladon	jar_adj_com_unit_set_single_entities	false
			eternal_dynasties_lzd_spawn_of_the_sun_bastiladon_solar_engine	jar_adj_com_unit_set_single_entities	false
			eternal_dynasties_lzd_spawn_of_the_sun_temple_guards	jar_adj_com_unit_set_infantry	false
			eternal_dynasties_lzd_spawn_of_the_moon_skink_cohort_javelins	jar_adj_com_unit_set_infantry	false
			eternal_dynasties_lzd_spawn_of_the_moon_terradon_riders	jar_adj_com_unit_set_cavalry	false
			eternal_dynasties_lzd_spawn_of_the_moon_terradon_riders_fireleech	jar_adj_com_unit_set_cavalry	false
			eternal_dynasties_lzd_spawn_of_the_turtle_feral_cold_ones	jar_adj_com_unit_set_cavalry	false
			eternal_dynasties_lzd_spawn_of_the_turtle_feral_stegadon	jar_adj_com_unit_set_single_entities	false
			eternal_dynasties_lzd_spawn_of_the_turtle_feral_carnosaur	jar_adj_com_unit_set_single_entities	false
			eternal_dynasties_lzd_spawn_of_the_first_city_saurus_warriors	jar_adj_com_unit_set_infantry	false
			eternal_dynasties_lzd_spawn_of_the_first_city_kroxigors	jar_adj_com_unit_set_monstrous_infantry	false
			eternal_dynasties_lzd_spawn_of_the_first_city_bastiladon_revification_crystal	jar_adj_com_unit_set_single_entities	false
			eternal_dynasties_lzd_spawn_of_the_tower_cold_one_riders	jar_adj_com_unit_set_cavalry	false
			eternal_dynasties_lzd_spawn_of_the_tower_cold_one_spear_riders	jar_adj_com_unit_set_cavalry	false
			eternal_dynasties_lzd_spawn_of_the_tower_horned_ones	jar_adj_com_unit_set_cavalry	false
			eternal_dynasties_lzd_spawn_of_the_eternal_city_stegadon	jar_adj_com_unit_set_single_entities	false
			eternal_dynasties_lzd_spawn_of_the_eternal_city_ancient_stegadon	jar_adj_com_unit_set_single_entities	false
			eternal_dynasties_lzd_spawn_of_the_eternal_city_saurus_spearmen	jar_adj_com_unit_set_infantry	false
			eternal_dynasties_lzd_spawn_of_the_sentinels_chameleon_skinks	jar_adj_com_unit_set_infantry	false
			eternal_dynasties_lzd_spawn_of_the_sentinels_skink_cohort	jar_adj_com_unit_set_infantry	false
			eternal_dynasties_lzd_spawn_of_the_sentinels_skink_skirmishers	jar_adj_com_unit_set_infantry	false
