unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__hng_steppe_lords__
			hng_aw_harpies_0	jar_adj_com_unit_set_war_beasts	false
			hng_sea_dragon_hunters_0	jar_adj_com_unit_set_infantry	false
			hng_aw_daemonette_0	jar_adj_com_unit_set_infantry	false
			hng_art_reaper_bolt_thrower_0	jar_adj_com_unit_set_chariots_war_machines	false
			hng_scourgerunner_chariot_0	jar_adj_com_unit_set_chariots_war_machines	false
			hng_tortured_hydra_0	jar_adj_com_unit_set_single_entities	false
			hng_aw_gor_herd_0	jar_adj_com_unit_set_infantry	false
			hng_aw_berserkers_0	jar_adj_com_unit_set_infantry	false
			hng_aw_chaos_warriors_0	jar_adj_com_unit_set_infantry	false
			hng_aw_minotaurs_0	jar_adj_com_unit_set_monstrous_infantry	false
			hng_aw_magma_cannon_0	jar_adj_com_unit_set_chariots_war_machines	false
			hng_aw_shaggoth_0	jar_adj_com_unit_set_single_entities	false
			hng_steel_spitters_0	jar_adj_com_unit_set_infantry	false
			hng_art_looted_cannon_0	jar_adj_com_unit_set_chariots_war_machines	false
			hng_riders_of_the_raging_sky_0	jar_adj_com_unit_set_cavalry	false
			hng_art_thunderspitter_0	jar_adj_com_unit_set_chariots_war_machines	false
			hng_veh_wallripper_0	jar_adj_com_unit_set_chariots_war_machines	false
			hng_dread_beasts_of_mourn_0	jar_adj_com_unit_set_single_entities	false
			hng_captives_0	jar_adj_com_unit_set_infantry	false
			hng_nomads_0	jar_adj_com_unit_set_infantry	false
			hng_pillagers_0	jar_adj_com_unit_set_infantry	false
			hng_pillagers_1	jar_adj_com_unit_set_infantry	false
			hng_dog_handlers_0	jar_adj_com_unit_set_infantry	false
			hng_spawneaters_0	jar_adj_com_unit_set_infantry	false
			hng_scouts_0	jar_adj_com_unit_set_infantry	false
			hng_steppe_trackers_0	jar_adj_com_unit_set_infantry	false
			hng_heavy_archers_0	jar_adj_com_unit_set_single_entities	false
			hng_horsemasters_0	jar_adj_com_unit_set_infantry	false
			hng_khevtuul_0	jar_adj_com_unit_set_infantry	false
			hng_light_lancers_0	jar_adj_com_unit_set_cavalry	false
			hng_raiders_0	jar_adj_com_unit_set_cavalry	false
			hng_ambushers_0	jar_adj_com_unit_set_cavalry	false
			hng_heavy_lancers_0	jar_adj_com_unit_set_cavalry	false
			hng_torguud_0	jar_adj_com_unit_set_cavalry	false
			hng_khans_guard_0	jar_adj_com_unit_set_cavalry	false
			hng_horse_archers_0	jar_adj_com_unit_set_cavalry	false
			hng_mounted_heavy_archers_0	jar_adj_com_unit_set_cavalry	false
			hng_mounted_horsemasters_0	jar_adj_com_unit_set_cavalry	false
			hng_mounted_shamans_tchar_0	jar_adj_com_unit_set_cavalry	false
			hng_hunting_dogs_0	jar_adj_com_unit_set_war_beasts	false
			hng_feral_horses_0	jar_adj_com_unit_set_war_beasts	false
			hng_chaos_vultures_0	jar_adj_com_unit_set_war_beasts	false
			hng_centigors_0	jar_adj_com_unit_set_cavalry	false
			hng_centigors_1	jar_adj_com_unit_set_cavalry	false
			hng_centigors_2	jar_adj_com_unit_set_cavalry	false
			hng_centigor_elder_0	jar_adj_com_unit_set_single_entities	false
			hng_death_worm_0	jar_adj_com_unit_set_single_entities	false
			hng_dark_wind_0	jar_adj_com_unit_set_single_entities	false
			hng_shackled_dragon_0	jar_adj_com_unit_set_single_entities	false
			hng_scouts_ammo_upgrade_fire	jar_adj_com_unit_set_infantry	false
			hng_heavy_archers_ammo_upgrade_magical	jar_adj_com_unit_set_single_entities	false
			hng_heavy_archers_ammo_upgrade_heavy	jar_adj_com_unit_set_single_entities	false
			hng_horsemasters_ammo_upgrade_heavy	jar_adj_com_unit_set_infantry	false
			hng_horsemasters_ammo_upgrade_whistling	jar_adj_com_unit_set_infantry	false
			hng_horsemasters_ammo_upgrade_fire	jar_adj_com_unit_set_infantry	false
			hng_horsemasters_ammo_upgrade_all	jar_adj_com_unit_set_infantry	false
			hng_khevtuul_ammo_upgrade_explosive	jar_adj_com_unit_set_infantry	false
			hng_khevtuul_ammo_upgrade_heavy	jar_adj_com_unit_set_infantry	false
			hng_khevtuul_ammo_upgrade_poison	jar_adj_com_unit_set_infantry	false
			hng_khevtuul_ammo_upgrade_all	jar_adj_com_unit_set_infantry	false
			hng_horse_archers_ammo_upgrade_whistling	jar_adj_com_unit_set_cavalry	false
			hng_horse_archers_ammo_upgrade_poison	jar_adj_com_unit_set_cavalry	false
			hng_mounted_heavy_archers_ammo_upgrade_magical	jar_adj_com_unit_set_cavalry	false
			hng_mounted_heavy_archers_ammo_upgrade_heavy	jar_adj_com_unit_set_cavalry	false
			hng_mounted_horsemasters_ammo_upgrade_heavy	jar_adj_com_unit_set_cavalry	false
			hng_mounted_horsemasters_ammo_upgrade_whistling	jar_adj_com_unit_set_cavalry	false
			hng_mounted_horsemasters_ammo_upgrade_fire	jar_adj_com_unit_set_cavalry	false
			hng_mounted_horsemasters_ammo_upgrade_all	jar_adj_com_unit_set_cavalry	false
			hng_steppe_stalker_0	jar_adj_com_unit_set_single_entities	false
			hng_mounted_shamans_tchar_ror_0	jar_adj_com_unit_set_cavalry	false
			hng_ambushers_ror_0	jar_adj_com_unit_set_cavalry	false
			hng_chaos_vultures_ror_0	jar_adj_com_unit_set_single_entities	false
			hng_nomads_ror_0	jar_adj_com_unit_set_infantry	false
			hng_spawneaters_ror_0	jar_adj_com_unit_set_infantry	false
			hng_heavy_archers_ror_0	jar_adj_com_unit_set_single_entities	false
			hng_khevtuul_ror_0	jar_adj_com_unit_set_infantry	false
			hng_raiders_ror_0	jar_adj_com_unit_set_cavalry	false
			hng_torguud_ror_0	jar_adj_com_unit_set_cavalry	false
			hng_khans_guard_ror_0	jar_adj_com_unit_set_cavalry	false
			hng_centigors_ror_0	jar_adj_com_unit_set_cavalry	false
			hng_death_worm_ror_0	jar_adj_com_unit_set_single_entities	false
			hng_feral_horses_ror_0	jar_adj_com_unit_set_war_beasts	false
