unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__ind_infantry__
			wh_ind_spear_0	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_spearmen_1	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_swordsmen	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_crossbowmen	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_greatswords	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_halberdiers	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_handgunners	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_archers	jar_adj_com_unit_set_infantry	false
			wh_ind_inf_huntsmen	jar_adj_com_unit_set_infantry	false
			wh_ind_art_great_cannon	jar_adj_com_unit_set_chariots_war_machines	false
			wh_ind_art_helblaster_volley_gun	jar_adj_com_unit_set_chariots_war_machines	false
			wh_ind_art_helstorm_rocket_battery	jar_adj_com_unit_set_chariots_war_machines	false
			wh_ind_art_mortar	jar_adj_com_unit_set_chariots_war_machines	false
