unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__nag_nagash__
			nag_vanilla_tmb_inf_skeleton_archers_0	jar_adj_com_unit_set_infantry	false
			nag_vanilla_tmb_inf_skeleton_spearmen_0	jar_adj_com_unit_set_infantry	false
			nag_vanilla_tmb_inf_skeleton_warriors_0	jar_adj_com_unit_set_infantry	false
			nag_vanilla_tmb_inf_nehekhara_warriors_0	jar_adj_com_unit_set_infantry	false
			nag_vanilla_tmb_inf_tomb_guard_0	jar_adj_com_unit_set_infantry	false
			nag_vanilla_tmb_inf_tomb_guard_1	jar_adj_com_unit_set_infantry	false
			nag_vanilla_tmb_cav_skeleton_horsemen_0	jar_adj_com_unit_set_cavalry	false
			nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	jar_adj_com_unit_set_cavalry	false
			nag_vanilla_tmb_cav_nehekhara_horsemen_0	jar_adj_com_unit_set_cavalry	false
			nag_vanilla_tmb_cav_necropolis_knights_0	jar_adj_com_unit_set_cavalry	false
			nag_vanilla_tmb_cav_necropolis_knights_1	jar_adj_com_unit_set_cavalry	false
			nag_vanilla_tmb_veh_skeleton_archer_chariot_0	jar_adj_com_unit_set_chariots_war_machines	false
			nag_vanilla_tmb_veh_skeleton_chariot_0	jar_adj_com_unit_set_chariots_war_machines	false
			nag_vanilla_tmb_mon_ushabti_0	jar_adj_com_unit_set_monstrous_infantry	false
			nag_vanilla_tmb_mon_ushabti_1	jar_adj_com_unit_set_monstrous_infantry	false
			nag_vanilla_tmb_mon_sepulchral_stalkers_0	jar_adj_com_unit_set_monstrous_infantry	false
			nag_vanilla_tmb_mon_tomb_scorpion_0	jar_adj_com_unit_set_single_entities	false
			nag_vanilla_tmb_mon_khemrian_warsphinx_0	jar_adj_com_unit_set_single_entities	false
			nag_vanilla_tmb_mon_necrosphinx_0	jar_adj_com_unit_set_single_entities	false
			nag_vanilla_tmb_mon_bone_giant_0	jar_adj_com_unit_set_single_entities	false
			nag_vanilla_tmb_art_screaming_skull_catapult_0	jar_adj_com_unit_set_chariots_war_machines	false
			nag_vanilla_tmb_art_casket_of_souls_0	jar_adj_com_unit_set_chariots_war_machines	false
			nag_vanilla_vmp_inf_zombie	jar_adj_com_unit_set_infantry	false
			nag_vanilla_vmp_inf_skeleton_warriors_0	jar_adj_com_unit_set_infantry	false
			nag_vanilla_vmp_inf_skeleton_warriors_1	jar_adj_com_unit_set_infantry	false
			nag_vanilla_vmp_inf_crypt_ghouls	jar_adj_com_unit_set_infantry	false
			nag_vanilla_vmp_inf_cairn_wraiths	jar_adj_com_unit_set_infantry	false
			nag_vanilla_vmp_inf_grave_guard_0	jar_adj_com_unit_set_infantry	false
			nag_vanilla_vmp_inf_grave_guard_1	jar_adj_com_unit_set_infantry	false
			nag_vanilla_vmp_cav_black_knights_0	jar_adj_com_unit_set_cavalry	false
