unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__ovn_albion__
			albion_hearthguard_grudgebringer	jar_adj_com_unit_set_infantry	false
			albion_chariot_grudgebringer	jar_adj_com_unit_set_chariots_war_machines	false
			albion_giant_grudgebringer	jar_adj_com_unit_set_single_entities	false
			albion_huntresses_grudgebringer	jar_adj_com_unit_set_infantry	false
			calm_alb_crow	jar_adj_com_unit_set_war_beasts	false
			calm_alb_raven	jar_adj_com_unit_set_war_beasts	false
			calm_alb_crow_summon	jar_adj_com_unit_set_war_beasts	false
			calm_alb_raven_summon	jar_adj_com_unit_set_war_beasts	false
			elo_fenbeast	jar_adj_com_unit_set_monstrous_infantry	false
			elo_albion_warriors	jar_adj_com_unit_set_infantry	false
			elo_albion_warriors_spears	jar_adj_com_unit_set_infantry	false
			elo_albion_warriors_2h	jar_adj_com_unit_set_infantry	false
			elo_youngbloods	jar_adj_com_unit_set_infantry	false
			elo_woadraider	jar_adj_com_unit_set_infantry	false
			elo_bloodhounds	jar_adj_com_unit_set_war_beasts	false
			albion_giant	jar_adj_com_unit_set_single_entities	false
			ovn_alb_inf_stone_throw_giant	jar_adj_com_unit_set_single_entities	false
			druid_neophytes	jar_adj_com_unit_set_infantry	false
			albion_stonethrower	jar_adj_com_unit_set_chariots_war_machines	false
			albion_huntresses	jar_adj_com_unit_set_infantry	false
			albion_riders	jar_adj_com_unit_set_cavalry	false
			albion_riders_javelins	jar_adj_com_unit_set_cavalry	false
			albion_hearthguard	jar_adj_com_unit_set_infantry	false
			albion_hearthguard_halberd	jar_adj_com_unit_set_infantry	false
			albion_hearthguard_2h	jar_adj_com_unit_set_infantry	false
			albion_swordmaiden	jar_adj_com_unit_set_infantry	false
			albion_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			albion_centaurs	jar_adj_com_unit_set_cavalry	false
			albion_fenhulk	jar_adj_com_unit_set_single_entities	false
			albion_half_giants	jar_adj_com_unit_set_monstrous_infantry	false
			alb_cav_noble	jar_adj_com_unit_set_cavalry	false
			alb_cav_noble_spear	jar_adj_com_unit_set_cavalry	false
			alb_viridian_champ	jar_adj_com_unit_set_infantry	false
			albion_riders_spear	jar_adj_com_unit_set_cavalry	false
			elo_albion_gryphon	jar_adj_com_unit_set_single_entities	false
			elo_summon_fenbeasts	jar_adj_com_unit_set_monstrous_infantry	false
			ovn_barrow_wight	jar_adj_com_unit_set_infantry	false
			albion_shieldmaiden_ror	jar_adj_com_unit_set_infantry	false
			albion_bologs_giant_ror	jar_adj_com_unit_set_single_entities	false
			elo_fly_infested_rotwood	jar_adj_com_unit_set_single_entities	false
			albion_woadraider_sworn_ror	jar_adj_com_unit_set_infantry	false
			alb_cav_noble_first_ror	jar_adj_com_unit_set_cavalry	false
			albion_warriors_lugh	jar_adj_com_unit_set_infantry	false
			albion_huntresses_warden_ror	jar_adj_com_unit_set_infantry	false
			albion_centaur_hunter_ror	jar_adj_com_unit_set_cavalry	false
			albion_cachtorr_stonethrower	jar_adj_com_unit_set_single_entities	false
			albion_highlander_ror	jar_adj_com_unit_set_infantry	false
