unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__ovn_araby__
			ovn_arb_art_grand_bombard	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_arb_art_grand_bombard_ror	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_arb_art_naphtha_thrower	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_arb_art_quadballista	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_arb_art_quadballista_ror	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_arb_cav_arabyan_knights	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_arabyan_knights_ror	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_archer_camels	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_bedouin_scouts	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_flying_carpets	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_flying_carpets_ror	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_jezzail_camels	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_lancer_camels	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_lancer_camels_ror	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_sipahis	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_sipahis_ror	jar_adj_com_unit_set_cavalry	false
			ovn_arb_cav_waghzen	jar_adj_com_unit_set_cavalry	false
			ovn_arb_djinn_carriage	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_arb_inf_alrahem_nomads	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_bowmen	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_guard	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_guard_ror	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_spearmen	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_spearmen_summoned_0	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_spearmen_summoned_1	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_warriors	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_arabyan_warriors_ror	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_corsairs	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_dervishers	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_jezzails	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_jezzails_ror	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_naffatun_ror	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_pit_fighters	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_sharkas_slaves	jar_adj_com_unit_set_infantry	false
			ovn_arb_inf_southland_warriors	jar_adj_com_unit_set_infantry	false
			ovn_arb_mon_book_djinn	jar_adj_com_unit_set_war_beasts	false
			ovn_arb_mon_desert_spirit	jar_adj_com_unit_set_single_entities	false
			ovn_arb_mon_desert_spirit_ror	jar_adj_com_unit_set_single_entities	false
			ovn_arb_mon_desert_spirit_summoned	jar_adj_com_unit_set_single_entities	false
			ovn_arb_mon_elephant	jar_adj_com_unit_set_war_beasts	false
			ovn_arb_mon_enchanted_rope	jar_adj_com_unit_set_monstrous_infantry	false
