unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__ovn_dread_king__
			ovn_dk_inf_skeleton_javelinmen	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_skeleton_hoplites	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_skeleton_pikemen	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_mummies	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_tomb_guardian	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_tomb_guardian_great_weapons	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_tomb_guardian_peltasts	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_tomb_guardian_summoned	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_tomb_guardian_great_weapons_summoned	jar_adj_com_unit_set_infantry	false
			ovn_dk_cav_royal_guard_cavalry	jar_adj_com_unit_set_cavalry	false
			ovn_dk_cav_royal_guard_lancers	jar_adj_com_unit_set_cavalry	false
			ovn_dk_cav_skeleton_horsemen_0	jar_adj_com_unit_set_cavalry	false
			ovn_dk_cav_skeleton_horsemen_archers_0	jar_adj_com_unit_set_cavalry	false
			ovn_dk_veh_skeleton_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_dk_veh_skeleton_archer_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_dk_mon_skeleton_elephant	jar_adj_com_unit_set_single_entities	false
			ovn_dk_mon_skeleton_giant	jar_adj_com_unit_set_single_entities	false
			ovn_dk_art_screaming_skull_ballista	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_dk_art_bone_throwers	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_dk_inf_cairn_wraiths	jar_adj_com_unit_set_infantry	false
			ovn_dk_mon_skeletal_minotaurs	jar_adj_com_unit_set_monstrous_infantry	false
			ovn_dk_mon_skeletal_minotaurs_summon	jar_adj_com_unit_set_monstrous_infantry	false
			ovn_dk_mon_bone_hydra	jar_adj_com_unit_set_single_entities	false
			ovn_dk_veh_mortis_engine_0	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_dk_inf_brigands_ror	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_wights_ror	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_catacomb_guardians_ror	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_mummies_ror	jar_adj_com_unit_set_infantry	false
			ovn_dk_cav_black_grail_knights_ror	jar_adj_com_unit_set_cavalry	false
			ovn_dk_mon_skeleton_elephant_ror	jar_adj_com_unit_set_single_entities	false
			ovn_dk_inf_spartan_ror	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_thessos_ror	jar_adj_com_unit_set_infantry	false
			ovn_dk_cav_ephalian_ror	jar_adj_com_unit_set_cavalry	false
			ovn_dk_art_polybolos_ror	jar_adj_com_unit_set_chariots_war_machines	false
			ovn_dk_inf_skeleton_hoplites_no_caps	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_skeleton_pikemen_no_caps	jar_adj_com_unit_set_infantry	false
			ovn_dk_inf_skeleton_javelinmen_no_caps	jar_adj_com_unit_set_infantry	false
			wh2_dlc09_tmb_inf_skeleton_archers_no_caps	jar_adj_com_unit_set_infantry	false
			ovn_dk_cav_skeleton_horsemen_no_caps	jar_adj_com_unit_set_cavalry	false
			ovn_dk_cav_skeleton_horsemen_archers_no_caps	jar_adj_com_unit_set_cavalry	false
			ovn_dk_mon_skeleton_elephant_no_caps	jar_adj_com_unit_set_single_entities	false
			ovn_dk_mon_skeleton_giant_no_caps	jar_adj_com_unit_set_single_entities	false
			ovn_dk_mon_skeletal_minotaurs_no_caps	jar_adj_com_unit_set_monstrous_infantry	false
			ovn_dk_mon_bone_hydra_no_caps	jar_adj_com_unit_set_single_entities	false
			dread_mon_ushabti_0	jar_adj_com_unit_set_monstrous_infantry	false
			dread_mon_ushabti_1	jar_adj_com_unit_set_monstrous_infantry	false
			dread_inf_tomb_guard_0	jar_adj_com_unit_set_infantry	false
			dread_inf_tomb_guard_1	jar_adj_com_unit_set_infantry	false
			nagash_ovn_dk_mon_skeleton_elephant	jar_adj_com_unit_set_single_entities	false
			nagash_ovn_dk_cav_royal_guard_lancers	jar_adj_com_unit_set_cavalry	false
			nagash_ovn_dk_inf_tomb_guardian_peltasts	jar_adj_com_unit_set_infantry	false
			nagash_ovn_dk_inf_skeleton_pikemen	jar_adj_com_unit_set_infantry	false
			nagash_ovn_dk_inf_tomb_guardian	jar_adj_com_unit_set_infantry	false
			nagash_ovn_dk_inf_skeleton_hoplites	jar_adj_com_unit_set_infantry	false
			nagash_ovn_dk_inf_skeleton_javelinmen_no_caps	jar_adj_com_unit_set_infantry	false
			ovn_dk_cav_hexwraiths	jar_adj_com_unit_set_cavalry	false
			ovn_dk_inf_crypt_ghouls	jar_adj_com_unit_set_infantry	false
			ovn_dk_mon_dire_wolves	jar_adj_com_unit_set_war_beasts	false
			ovn_dk_mon_fell_bats	jar_adj_com_unit_set_war_beasts	false
			nag_morghasts	jar_adj_com_unit_set_war_beasts	false
