unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__ovn_grudgebringers__
			ovn_grudge_grn_mon_giant_boss	jar_adj_com_unit_set_single_entities	false
			teb_pikemen	jar_adj_com_unit_set_infantry	false
			teb_conqui_adventurers	jar_adj_com_unit_set_infantry	false
			teb_pavisiers	jar_adj_com_unit_set_infantry	false
			teb_galloper	jar_adj_com_unit_set_chariots_war_machines	false
			teb_encarmine	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_riverwarden	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_knights_griffon	jar_adj_com_unit_set_cavalry	false
			hkrul_mar_sons_of_manann	jar_adj_com_unit_set_cavalry	false
			snek_hkrul_mar_landship	jar_adj_com_unit_set_cavalry	false
			albion_hearthguard_grudgebringer	jar_adj_com_unit_set_infantry	false
			albion_chariot_grudgebringer	jar_adj_com_unit_set_chariots_war_machines	false
			albion_giant_grudgebringer	jar_adj_com_unit_set_single_entities	false
			albion_huntresses_grudgebringer	jar_adj_com_unit_set_infantry	false
			azguz_bloodfist_dwarf_warriors	jar_adj_com_unit_set_infantry	false
			azguz_bloodfist_dwarf_warriors_upgrade	jar_adj_com_unit_set_infantry	false
			black_avangers	jar_adj_com_unit_set_infantry	false
			boris_von_raukov_4th_nuln_halberdiers	jar_adj_com_unit_set_infantry	false
			grudgebringer_cavalry	jar_adj_com_unit_set_cavalry	false
			grudgebringer_cavalry_upgrade	jar_adj_com_unit_set_cavalry	false
			carlsson_cavalry	jar_adj_com_unit_set_cavalry	false
			vannheim_75th	jar_adj_com_unit_set_cavalry	false
			grudgebringer_infantry	jar_adj_com_unit_set_infantry	false
			grudgebringer_infantry_upgrade	jar_adj_com_unit_set_infantry	false
			dargrimm_firebeard_dwarf_warriors	jar_adj_com_unit_set_infantry	false
			elrod_wood_elf_glade_guards	jar_adj_com_unit_set_infantry	false
			galed_elf_archers	jar_adj_com_unit_set_infantry	false
			galed_elf_archers_upgrade	jar_adj_com_unit_set_infantry	false
			grudgebringer_crossbow	jar_adj_com_unit_set_infantry	false
			grudgebringer_crossbow_upgrade	jar_adj_com_unit_set_infantry	false
			helmgart_bowmen	jar_adj_com_unit_set_infantry	false
			keelers_longbows	jar_adj_com_unit_set_infantry	false
			carlsson_guard	jar_adj_com_unit_set_infantry	false
			carlsson_guard_upgrade	jar_adj_com_unit_set_infantry	false
			carlsson_guard_upgrade_upgrade	jar_adj_com_unit_set_infantry	false
			urblab_rotgut_mercenary_ogres	jar_adj_com_unit_set_monstrous_infantry	false
			grudgebringer_cannon	jar_adj_com_unit_set_chariots_war_machines	false
			uter_blomkwist_imperial_mortar	jar_adj_com_unit_set_chariots_war_machines	false
			countess_guard	jar_adj_com_unit_set_infantry	false
			dieter_schaeffer_carroburg_greatswords	jar_adj_com_unit_set_infantry	false
			dieter_schaeffer_carroburg_greatswords_upgrade	jar_adj_com_unit_set_infantry	false
			jurgen_muntz_outlaw_infantry	jar_adj_com_unit_set_infantry	false
			stephan_weiss_outlaw_pistoliers	jar_adj_com_unit_set_cavalry	false
			treeman_knarlroot	jar_adj_com_unit_set_single_entities	false
