unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__pwner1_wh3_ete_unit_pack__
			wh2_dlc15_grn_mon_river_trolls_0_ete	jar_adj_com_unit_set_monstrous_infantry	false
			wh2_dlc15_grn_mon_river_trolls_0_ete_throgg	jar_adj_com_unit_set_monstrous_infantry	false
			wh2_twa03_grn_mon_wyvern_0_ete	jar_adj_com_unit_set_war_beasts	false
			wh2_twa03_grn_mon_wyvern_0_ror_ete	jar_adj_com_unit_set_war_beasts	false
			wh3_dlc26_grn_mon_arachnarok_spider_flinger_ete	jar_adj_com_unit_set_war_beasts	false
			wh_dlc06_grn_inf_nasty_skulkers_0_ete	jar_adj_com_unit_set_infantry	false
			wh_dlc06_grn_inf_squig_herd_0_ete	jar_adj_com_unit_set_monstrous_infantry	false
			wh_main_grn_cav_orc_boar_boy_big_uns_ror_ete	jar_adj_com_unit_set_cavalry	false
			wh_main_grn_cav_orc_boar_boy_big_uns_ete	jar_adj_com_unit_set_cavalry	false
			wh_main_grn_inf_goblin_spearmen_ete	jar_adj_com_unit_set_infantry	false
			wh_main_grn_inf_orc_big_uns_ror_ete	jar_adj_com_unit_set_infantry	false
			wh_main_grn_inf_orc_big_uns_ete	jar_adj_com_unit_set_infantry	false
			wh_main_grn_inf_orc_boyz_ete	jar_adj_com_unit_set_infantry	false
			wh_main_grn_inf_savage_orc_big_uns_ete	jar_adj_com_unit_set_infantry	false
			wh_main_grn_mon_giant_ete	jar_adj_com_unit_set_war_beasts	false
			wh_main_grn_mon_trolls_ete	jar_adj_com_unit_set_monstrous_infantry	false
			wh_main_grn_art_doom_diver_catapult_ete	jar_adj_com_unit_set_chariots_war_machines	false
			wh_dlc06_grn_inf_krimson_killerz_0_ror_ete	jar_adj_com_unit_set_infantry	false
			wh_main_grn_inf_black_orcs_ete	jar_adj_com_unit_set_infantry	false
			wh_main_grn_cav_savage_orc_boar_boy_big_uns_ete	jar_adj_com_unit_set_cavalry	false
			1dae	jar_adj_com_unit_set_war_beasts	false
			12dae	jar_adj_com_unit_set_war_beasts	false
			2dae	jar_adj_com_unit_set_war_beasts	false
			3dae	jar_adj_com_unit_set_monstrous_infantry	false
			4kho	jar_adj_com_unit_set_war_beasts	false
			5kho	jar_adj_com_unit_set_war_beasts	false
			6nur	jar_adj_com_unit_set_war_beasts	false
			7nur	jar_adj_com_unit_set_war_beasts	false
			8sla	jar_adj_com_unit_set_war_beasts	false
			9sla	jar_adj_com_unit_set_war_beasts	false
			10tze	jar_adj_com_unit_set_war_beasts	false
			11tze	jar_adj_com_unit_set_war_beasts	false
			2mammoth	jar_adj_com_unit_set_war_beasts	false
			1wyrm	jar_adj_com_unit_set_war_beasts	false
			3manticore_sla	jar_adj_com_unit_set_war_beasts	false
			3manticore_nur	jar_adj_com_unit_set_war_beasts	false
			3manticore_tze	jar_adj_com_unit_set_war_beasts	false
			3manticore_kho	jar_adj_com_unit_set_war_beasts	false
			3manticore	jar_adj_com_unit_set_war_beasts	false
			4dragon	jar_adj_com_unit_set_war_beasts	false
			4dragon_nur	jar_adj_com_unit_set_war_beasts	false
			4dragon_tze	jar_adj_com_unit_set_war_beasts	false
			4dragon_kho	jar_adj_com_unit_set_war_beasts	false
			4dragon_sla	jar_adj_com_unit_set_war_beasts	false
			4dragon_sla_aza	jar_adj_com_unit_set_war_beasts	false
			wh_dlc06_dwf_inf_rangers_0_ete_ror	jar_adj_com_unit_set_infantry	false
			wh_dlc06_dwf_inf_rangers_0_ete	jar_adj_com_unit_set_infantry	false
			wh_dlc06_dwf_inf_bugmans_rangers_0_ete	jar_adj_com_unit_set_infantry	false
			wh_main_dwf_inf_hammerers_ete	jar_adj_com_unit_set_infantry	false
			wh_main_dwf_inf_ironbreakers_ete	jar_adj_com_unit_set_infantry	false
			wh_main_dwf_inf_longbeards_ete	jar_adj_com_unit_set_infantry	false
			wh_main_dwf_inf_slayers_ete_ror	jar_adj_com_unit_set_infantry	false
			wh_main_dwf_inf_slayers_ete	jar_adj_com_unit_set_infantry	false
