unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__scm_skaven_clans__
			bc_rotten_rodent_dual	jar_adj_com_unit_set_infantry	false
			bc_rotten_rodent	jar_adj_com_unit_set_infantry	false
			bc_pusbags	jar_adj_com_unit_set_infantry	false
			bc_pusbags_flail	jar_adj_com_unit_set_infantry	false
			bc_pusbags_sling	jar_adj_com_unit_set_infantry	false
			bc_frothing_giant_rats	jar_adj_com_unit_set_war_beasts	false
			bc_frothing_giant_rats_poison	jar_adj_com_unit_set_war_beasts	false
			bc_mad_rat_ogres	jar_adj_com_unit_set_monstrous_infantry	false
			bc_rat_spawn	jar_adj_com_unit_set_monstrous_infantry	false
			bc_pusbags_flail_ror	jar_adj_com_unit_set_infantry	false
			bc_rat_spawn_ror	jar_adj_com_unit_set_monstrous_infantry	false
			bc_mad_rat_ogres_ror	jar_adj_com_unit_set_monstrous_infantry	false
			bc_rotten_rodent_dual_ror	jar_adj_com_unit_set_infantry	false
			bc_frothing_giant_rats_ror	jar_adj_com_unit_set_war_beasts	false
			bc_ror_creeping_death	jar_adj_com_unit_set_infantry	false
			bc_ror_bilekin	jar_adj_com_unit_set_infantry	false
			bc_ror_chained_ones	jar_adj_com_unit_set_infantry	false
			bc_ror_slimeblades	jar_adj_com_unit_set_infantry	false
			bc_ror_virulent_batteries	jar_adj_com_unit_set_chariots_war_machines	false
			bc_ror_plaguevermin	jar_adj_com_unit_set_infantry	false
			bc_septik_plaguevermin	jar_adj_com_unit_set_infantry	false
			bc_septik_ror_rustblades	jar_adj_com_unit_set_infantry	false
			str_pox_rat	jar_adj_com_unit_set_single_entities	false
			str_skittice_sum_rustblade	jar_adj_com_unit_set_infantry	false
			str_gangrous_vermin	jar_adj_com_unit_set_infantry	false
			str_gangrous_clanrats	jar_adj_com_unit_set_infantry	false
			str_gangrous_vermin_ror	jar_adj_com_unit_set_infantry	false
			str_fester_ratling_horde	jar_adj_com_unit_set_infantry	false
			str_bubonic_skrat_spawn	jar_adj_com_unit_set_monstrous_infantry	false
			str_bubonic_morbidus_rat_ogre	jar_adj_com_unit_set_monstrous_infantry	false
			str_bubonic_septik_plaguevermin	jar_adj_com_unit_set_infantry	false
			str_bubonic_fester_censer	jar_adj_com_unit_set_infantry	false
			str_treecherik_skurry_stabbers	jar_adj_com_unit_set_infantry	false
			hcm_ror_ironskins	jar_adj_com_unit_set_infantry	false
			hcm_ror_fangsnapper	jar_adj_com_unit_set_infantry	false
			hcm_ror_blacktail	jar_adj_com_unit_set_infantry	false
			hcm_ror_mangefurs	jar_adj_com_unit_set_infantry	false
			hcm_ror_vatbacks	jar_adj_com_unit_set_infantry	false
			hcs_ror_lektrik_coven	jar_adj_com_unit_set_infantry	false
			hcs_ror_technox	jar_adj_com_unit_set_infantry	false
			hcs_ror_doomwheel_brigade	jar_adj_com_unit_set_chariots_war_machines	false
			hcs_ror_blackarc	jar_adj_com_unit_set_chariots_war_machines	false
			hcs_ror_warpfangs	jar_adj_com_unit_set_infantry	false
			kratch_ror_deathvermin	jar_adj_com_unit_set_infantry	false
			slaves_slingers_shielded	jar_adj_com_unit_set_infantry	false
			slaves_spears_shielded	jar_adj_com_unit_set_infantry	false
			slaves_shielded	jar_adj_com_unit_set_infantry	false
			slaves_spears_slingers_shielded	jar_adj_com_unit_set_infantry	false
			str_ror_bonefodder	jar_adj_com_unit_set_infantry	false
			str_ror_skullsplinters	jar_adj_com_unit_set_infantry	false
			str_ror_hell_pit_horrors	jar_adj_com_unit_set_war_beasts	false
			str_ror_seep_gore	jar_adj_com_unit_set_single_entities	false
			str_ror_warpshields	jar_adj_com_unit_set_infantry	false
			str_ror_burrow_crackers	jar_adj_com_unit_set_infantry	false
			str_ror_black_13	jar_adj_com_unit_set_single_entities	false
			str_verminkin	jar_adj_com_unit_set_infantry	false
			str_night_runners	jar_adj_com_unit_set_infantry	false
			str_warpguard	jar_adj_com_unit_set_infantry	false
			str_warpguard_halberd	jar_adj_com_unit_set_infantry	false
			str_black_skaven	jar_adj_com_unit_set_infantry	false
			str_verminkin_ror	jar_adj_com_unit_set_infantry	false
			str_night_runners_ror	jar_adj_com_unit_set_infantry	false
			str_warpguard_ror	jar_adj_com_unit_set_infantry	false
			str_warpguard_halberd_ror	jar_adj_com_unit_set_infantry	false
			str_black_skaven_ror	jar_adj_com_unit_set_infantry	false
			str_shadow_ogre	jar_adj_com_unit_set_monstrous_infantry	false
			str_shadow_ogre_ror	jar_adj_com_unit_set_monstrous_infantry	false
			str_verms_giant_spider	jar_adj_com_unit_set_war_beasts	false
			str_verms_spider_hatchling	jar_adj_com_unit_set_infantry	false
			str_verms_bats	jar_adj_com_unit_set_war_beasts	false
			str_verms_flies	jar_adj_com_unit_set_war_beasts	false
			str_verms_toads	jar_adj_com_unit_set_monstrous_infantry	false
			str_verms_scorpions	jar_adj_com_unit_set_war_beasts	false
			str_verms_scorpions_sum	jar_adj_com_unit_set_war_beasts	false
			str_verms_giant_bat	jar_adj_com_unit_set_single_entities	false
			str_verms_giant_scorpion	jar_adj_com_unit_set_single_entities	false
			str_verms_verminkeepers	jar_adj_com_unit_set_infantry	false
			str_verms_scuttlers	jar_adj_com_unit_set_infantry	false
			str_verms_scuttlers_spider	jar_adj_com_unit_set_infantry	false
			str_verms_arach	jar_adj_com_unit_set_single_entities	false
			str_verms_lamplighters	jar_adj_com_unit_set_infantry	false
			str_verms_slingers	jar_adj_com_unit_set_infantry	false
			str_verms_spider_hatchling_sum	jar_adj_com_unit_set_infantry	false
			str_verms_bats_sum	jar_adj_com_unit_set_war_beasts	false
			str_verms_flies_sum	jar_adj_com_unit_set_war_beasts	false
			str_verms_giant_bat_sum	jar_adj_com_unit_set_single_entities	false
			str_verms_verminkeepers_ror	jar_adj_com_unit_set_infantry	false
			str_verms_scuttlers_spider_ror	jar_adj_com_unit_set_infantry	false
			str_verms_lamplighters_ror	jar_adj_com_unit_set_infantry	false
			str_verms_slingers_ror	jar_adj_com_unit_set_infantry	false
			str_verms_spider_riders	jar_adj_com_unit_set_cavalry	false
			str_verms_spider_riders_ror	jar_adj_com_unit_set_cavalry	false
			clan_vrrtkin_clanrat_basic	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_clanrat_shield	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_clanrat_spear	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_clanrat_spear_shield	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_skavenslave_spearmen	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_skavenslaves	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_stormvermin	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_stormvermin_shield	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_skavenslave_slingers	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_poison_wind_globadiers	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_death_globe_bombardiers	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_warpfire_thrower	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_inf_warplock_jezzails	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_inf_cutthroats	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_inf_turntails_ror	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_mon_hell_pit_abomination	jar_adj_com_unit_set_single_entities	false
			clan_vrrtkin_ratogres_ror	jar_adj_com_unit_set_cavalry	false
			clan_vrrtkin_ratogres	jar_adj_com_unit_set_monstrous_infantry	false
			clan_vrrtkin_mortar	jar_adj_com_unit_set_chariots_war_machines	false
			clan_vrrtkin_gasthrower	jar_adj_com_unit_set_chariots_war_machines	false
			clan_vrrtkin_globeclaw_catapult	jar_adj_com_unit_set_chariots_war_machines	false
			clan_vrrtkin_veh_doomwheel	jar_adj_com_unit_set_chariots_war_machines	false
			clan_vrrtkin_veh_doom_flayer	jar_adj_com_unit_set_chariots_war_machines	false
			clan_vrrtkin_art_poison_wind_mortar	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_art_poison_wind_mortar_ror	jar_adj_com_unit_set_infantry	false
			clan_vrrtkin_skv_inf_warp_grinder	jar_adj_com_unit_set_infantry	false
