unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__sfo_grimhammer_3_main__
			wh_dlc04_vmp_cha_strigoi_ghoul_king_0_boss	jar_adj_com_unit_set_single_entities	false
			emp_carroburg	jar_adj_com_unit_set_infantry	false
			emp_altdorf_company	jar_adj_com_unit_set_infantry	false
			emp_knights_panther	jar_adj_com_unit_set_cavalry	false
			emp_sigmar_war	jar_adj_com_unit_set_infantry	false
			emp_witch_squad	jar_adj_com_unit_set_infantry	false
			emp_wolf_kin	jar_adj_com_unit_set_infantry	false
			emp_wolf_knight	jar_adj_com_unit_set_cavalry	false
			emp_officer_squad	jar_adj_com_unit_set_infantry	false
			emp_tank_ror	jar_adj_com_unit_set_chariots_war_machines	false
			emp_ulric_sons	jar_adj_com_unit_set_infantry	false
			emp_hound	jar_adj_com_unit_set_single_entities	false
			emp_flagellants_ext	jar_adj_com_unit_set_infantry	false
			brt_longbows	jar_adj_com_unit_set_infantry	false
			brt_macemen	jar_adj_com_unit_set_infantry	false
			brt_hermit	jar_adj_com_unit_set_infantry	false
			brt_foot_knight	jar_adj_com_unit_set_infantry	false
			brt_hood	jar_adj_com_unit_set_infantry	false
			grn_black_orc_immortulz	jar_adj_com_unit_set_infantry	false
			grn_poor_crossbow	jar_adj_com_unit_set_infantry	false
			grn_forest_spear	jar_adj_com_unit_set_infantry	false
			grn_giant_squig	jar_adj_com_unit_set_war_beasts	false
			grn_boom_squig	jar_adj_com_unit_set_single_entities	false
			grn_savage_big_great	jar_adj_com_unit_set_infantry	false
			grn_savage_idol_1	jar_adj_com_unit_set_single_entities	false
			grn_savage_idol_2	jar_adj_com_unit_set_single_entities	false
			grn_savage_idol_3	jar_adj_com_unit_set_single_entities	false
			grn_savage_idol_4	jar_adj_com_unit_set_single_entities	false
			grn_savage_idol_5	jar_adj_com_unit_set_single_entities	false
			grn_savage_idol_6	jar_adj_com_unit_set_single_entities	false
			dwf_daemon_slayer	jar_adj_com_unit_set_infantry	false
			dwf_oathsworn	jar_adj_com_unit_set_infantry	false
			dwf_sniper	jar_adj_com_unit_set_infantry	false
			dwf_thunderers_grudge	jar_adj_com_unit_set_infantry	false
			dwf_everguard	jar_adj_com_unit_set_infantry	false
			dwf_everguard_shield	jar_adj_com_unit_set_infantry	false
			vmp_black_grail	jar_adj_com_unit_set_cavalry	false
			vmp_blood_dragon	jar_adj_com_unit_set_infantry	false
			vmp_zombie_dragon	jar_adj_com_unit_set_single_entities	false
			vmp_grave_halberd_half	jar_adj_com_unit_set_infantry	false
			vmp_grave_halberd	jar_adj_com_unit_set_infantry	false
			vmp_grave_halberd_attack	jar_adj_com_unit_set_infantry	false
			vmp_grave_halberd_defence	jar_adj_com_unit_set_infantry	false
			vmp_dire_bats	jar_adj_com_unit_set_war_beasts	false
			vmp_spirit_hosts	jar_adj_com_unit_set_infantry	false
			vmp_red_death_knights	jar_adj_com_unit_set_cavalry	false
			vmp_drakenhof_guard	jar_adj_com_unit_set_infantry	false
			vmp_spectre_wood	jar_adj_com_unit_set_cavalry	false
			bst_khorngor	jar_adj_com_unit_set_infantry	false
			bst_pestigor	jar_adj_com_unit_set_infantry	false
			bst_slaangor	jar_adj_com_unit_set_infantry	false
			bst_tzaangor	jar_adj_com_unit_set_infantry	false
			bst_ghorok	jar_adj_com_unit_set_single_entities	false
			bst_crows	jar_adj_com_unit_set_war_beasts	false
			bst_warhound	jar_adj_com_unit_set_single_entities	false
			nor_blessed	jar_adj_com_unit_set_infantry	false
			nor_whaler	jar_adj_com_unit_set_infantry	false
			nor_fimir_pack	jar_adj_com_unit_set_infantry	false
			nor_huscarls	jar_adj_com_unit_set_infantry	false
			nor_ulf	jar_adj_com_unit_set_infantry	false
			nor_bile_troll	jar_adj_com_unit_set_single_entities	false
			nor_river_troll	jar_adj_com_unit_set_monstrous_infantry	false
			nor_stone_troll	jar_adj_com_unit_set_monstrous_infantry	false
			skv_black13	jar_adj_com_unit_set_infantry	false
			skv_rictus_stormvermin_0	jar_adj_com_unit_set_infantry	false
			skv_rictus_stormvermin_1	jar_adj_com_unit_set_infantry	false
			skv_redguard	jar_adj_com_unit_set_infantry	false
			skv_mors_clanrats_shield	jar_adj_com_unit_set_infantry	false
			skv_mors_clanrats_mace	jar_adj_com_unit_set_infantry	false
