unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_combat__singe_units_wh_all__
			singe_ogk_irongut_ironfists	jar_adj_com_unit_set_monstrous_infantry	false
			singe_ogk_irongut_dual	jar_adj_com_unit_set_monstrous_infantry	false
			singe_ogk_rhinox_herd	jar_adj_com_unit_set_war_beasts	false
			singe_ogk_mournfang_pack	jar_adj_com_unit_set_war_beasts	false
			singe_ogk_rocketspitters	jar_adj_com_unit_set_monstrous_infantry	false
			singe_lzd_hornedone_riders	jar_adj_com_unit_set_cavalry	false
			singe_lzd_redcrest_cohort	jar_adj_com_unit_set_infantry	false
			singe_lzd_temple_cohort	jar_adj_com_unit_set_infantry	false
			singe_lzd_ancient_razordon	jar_adj_com_unit_set_single_entities	false
			singe_lzd_temple_maces	jar_adj_com_unit_set_infantry	false
			singe_lzd_temple_riders	jar_adj_com_unit_set_cavalry	false
			singe_lzd_temple_maces_nakai	jar_adj_com_unit_set_infantry	false
			singe_lzd_temple_riders_nakai	jar_adj_com_unit_set_cavalry	false
			singe_lzd_chameleon_slayers	jar_adj_com_unit_set_infantry	false
			brt_foot_knight	jar_adj_com_unit_set_infantry	false
			brt_ranger	jar_adj_com_unit_set_infantry	false
			brt_squire_longbow	jar_adj_com_unit_set_infantry	false
			brt_brigand	jar_adj_com_unit_set_infantry	false
			brt_fire_trebuchet	jar_adj_com_unit_set_chariots_war_machines	false
			brt_siege_trebuchet	jar_adj_com_unit_set_chariots_war_machines	false
			brt_squire_shield	jar_adj_com_unit_set_infantry	false
			brt_guardians_realm	jar_adj_com_unit_set_cavalry	false
			brt_questing_wardens	jar_adj_com_unit_set_cavalry	false
			brt_flaming_trebuchet	jar_adj_com_unit_set_chariots_war_machines	false
			brt_squire_polearm	jar_adj_com_unit_set_infantry	false
			brt_spirits_fay	jar_adj_com_unit_set_infantry	false
			brt_hermit_knights	jar_adj_com_unit_set_infantry	false
			brt_truffle_hounds	jar_adj_com_unit_set_war_beasts	false
			great_falcons	jar_adj_com_unit_set_war_beasts	false
			singe_brt_yeomen_pox	jar_adj_com_unit_set_cavalry	false
			singe_brt_yeomen_flame	jar_adj_com_unit_set_cavalry	false
			singe_brt_unicorn_knights	jar_adj_com_unit_set_cavalry	false
			singe_brt_serjeant_polearm	jar_adj_com_unit_set_infantry	false
			singe_brt_serjeant_shield	jar_adj_com_unit_set_infantry	false
			singe_brt_serjeant_sword	jar_adj_com_unit_set_infantry	false
			singe_brt_menpole_shield	jar_adj_com_unit_set_infantry	false
			singe_vc_skelly_scythe	jar_adj_com_unit_set_infantry	false
			singe_vc_graveguard_scythe	jar_adj_com_unit_set_infantry	false
			singe_vc_strigoi_terrors	jar_adj_com_unit_set_monstrous_infantry	false
			singe_vc_spirit_host	jar_adj_com_unit_set_infantry	false
			singe_vc_zombie_dragon	jar_adj_com_unit_set_single_entities	false
			singe_vc_blood_foot_duel	jar_adj_com_unit_set_infantry	false
			singe_vc_blood_foot_shield	jar_adj_com_unit_set_infantry	false
			singe_vc_hell_knights	jar_adj_com_unit_set_cavalry	false
			singe_emp_arm_swords	jar_adj_com_unit_set_infantry	false
			singe_emp_arm_spears	jar_adj_com_unit_set_infantry	false
			singe_emp_arm_halberd	jar_adj_com_unit_set_infantry	false
