unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!!!lost_calm_jurassic_normal__
			calm_elite_terradon	jar_ac_unit_set_cavalry	false
			calm_feral_proto	jar_ac_unit_set_monstrous_infantry	false
			calm_spitter_proto	jar_ac_unit_set_monstrous_infantry	false
			calm_armoured_proto	jar_ac_unit_set_monstrous_infantry	false
			calm_shield_proto	jar_ac_unit_set_monstrous_infantry	false
			calm_custodian	jar_ac_unit_set_single_entities	false
			calm_pirhajara	jar_ac_unit_set_war_beasts	false
			calm_arceopteryx	jar_ac_unit_set_cavalry	false
			calm_ankylosaur	jar_ac_unit_set_single_entities	false
			calm_ankylosaur_artillery	jar_ac_unit_set_single_entities	false
			calm_culchan	jar_ac_unit_set_cavalry	false
			calm_culchan_cav	jar_ac_unit_set_cavalry	false
			calm_vulture	jar_ac_unit_set_single_entities	false
			calm_nuatl	jar_ac_unit_set_monstrous_infantry	false
			calm_parasaur_feral	jar_ac_unit_set_war_beasts	false
			calm_parasaur	jar_ac_unit_set_cavalry	false
			calm_cerapod	jar_ac_unit_set_cavalry	false
			calm_cerapod_riders	jar_ac_unit_set_cavalry	false
			calm_feral_cherupins	jar_ac_unit_set_cavalry	false
			calm_cherupins	jar_ac_unit_set_cavalry	false
			calm_croc	jar_ac_unit_set_cavalry	false
			calm_croc_cav	jar_ac_unit_set_cavalry	false
			calm_allosaur	jar_ac_unit_set_war_beasts	false
			calm_allosaur_riders	jar_ac_unit_set_cavalry	false
			calm_stegasaur	jar_ac_unit_set_single_entities	false
			calm_stegasaur_artillery	jar_ac_unit_set_single_entities	false
			calm_ictlamimus	jar_ac_unit_set_single_entities	false
			calm_rodan	jar_ac_unit_set_single_entities	false
			calm_ornisornis	jar_ac_unit_set_cavalry	false
			calm_terror_bird	jar_ac_unit_set_single_entities	false
			calm_colossodon	jar_ac_unit_set_single_entities	false
			calm_pachy	jar_ac_unit_set_cavalry	false
			calm_xholadocus	jar_ac_unit_set_single_entities	false
			calm_dilophiraptor	jar_ac_unit_set_monstrous_infantry	false
			calm_pleuridon	jar_ac_unit_set_single_entities	false
			calm_rex	jar_ac_unit_set_single_entities	false
			calm_thunder_lizard	jar_ac_unit_set_single_entities	false
			calm_quatzelotus	jar_ac_unit_set_single_entities	false
