unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!!scm_motm__
			um_ogr_treehammer_bulls_01	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_treehammer_bulls_02	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_treehammer_maneaters_01	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_treehammer_maneaters_02	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_hrothgul_yhetees_ironfists	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_hrothgul_yhetees_great_weapon	jar_adj_com_unit_set_monstrous_infantry	false
			hrothgul_gorgers	jar_adj_com_unit_set_monstrous_infantry	false
			hrothgul_thundertusk_shrine	jar_adj_com_unit_set_single_entities	false
			ogr_ice_mammoth_feral	jar_adj_com_unit_set_single_entities	false
			motm_boomhogg	jar_adj_com_unit_set_single_entities	false
			um_ogr_captain	jar_adj_com_unit_set_single_entities	false
			um_ogr_diver_01	jar_adj_com_unit_set_single_entities	false
			um_ogr_diver_02	jar_adj_com_unit_set_single_entities	false
			um_ogr_diver_03	jar_adj_com_unit_set_single_entities	false
			motm_gnoblar_scraplauncher_ror	jar_adj_com_unit_set_chariots_war_machines	false
			motm_ironblaster_ror	jar_adj_com_unit_set_chariots_war_machines	false
			um_ogr_sea_rider	jar_adj_com_unit_set_war_beasts	false
			motm_rotting_leviathan_ror	jar_adj_com_unit_set_single_entities	false
			motm_necrofex_colossus_ror	jar_adj_com_unit_set_single_entities	false
			motm_beastclad_reavers	jar_adj_com_unit_set_monstrous_infantry	false
			motm_jhared_feral_mournfang	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_rhinox	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_stonehorn	jar_adj_com_unit_set_single_entities	false
			motm_jhared_feral_thundertusk	jar_adj_com_unit_set_single_entities	false
			motm_jhared_crabs	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_mammoth	jar_adj_com_unit_set_single_entities	false
			motm_jhared_wolves	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_wyvern	jar_adj_com_unit_set_single_entities	false
			motm_jhared_squig_explosive	jar_adj_com_unit_set_single_entities	false
			motm_jhared_feral_bears	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_ice_bears	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_cold_ones	jar_adj_com_unit_set_cavalry	false
			motm_jhared_feral_carnosaur	jar_adj_com_unit_set_single_entities	false
			motm_jhared_feral_stegadon	jar_adj_com_unit_set_single_entities	false
			motm_jhared_feral_hydra	jar_adj_com_unit_set_single_entities	false
			motm_jhared_sabretusk_pack	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_feral_manticore	jar_adj_com_unit_set_single_entities	false
			motm_jhared_giant_spiders	jar_adj_com_unit_set_war_beasts	false
			motm_jhared_great_eagle	jar_adj_com_unit_set_single_entities	false
			um_ogr_flamefang_cavalry	jar_adj_com_unit_set_cavalry	false
			um_ogr_flamefang_cavalry_summoned	jar_adj_com_unit_set_cavalry	false
			um_ogr_morg_ironguts_ror	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flamewarrior	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flameeater_hammer	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flameeater_pistol	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_flamegut	jar_adj_com_unit_set_monstrous_infantry	false
			ogr_flame_spirits	jar_adj_com_unit_set_war_beasts	false
			ogr_flame_spirits_summoned	jar_adj_com_unit_set_war_beasts	false
			ogr_flame_thrower	jar_adj_com_unit_set_monstrous_infantry	false
			fulg_irongut	jar_adj_com_unit_set_monstrous_infantry	false
			lab_ogr_inf_gnoblars_0	jar_adj_com_unit_set_infantry	false
			lab_ogr_inf_gnoblars_1	jar_adj_com_unit_set_infantry	false
			lab_skv_brood_horror	jar_adj_com_unit_set_single_entities	false
			lab_skv_rat_ogre_mutant	jar_adj_com_unit_set_single_entities	false
			lab_skv_rat_ogre_mutant_summoned	jar_adj_com_unit_set_single_entities	false
			lab_skv_hell_pit_abomination	jar_adj_com_unit_set_single_entities	false
			lab_skv_rat_ogre	jar_adj_com_unit_set_monstrous_infantry	false
			lab_skv_rat_ogre_summoned	jar_adj_com_unit_set_monstrous_infantry	false
			lab_ogr_sabretusk	jar_adj_com_unit_set_war_beasts	false
			um_kho_ogre_0	jar_adj_com_unit_set_monstrous_infantry	false
			um_kho_ogre_1	jar_adj_com_unit_set_monstrous_infantry	false
			um_kho_ogre_2	jar_adj_com_unit_set_monstrous_infantry	false
			frb_chaos_ogre_khorne_0	jar_adj_com_unit_set_monstrous_infantry	false
			seals_khor_chs_mon_giant	jar_adj_com_unit_set_single_entities	false
			motm_katerina_sabretusk	jar_adj_com_unit_set_single_entities	false
			um_ogr_earth_elemental	jar_adj_com_unit_set_single_entities	false
			um_ogr_skullflingers	jar_adj_com_unit_set_infantry	false
			um_ogr_dirty_shanks	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_manbiters	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_old_funders_boys	jar_adj_com_unit_set_monstrous_infantry	false
			um_ogr_blu	jar_adj_com_unit_set_single_entities	false
			um_ogr_blackpowder	jar_adj_com_unit_set_chariots_war_machines	false
			motm_ogr_mon_stone_trolls_0	jar_adj_com_unit_set_monstrous_infantry	false
			motm_ogr_pit_fighters	jar_adj_com_unit_set_monstrous_infantry	false
			motm_ogr_pit_fighters_cavalry	jar_adj_com_unit_set_cavalry	false
			blaut_maneaters	jar_adj_com_unit_set_monstrous_infantry	false
			blaut_maneaters_ror	jar_adj_com_unit_set_monstrous_infantry	false
			blautfang_warbeasts	jar_adj_com_unit_set_war_beasts	false
			um_gnoblar_grillers	jar_adj_com_unit_set_infantry	false
			um_gnoblar_grillers_ror	jar_adj_com_unit_set_infantry	false
			ogr_arachnarok_spider_0	jar_adj_com_unit_set_single_entities	false
			ogr_arachnarok_spider_flinger	jar_adj_com_unit_set_single_entities	false
			um_gnoblar_spider_riders_0	jar_adj_com_unit_set_cavalry	false
			um_gnoblar_spider_riders_1	jar_adj_com_unit_set_cavalry	false
			um_gnoblar_spider_riders_ror	jar_adj_com_unit_set_cavalry	false
			gnoblar_spider_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			hunter_spider_chariot	jar_adj_com_unit_set_chariots_war_machines	false
			fleshrender_hunters	jar_adj_com_unit_set_monstrous_infantry	false
			motm_giant_spiders	jar_adj_com_unit_set_war_beasts	false
			ogr_lava_arachnarok_ror	jar_adj_com_unit_set_single_entities	false
			motm_mon_spider_hatchlings	jar_adj_com_unit_set_war_beasts	false
			motm_giant_spider_lava	jar_adj_com_unit_set_war_beasts	false
			motm_feral_arachnarok_spider_lava	jar_adj_com_unit_set_single_entities	false
			motm_giant_spider_snagla	jar_adj_com_unit_set_war_beasts	false
			motm_feral_arachnarok_spider_flinger	jar_adj_com_unit_set_single_entities	false
			motm_giant_spider_creepers	jar_adj_com_unit_set_war_beasts	false
			motm_feral_arachnarok_spider	jar_adj_com_unit_set_single_entities	false
			motm_hollowbellies_ror	jar_adj_com_unit_set_monstrous_infantry	false
			motm_dune_vulture	jar_adj_com_unit_set_single_entities	false
			motm_cyclop	jar_adj_com_unit_set_single_entities	false
