unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!ak_teb3__
			teb_roc_dieterfist	jar_adj_com_unit_set_infantry	false
			teb_roc_estragon	jar_adj_com_unit_set_infantry	false
			teb_roc_verena	jar_adj_com_unit_set_infantry	false
			teb_roc_strygos	jar_adj_com_unit_set_infantry	false
			teb_roc_broswords	jar_adj_com_unit_set_cavalry	false
			teb_roc_gwatch	jar_adj_com_unit_set_infantry	false
			teb_roc_kotss	jar_adj_com_unit_set_cavalry	false
			teb_roc_organ	jar_adj_com_unit_set_chariots_war_machines	false
			teb_roc_gunn	jar_adj_com_unit_set_cavalry	false
			teb_roc_montecastello	jar_adj_com_unit_set_cavalry	false
			teb_tank_ror	jar_adj_com_unit_set_chariots_war_machines	false
			teb_pikemen	jar_adj_com_unit_set_infantry	false
			teb_montante_greatswords	jar_adj_com_unit_set_infantry	false
			teb_republican_guard	jar_adj_com_unit_set_infantry	false
			teb_paymaster	jar_adj_com_unit_set_chariots_war_machines	false
			teb_pavisiers	jar_adj_com_unit_set_infantry	false
			teb_sartosan_pirates	jar_adj_com_unit_set_infantry	false
			teb_broken_lances	jar_adj_com_unit_set_cavalry	false
			teb_noble_retinue	jar_adj_com_unit_set_cavalry	false
			teb_encarmine	jar_adj_com_unit_set_cavalry	false
			teb_carabiniers	jar_adj_com_unit_set_cavalry	false
			teb_light_cannon	jar_adj_com_unit_set_chariots_war_machines	false
			teb_conqui_royal_guard	jar_adj_com_unit_set_infantry	false
			teb_conqui_adventurers	jar_adj_com_unit_set_infantry	false
			teb_conqui_riders	jar_adj_com_unit_set_cavalry	false
			teb_conqui_lancers	jar_adj_com_unit_set_cavalry	false
			teb_kotrs	jar_adj_com_unit_set_cavalry	false
			teb_bwatch	jar_adj_com_unit_set_infantry	false
			teb_shieldbearers	jar_adj_com_unit_set_infantry	false
			teb_enforcers	jar_adj_com_unit_set_cavalry	false
			teb_militia_archers	jar_adj_com_unit_set_infantry	false
			teb_freelance_knights	jar_adj_com_unit_set_cavalry	false
			teb_militia_knights	jar_adj_com_unit_set_cavalry	false
			teb_light_scouts	jar_adj_com_unit_set_cavalry	false
			teb_border_rangers	jar_adj_com_unit_set_infantry	false
			teb_swash	jar_adj_com_unit_set_infantry	false
			teb_duellists	jar_adj_com_unit_set_infantry	false
			teb_sisters	jar_adj_com_unit_set_infantry	false
			teb_xbow_cav	jar_adj_com_unit_set_cavalry	false
			teb_irrana	jar_adj_com_unit_set_infantry	false
			teb_half_pikes	jar_adj_com_unit_set_infantry	false
			teb_militia_spearmen	jar_adj_com_unit_set_infantry	false
			teb_billmen	jar_adj_com_unit_set_infantry	false
			teb_billmen_garri	jar_adj_com_unit_set_infantry	false
			teb_guard_kossars	jar_adj_com_unit_set_infantry	false
			teb_xbowmen	jar_adj_com_unit_set_infantry	false
			teb_handgunners	jar_adj_com_unit_set_infantry	false
			teb_galloper_limbered	jar_adj_com_unit_set_chariots_war_machines	false
			teb_galloper	jar_adj_com_unit_set_chariots_war_machines	false
			teb_tank	jar_adj_com_unit_set_chariots_war_machines	false
			teb_golden_lion	jar_adj_com_unit_set_single_entities	false
			teb_ricco	jar_adj_com_unit_set_infantry	false
			teb_alcatani	jar_adj_com_unit_set_infantry	false
			teb_pirazzo	jar_adj_com_unit_set_infantry	false
			teb_pirazzo_xbows	jar_adj_com_unit_set_infantry	false
			teb_leopard	jar_adj_com_unit_set_infantry	false
			teb_venators	jar_adj_com_unit_set_cavalry	false
			teb_vespero	jar_adj_com_unit_set_infantry	false
			teb_marksmen	jar_adj_com_unit_set_infantry	false
			teb_besiegers	jar_adj_com_unit_set_infantry	false
			teb_muktar	jar_adj_com_unit_set_cavalry	false
			teb_amazons	jar_adj_com_unit_set_infantry	false
			teb_cursed	jar_adj_com_unit_set_infantry	false
			teb_origo	jar_adj_com_unit_set_infantry	false
			teb_manflayers	jar_adj_com_unit_set_infantry	false
			teb_asarnil	jar_adj_com_unit_set_single_entities	false
			teb_tichi	jar_adj_com_unit_set_cavalry	false
			teb_bronzino_limbered	jar_adj_com_unit_set_chariots_war_machines	false
			teb_bronzino	jar_adj_com_unit_set_chariots_war_machines	false
			teb_birdmen	jar_adj_com_unit_set_monstrous_infantry	false
