unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!alshua_go_squig_or_go_home__
			ws_mon_squig_gobba	jar_adj_com_unit_set_single_entities	false
			als_squig_bitey	jar_adj_com_unit_set_infantry	false
			als_squig_great_cave	jar_adj_com_unit_set_monstrous_infantry	false
			als_squig_flappy	jar_adj_com_unit_set_war_beasts	false
			als_squig_flappy_big	jar_adj_com_unit_set_monstrous_infantry	false
			als_squig_tomb	jar_adj_com_unit_set_monstrous_infantry	false
			wh_dlc06_grn_inf_squig_herd_0REF	jar_adj_com_unit_set_monstrous_infantry	false
			als_squig_horned	jar_adj_com_unit_set_monstrous_infantry	false
			als_squig_gas	jar_adj_com_unit_set_monstrous_infantry	false
			als_squig_spike	jar_adj_com_unit_set_monstrous_infantry	false
			wh2_dlc15_grn_cav_squig_hoppers_waaagh_0	jar_adj_com_unit_set_cavalry	false
			wh_dlc06_grn_cav_durkits_squigs_0	jar_adj_com_unit_set_cavalry	false
