unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!landmarks_of_legend_wh3__
			albino_guard	jar_ac_unit_set_infantry	false
			hellbeast	jar_ac_unit_set_single_entities	false
			mortar_salvaged	jar_ac_unit_set_chariots_war_machines	false
			helstorm_salvaged	jar_ac_unit_set_chariots_war_machines	false
			great_cannon_salvaged	jar_ac_unit_set_chariots_war_machines	false
			volley_gun_salvaged	jar_ac_unit_set_chariots_war_machines	false
			man_slave	jar_ac_unit_set_infantry	false
			goblin_slave_spears	jar_ac_unit_set_infantry	false
			goblin_slave_archers	jar_ac_unit_set_infantry	false
			treecherik_clanrats	jar_ac_unit_set_infantry	false
			def_lothern_sea_guard	jar_ac_unit_set_infantry	false
			def_wardancers_0	jar_ac_unit_set_infantry	false
			def_wardancers_1	jar_ac_unit_set_infantry	false
			def_gor_herd	jar_ac_unit_set_infantry	false
			def_beast_slaves	jar_ac_unit_set_infantry	false
			def_beast_slaves_ungors	jar_ac_unit_set_infantry	false
			def_minotaurs	jar_ac_unit_set_monstrous_infantry	false
			raema_beast	jar_ac_unit_set_single_entities	false
			def_raema_huntress	jar_ac_unit_set_infantry	false
			def_shadow_walkers	jar_ac_unit_set_infantry	false
			sla_wardancers	jar_ac_unit_set_infantry	false
			sla_eternal_guard	jar_ac_unit_set_infantry	false
			sla_dryads	jar_ac_unit_set_infantry	false
			sla_treekin	jar_ac_unit_set_monstrous_infantry	false
			sla_forest_dragon	jar_ac_unit_set_single_entities	false
			sla_treeman	jar_ac_unit_set_single_entities	false
			sla_forsaken	jar_ac_unit_set_infantry	false
			cst_leadbelchers	jar_ac_unit_set_monstrous_infantry	false
			cst_maneater_0	jar_ac_unit_set_monstrous_infantry	false
			cst_maneater_1	jar_ac_unit_set_monstrous_infantry	false
			cst_maneater_2	jar_ac_unit_set_monstrous_infantry	false
			cst_maneater_3	jar_ac_unit_set_monstrous_infantry	false
			sartosan_handgunners	jar_ac_unit_set_infantry	false
			damned_knights_errant_2	jar_ac_unit_set_cavalry	false
			damned_knights_of_the_realm	jar_ac_unit_set_cavalry	false
			damned_questing_knights_0	jar_ac_unit_set_cavalry	false
			cst_undead_ogre	jar_ac_unit_set_monstrous_infantry	false
			chd_skaven_labourers	jar_ac_unit_set_infantry	false
			twelve_arms_assassins	jar_ac_unit_set_infantry	false
			gutbusters_gutbusters	jar_ac_unit_set_monstrous_infantry	false
			HUM_miners_0	jar_ac_unit_set_infantry	false
			HUM_miners_1	jar_ac_unit_set_infantry	false
			garrison_cth_peasant_spearmen_1	jar_ac_unit_set_infantry	false
			dragonling_pack	jar_ac_unit_set_single_entities	false
			worldroot_serpent	jar_ac_unit_set_single_entities	false
			wef_hydra	jar_ac_unit_set_single_entities	false
			wef_flamespyre	jar_ac_unit_set_single_entities	false
			feral_arachnarok	jar_ac_unit_set_single_entities	false
			blue_orc	jar_ac_unit_set_infantry	false
			black_gulf_orcs	jar_ac_unit_set_infantry	false
			blorgar	jar_ac_unit_set_single_entities	false
			top_knotz_savages	jar_ac_unit_set_infantry	false
			nur_nurgle_devotees	jar_ac_unit_set_infantry	false
			nur_lepers	jar_ac_unit_set_infantry	false
			children_of_doom	jar_ac_unit_set_infantry	false
			ruin_trolls	jar_ac_unit_set_monstrous_infantry	false
			nur_pox_bowmen	jar_ac_unit_set_infantry	false
			nor_shieldman	jar_ac_unit_set_infantry	false
			baerson_warrior	jar_ac_unit_set_infantry	false
			nor_champions_khorne	jar_ac_unit_set_infantry	false
			chs_chaos_spawn	jar_ac_unit_set_monstrous_infantry	false
			bst_giant_spider	jar_ac_unit_set_war_beasts	false
			shadowgor_bestigor	jar_ac_unit_set_infantry	false
			shadowgor	jar_ac_unit_set_infantry	false
			bst_giant_wolves	jar_ac_unit_set_war_beasts	false
			lakemen	jar_ac_unit_set_infantry	false
			lakemen_great_weapons	jar_ac_unit_set_infantry	false
			ymir	jar_ac_unit_set_monstrous_infantry	false
			soul_eater_1	jar_ac_unit_set_single_entities	false
			soul_eater_2	jar_ac_unit_set_single_entities	false
			bst_khornataurs_0	jar_ac_unit_set_monstrous_infantry	false
			bst_khornataurs_1	jar_ac_unit_set_monstrous_infantry	false
			hef_honour_guard	jar_ac_unit_set_infantry	false
			hef_laurelorn_spears	jar_ac_unit_set_infantry	false
			hef_eonir_stags	jar_ac_unit_set_cavalry	false
			hef_free_company	jar_ac_unit_set_infantry	false
			seafarers	jar_ac_unit_set_infantry	false
			mother_flame	jar_ac_unit_set_single_entities	false
			phoenix_riders	jar_ac_unit_set_war_beasts	false
			sacred_saurian	jar_ac_unit_set_single_entities	false
			lzd_emp_spearmen_0	jar_ac_unit_set_infantry	false
			lzd_emp_archer_0	jar_ac_unit_set_infantry	false
			lzd_emp_crossbowmen	jar_ac_unit_set_infantry	false
			lzd_emp_swordsmen	jar_ac_unit_set_infantry	false
			lzd_emp_spearmen_1	jar_ac_unit_set_infantry	false
			lzd_emp_mortar	jar_ac_unit_set_chariots_war_machines	false
			lzd_emp_war_wagon	jar_ac_unit_set_chariots_war_machines	false
			lzd_emp_handgunners	jar_ac_unit_set_infantry	false
			tlax_spears_1	jar_ac_unit_set_infantry	false
			tlax_warriors_1	jar_ac_unit_set_infantry	false
			sir_baldrin_reliquae	jar_ac_unit_set_single_entities	false
			le_grande_knights	jar_ac_unit_set_cavalry	false
