unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!scm_lccp__
			rhox_hrothyogg_ogr_inf_maneaters_0	jar_ac_unit_set_monstrous_infantry	false
			rhox_hrothyogg_ogr_inf_maneaters_1	jar_ac_unit_set_monstrous_infantry	false
			rhox_hrothyogg_ogr_inf_maneaters_2	jar_ac_unit_set_monstrous_infantry	false
			rhox_hrothyogg_ogr_inf_maneaters_3	jar_ac_unit_set_monstrous_infantry	false
			hef_calith_gatekeepers	jar_ac_unit_set_infantry	false
			rhox_lenk_nor_feral_manticore	jar_ac_unit_set_single_entities	false
			rhox_lenk_nor_mon_warwolves_0	jar_ac_unit_set_war_beasts	false
			rhox_lenk_nor_mon_war_mammoth_0	jar_ac_unit_set_single_entities	false
			rhox_lccp_vmp_giant	jar_ac_unit_set_single_entities	false
