unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!scm_marienburg__
			rhox_dauphine_snek_hkrul_mar_landship	jar_ac_unit_set_chariots_war_machines	false
			rhox_dauphine_hkrul_mar_hellblaster	jar_ac_unit_set_chariots_war_machines	false
			rhox_dauphine_hkrul_mar_cleansing_flame	jar_ac_unit_set_cavalry	false
			rhox_dauphine_hkrul_mar_art_scheepskanon	jar_ac_unit_set_chariots_war_machines	false
			rhox_dauphine_hkrul_mar_inf_greatsword	jar_ac_unit_set_infantry	false
			rhox_dauphine_hkrul_mar_inf_handgun	jar_ac_unit_set_infantry	false
			rhox_dauphine_hkrul_mar_riverwarden	jar_ac_unit_set_infantry	false
			rhox_dauphine_hkrul_privateers_dual_swords	jar_ac_unit_set_infantry	false
			rhox_dauphine_hkrul_privateers	jar_ac_unit_set_infantry	false
			rhox_dauphine_hkrul_mar_defenders	jar_ac_unit_set_infantry	false
			rhox_dauphine_hkrul_mar_black_caps	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_boogschutter	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_crossbow	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_greatsword	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_halberd	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_handgun	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_swords	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_goedendagers	jar_ac_unit_set_infantry	false
			hkrul_mar_riverwarden	jar_ac_unit_set_infantry	false
			hkrul_mar_qual	jar_ac_unit_set_infantry	false
			hkrul_mar_qual_great	jar_ac_unit_set_infantry	false
			hkrul_mar_black_caps	jar_ac_unit_set_infantry	false
			hkrul_carriers	jar_ac_unit_set_single_entities	false
			hkrul_burgher	jar_ac_unit_set_infantry	false
			hkrul_privateers_dual_swords	jar_ac_unit_set_infantry	false
			hkrul_mar_handguns	jar_ac_unit_set_infantry	false
			hkrul_privateers	jar_ac_unit_set_infantry	false
			hkrul_mar_inf_cairn_wraiths_summoned_0	jar_ac_unit_set_infantry	false
			hkrul_mar_knights_mariner	jar_ac_unit_set_infantry	false
			hkrul_mar_knights_mariner_fmc	jar_ac_unit_set_infantry	false
			hkrul_manann_flagellant	jar_ac_unit_set_infantry	false
			hkrul_mar_defenders	jar_ac_unit_set_infantry	false
			rhox_mar_cst_inf_sartosa_free_company_0	jar_ac_unit_set_infantry	false
			rhox_mar_cst_inf_sartosa_militia_0	jar_ac_unit_set_infantry	false
			hkrul_mar_fooger_qual	jar_ac_unit_set_infantry	false
			hkrul_mar_fooger_qual_great	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_0	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_1	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_main_dwf_inf_thunderers_0	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_dlc06_dwf_inf_rangers_0	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_dlc06_dwf_inf_rangers_1	jar_ac_unit_set_infantry	false
			rhox_fooger_wh_main_dwf_art_organ_gun	jar_ac_unit_set_chariots_war_machines	false
			rhox_fooger_wh_main_dwf_inf_hammerers	jar_ac_unit_set_infantry	false
			hkrul_mar_cav_rijders	jar_ac_unit_set_cavalry	false
			hkrul_mar_cav_rijders_crossbow	jar_ac_unit_set_cavalry	false
			hkrul_mar_sons_of_manann	jar_ac_unit_set_cavalry	false
			hkrul_mar_culverin	jar_ac_unit_set_chariots_war_machines	false
			hkrul_mar_hellblaster	jar_ac_unit_set_chariots_war_machines	false
			hkrul_mar_knights_griffon	jar_ac_unit_set_cavalry	false
			hkrul_mar_mortar	jar_ac_unit_set_chariots_war_machines	false
			hkrul_mar_hellstorm	jar_ac_unit_set_chariots_war_machines	false
			hkrul_mar_cleansing_flame	jar_ac_unit_set_cavalry	false
			hkrul_mar_art_scheepskanon	jar_ac_unit_set_chariots_war_machines	false
			snek_hkrul_mar_landship	jar_ac_unit_set_chariots_war_machines	false
			snek_hkrul_mar_crew_gunners	jar_ac_unit_set_infantry	false
			snek_hkrul_mar_ror_landship	jar_ac_unit_set_chariots_war_machines	false
			hkrul_pion	jar_ac_unit_set_infantry	false
			hkrul_klumpf	jar_ac_unit_set_infantry	false
			hkrul_carriers_ror	jar_ac_unit_set_single_entities	false
			hkrul_mar_art_paixhan_ror	jar_ac_unit_set_chariots_war_machines	false
			hkrul_mar_mananns_blades_ror	jar_ac_unit_set_infantry	false
			hkrul_mar_bordermen_ror	jar_ac_unit_set_cavalry	false
			hkrul_mar_teuling	jar_ac_unit_set_cavalry	false
			hkrul_mar_talons	jar_ac_unit_set_infantry	false
			hkrul_fooger_ror	jar_ac_unit_set_infantry	false
			hkrul_mar_riverwarden_ror	jar_ac_unit_set_infantry	false
			hkrul_mar_naval_paixhan	jar_ac_unit_set_chariots_war_machines	false
			ovn_mar_inf_knights_mariner_0	jar_ac_unit_set_infantry	false
			ovn_mar_mon_augas_fish_summoned_0	jar_ac_unit_set_war_beasts	false
			ovn_mar_mon_augas_fish_summoned_1	jar_ac_unit_set_single_entities	false
			ovn_mar_mon_augas_fish_0	jar_ac_unit_set_war_beasts	false
			ovn_mar_mon_augas_fish_1	jar_ac_unit_set_single_entities	false
			urg_dae_inf_sphenisci_daemon	jar_ac_unit_set_infantry	false
			urg_kho_inf_sphenisci_daemon	jar_ac_unit_set_infantry	false
			urg_nur_inf_sphenisci_daemon	jar_ac_unit_set_infantry	false
			urg_sla_inf_sphenisci_daemon	jar_ac_unit_set_infantry	false
			urg_tze_inf_sphenisci_daemon	jar_ac_unit_set_infantry	false
