unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!scm_totn__
			hkrul_dummy_baersonling_inf_chaos_marauders_0	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_baersonling_chaos_marauders_1	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_baersonling_marauder_hunters_0	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_aesling_inf_marauder_champions_1	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_varg_inf_marauder_berserkers_0	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_varg_inf_chaos_marauders_0	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_wolf_inf_chaos_marauders_0	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_wolf_chaos_marauders_1	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_yusak_marauder_horsemen_0	jar_adj_com_unit_set_cavalry	false
			hkrul_dummy_yusak_marauder_horsemen_1	jar_adj_com_unit_set_cavalry	false
			hkrul_dummy_kurgan_chaos_marauders_1	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_aesling_inf_marauder_berserkers_0	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_sarl_chaos_marauders_1	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_sarl_marauder_hunters_0	jar_adj_com_unit_set_infantry	false
			hkrul_dummy_bloodfjord_marauder_hunters_0	jar_adj_com_unit_set_infantry	false
			hkrul_shark_1	jar_adj_com_unit_set_single_entities	false
			hkrul_shark_2	jar_adj_com_unit_set_single_entities	false
			hkrul_shark_3	jar_adj_com_unit_set_single_entities	false
			r1kko_adella_kho_bastiladon	jar_adj_com_unit_set_single_entities	false
			r1kko_adella_nur_bastiladon	jar_adj_com_unit_set_single_entities	false
			r1kko_adella_sla_bastiladon	jar_adj_com_unit_set_single_entities	false
			r1kko_adella_tze_bastiladon	jar_adj_com_unit_set_single_entities	false
			r1kko_adella_kho_carnosaur	jar_adj_com_unit_set_single_entities	false
			r1kko_adella_nur_stegadon	jar_adj_com_unit_set_single_entities	false
