unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__17C_Deithland_Main__
			emp_danzigers	jar_ac_unit_set_infantry	false
			emp_hellbores	jar_ac_unit_set_infantry	false
			emp_engelspeers	jar_ac_unit_set_infantry	false
			emp_tillerguns	jar_ac_unit_set_infantry	false
			emp_mortar_muskets	jar_ac_unit_set_infantry	false
			emp_cinderwind_arbalests	jar_ac_unit_set_infantry	false
			emp_pyrehulks_volley	jar_ac_unit_set_monstrous_infantry	false
			emp_pyrehulks_fusilaxe	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_zweishot	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_zweishot_shield	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_halberd	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_halberd_melee	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_autodragon	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_autodragon_shotgun	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_mortar	jar_ac_unit_set_monstrous_infantry	false
			emp_pyretitans_mortar_flame	jar_ac_unit_set_monstrous_infantry	false
			emp_deithguard_axelocks	jar_ac_unit_set_infantry	false
			emp_deithguard_blasterkeys	jar_ac_unit_set_infantry	false
			emp_deithguard_shields	jar_ac_unit_set_infantry	false
			emp_fumecorps_bayos	jar_ac_unit_set_infantry	false
			emp_gallowdogs	jar_ac_unit_set_infantry	false
			emp_chemlancers_lances	jar_ac_unit_set_cavalry	false
			emp_chemlancers_drilling_guns	jar_ac_unit_set_cavalry	false
			emp_culverin	jar_ac_unit_set_chariots_war_machines	false
			emp_drakebiter	jar_ac_unit_set_chariots_war_machines	false
			emp_mountain_gun	jar_ac_unit_set_chariots_war_machines	false
			emp_knellgun	jar_ac_unit_set_chariots_war_machines	false
			emp_cinderbell	jar_ac_unit_set_chariots_war_machines	false
			emp_vinderbane	jar_ac_unit_set_chariots_war_machines	false
			emp_vinderbane_armored	jar_ac_unit_set_chariots_war_machines	false
			emp_autofalcon	jar_ac_unit_set_chariots_war_machines	false
			emp_autofalcon_armored	jar_ac_unit_set_chariots_war_machines	false
			emp_cofferglare	jar_ac_unit_set_chariots_war_machines	false
			emp_cofferglare_small	jar_ac_unit_set_chariots_war_machines	false
			emp_autodragon	jar_ac_unit_set_chariots_war_machines	false
			emp_gottzorn	jar_ac_unit_set_chariots_war_machines	false
			emp_gottzorn_knellgun	jar_ac_unit_set_chariots_war_machines	false
			emp_gottzorn_flame	jar_ac_unit_set_chariots_war_machines	false
