unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__ovn_fimir__
			fim_mon_fenbeast	jar_ac_unit_set_monstrous_infantry	false
			fim_inf_boglar	jar_ac_unit_set_infantry	false
			fim_inf_shearl	jar_ac_unit_set_infantry	false
			fim_inf_shearl_spearmen	jar_ac_unit_set_infantry	false
			fim_inf_death_quest	jar_ac_unit_set_infantry	false
			fim_inf_killing_eye_ror	jar_ac_unit_set_infantry	false
			fim_inf_moor_hounds	jar_ac_unit_set_war_beasts	false
			fim_inf_fimm_warriors	jar_ac_unit_set_infantry	false
			fim_inf_fimm_warriors_great_weapons	jar_ac_unit_set_infantry	false
			fim_inf_fimm_flaithmor	jar_ac_unit_set_infantry	false
			fim_inf_fimm_warriors_axe_throwers_ror	jar_ac_unit_set_infantry	false
			fim_mon_gharnus_daemon_ror	jar_ac_unit_set_monstrous_infantry	false
			fim_mon_fianna_fimm	jar_ac_unit_set_monstrous_infantry	false
			fim_mon_fianna_fimm_great_weapons	jar_ac_unit_set_monstrous_infantry	false
			fim_mon_fianna_fimm_shields	jar_ac_unit_set_monstrous_infantry	false
			fim_inf_shearl_javelineer	jar_ac_unit_set_infantry	false
			fim_mon_balefiend_apprentices	jar_ac_unit_set_monstrous_infantry	false
			fim_cav_marsh_reavers	jar_ac_unit_set_cavalry	false
			fim_cav_marsh_hornets_ror	jar_ac_unit_set_cavalry	false
			fim_cav_nuckelavee	jar_ac_unit_set_cavalry	false
			fim_mon_daemonomaniac	jar_ac_unit_set_single_entities	false
			fim_inf_swamp_daemons	jar_ac_unit_set_infantry	false
			fim_veh_eye_oculus	jar_ac_unit_set_chariots_war_machines	false
			fim_inf_moor_hounds_ror	jar_ac_unit_set_war_beasts	false
			fim_mon_daemonomaniac_ror	jar_ac_unit_set_single_entities	false
			fim_inf_swamp_daemons_summon	jar_ac_unit_set_infantry	false
			ovn_fim_mon_bog_octopus_0	jar_ac_unit_set_single_entities	false
			ovn_fim_mon_bog_octopus_summon	jar_ac_unit_set_single_entities	false
			fim_mon_bog_beasts	jar_ac_unit_set_war_beasts	false
			fim_mon_bog_beasts_summon	jar_ac_unit_set_war_beasts	false
			fim_mon_jabberslythe	jar_ac_unit_set_single_entities	false
