unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__scm_rotblood__
			str_rotblood_marauders	jar_ac_unit_set_infantry	false
			str_rotblood_bile_troll	jar_ac_unit_set_monstrous_infantry	false
			str_rotblood_bombers	jar_ac_unit_set_infantry	false
			str_rotblood_spearmen	jar_ac_unit_set_infantry	false
			str_rotblood_marauder_bombs	jar_ac_unit_set_infantry	false
			str_rotblood_horsemen	jar_ac_unit_set_cavalry	false
			20kr_rotblood_horsemen_shield	jar_ac_unit_set_cavalry	false
			str_rotblood_engorged	jar_ac_unit_set_infantry	false
			str_rotblood_vomitus	jar_ac_unit_set_infantry	false
			str_rotblood_plaguespear	jar_ac_unit_set_infantry	false
			str_rotblood_giant	jar_ac_unit_set_single_entities	false
			str_rotblood_hound	jar_ac_unit_set_war_beasts	false
			str_rotblood_chariot	jar_ac_unit_set_chariots_war_machines	false
			str_rotblood_martyr	jar_ac_unit_set_infantry	false
			str_rotblood_slaves	jar_ac_unit_set_infantry	false
			str_rotblood_plaguejavelins	jar_ac_unit_set_infantry	false
			str_rotblood_cart	jar_ac_unit_set_chariots_war_machines	false
			str_rotblood_fly	jar_ac_unit_set_single_entities	false
			str_rotblood_spawn	jar_ac_unit_set_monstrous_infantry	false
			str_rotblood_toad	jar_ac_unit_set_single_entities	false
			str_rotblood_blightstorm	jar_ac_unit_set_infantry	false
			str_rotblood_lifeleech	jar_ac_unit_set_infantry	false
			str_rotblood_bombers_ror	jar_ac_unit_set_infantry	false
			str_rotblood_toad_ror	jar_ac_unit_set_single_entities	false
			str_rotblood_spawn_ror	jar_ac_unit_set_monstrous_infantry	false
			str_rotblood_plaguejavelins_ror	jar_ac_unit_set_infantry	false
			str_rotblood_marauders_ror	jar_ac_unit_set_infantry	false
			str_rotblood_slaves_ror	jar_ac_unit_set_infantry	false
			str_rotblood_spearmen_ror	jar_ac_unit_set_infantry	false
			str_rotblood_martyr_ror	jar_ac_unit_set_infantry	false
			str_rotblood_engorged_ror	jar_ac_unit_set_infantry	false
			str_rotblood_engorged_spawn	jar_ac_unit_set_monstrous_infantry	false
			str_rotblood_plaguespear_ror	jar_ac_unit_set_infantry	false
			str_rotblood_sum_nurglings	jar_ac_unit_set_infantry	false
			20kr_rotblood_fanatic	jar_ac_unit_set_infantry	false
			20kr_rotblood_maulers	jar_ac_unit_set_infantry	false
			20kr_rotblood_marauder_archer	jar_ac_unit_set_infantry	false
			20kr_rotblood_exalted_cart	jar_ac_unit_set_chariots_war_machines	false
			20kr_rotblood_exalted_martyr	jar_ac_unit_set_infantry	false
			20kr_rotblood_engorged_greatweapon	jar_ac_unit_set_infantry	false
			20kr_rotblood_mounted_engorged	jar_ac_unit_set_cavalry	false
			20kr_rotblood_mounted_engorged_lance	jar_ac_unit_set_cavalry	false
			20kr_rotblood_expiring_champions_dual	jar_ac_unit_set_infantry	false
			20kr_rotblood_expiring_champions_great_weapon	jar_ac_unit_set_infantry	false
			20kr_rotblood_rot_beast	jar_ac_unit_set_war_beasts	false
			20kr_rotblood_skinwolves	jar_ac_unit_set_monstrous_infantry	false
			20kr_rotblood_feral_manticore	jar_ac_unit_set_single_entities	false
			dust_rotbloods_skeleton_sword_and_shield	jar_ac_unit_set_infantry	false
			dust_rotbloods_skeleton_2h_hammer	jar_ac_unit_set_infantry	false
			str_rotblood_skull	jar_ac_unit_set_infantry	false
			dust_rotbloods_skeleton_sum	jar_ac_unit_set_infantry	false
			dust_rotbloods_skeleton_2h_sum	jar_ac_unit_set_infantry	false
