unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__scm_skaven_clans__
			wh2_main_skv_inf_handguns	jar_ac_unit_set_infantry	false
			wh2_main_skv_inf_handguns_ror	jar_ac_unit_set_infantry	false
			wh2_main_skv_inf_clangunners	jar_ac_unit_set_infantry	false
			wh2_main_skv_art_skurvymortar	jar_ac_unit_set_chariots_war_machines	false
			liger_skv_art_helstorm_rocket_battery	jar_ac_unit_set_chariots_war_machines	false
			liger_skv_inf_skavenslavebombers	jar_ac_unit_set_infantry	false
			liger_skv_veh_gyrobomber	jar_ac_unit_set_chariots_war_machines	false
			liger_skv_veh_gyrocopter	jar_ac_unit_set_chariots_war_machines	false
			liger_skv_inf_summon_guns	jar_ac_unit_set_infantry	false
			liger_skv_inf_clanrats_bombers	jar_ac_unit_set_infantry	false
			liger_skv_inf_deck_runners	jar_ac_unit_set_infantry	false
			liger_skv_rotting_leviathan	jar_ac_unit_set_single_entities	false
			liger_skurvy_skv_art_warp_lightning_cannon	jar_ac_unit_set_chariots_war_machines	false
			liger_skurvy_skv_inf_clanrat_spearmen_0	jar_ac_unit_set_infantry	false
			liger_skurvy_skv_inf_clanrat_spearmen_1	jar_ac_unit_set_infantry	false
			liger_skurvy_skv_inf_clanrats_0	jar_ac_unit_set_infantry	false
			liger_skurvy_skv_inf_clanrats_1	jar_ac_unit_set_infantry	false
			mcr_skv_veh_skurvy_warpcannon	jar_ac_unit_set_chariots_war_machines	false
			cr_skv_veh_portage_chariot	jar_ac_unit_set_chariots_war_machines	false
			str_crooktail_rat_spawn	jar_ac_unit_set_monstrous_infantry	false
			str_crooktail_rat_spawn_summoned	jar_ac_unit_set_monstrous_infantry	false
			str_crooktail_slave_ror	jar_ac_unit_set_infantry	false
			str_crooktail_slave_ror_rats	jar_ac_unit_set_war_beasts	false
			str_crooktail_slinger_ror	jar_ac_unit_set_infantry	false
			str_crooktail_clanrat_ror	jar_ac_unit_set_infantry	false
			str_crooktail_clanrat_spear_ror	jar_ac_unit_set_infantry	false
			str_crooktail_rat_spawn_ror	jar_ac_unit_set_monstrous_infantry	false
			rathan_inf_chanters	jar_ac_unit_set_infantry	false
			rathan_inf_beast_whitewolf	jar_ac_unit_set_single_entities	false
			rathan_inf_melee_fanatics	jar_ac_unit_set_infantry	false
			rathan_inf_range_fanatics	jar_ac_unit_set_infantry	false
			str_grudge_mirror_rats	jar_ac_unit_set_infantry	false
			rathan_ratling	jar_ac_unit_set_infantry	false
			str_grudge_chariots_old	jar_ac_unit_set_chariots_war_machines	false
			str_grudge_chariots	jar_ac_unit_set_chariots_war_machines	false
			thom_ferrik_ironbreaker	jar_ac_unit_set_infantry	false
			thom_ferrik_inf_handguns	jar_ac_unit_set_infantry	false
			thom_ferrik_armoured_rat_ogres	jar_ac_unit_set_monstrous_infantry	false
			thom_ferrik_stormvermin_2h	jar_ac_unit_set_infantry	false
			thom_ferrik_ratling	jar_ac_unit_set_infantry	false
			thom_ferrik_dwf_slave	jar_ac_unit_set_infantry	false
			thom_ferrik_organ_gun	jar_ac_unit_set_chariots_war_machines	false
			thom_ferrik_skv_inf_clanrat_spearmen_0	jar_ac_unit_set_infantry	false
			thom_ferrik_skv_inf_clanrat_spearmen_1	jar_ac_unit_set_infantry	false
			thom_ferrik_skv_inf_clanrats_0	jar_ac_unit_set_infantry	false
			thom_ferrik_skv_inf_clanrats_1	jar_ac_unit_set_infantry	false
			thom_ferrik_stormvermin_halberd	jar_ac_unit_set_infantry	false
			thom_ferrik_stormvermin_shield	jar_ac_unit_set_infantry	false
			thom_ferrik_inf_poison_wind_mortar_0	jar_ac_unit_set_infantry	false
			thom_ferrik_inf_poison_wind_mortar_ror_0	jar_ac_unit_set_infantry	false
			str_ferrik_grenadiers	jar_ac_unit_set_infantry	false
			thom_ferrik_jezzail	jar_ac_unit_set_infantry	false
			thom_ferrik_art_bolt_thrower_0	jar_ac_unit_set_chariots_war_machines	false
			thom_ferrik_linebreakers	jar_ac_unit_set_war_beasts	false
			thom_ferrik_rat_snatchers	jar_ac_unit_set_chariots_war_machines	false
			thom_ferrik_gold_rats	jar_ac_unit_set_infantry	false
			thom_ferrik_art_shield_battery	jar_ac_unit_set_chariots_war_machines	false
			thom_ferrik_stormvermin_2h_summon	jar_ac_unit_set_infantry	false
			thom_ferrik_skv_inf_clanrat_spearmen_1_summon	jar_ac_unit_set_infantry	false
			str_ferrik_forge_guard	jar_ac_unit_set_infantry	false
			ferrik_crafting_ritual_scheme_stolen_dwarf_ale	jar_ac_unit_set_single_entities	false
			ferrik_crafting_ritual_scheme_clan_moulder	jar_ac_unit_set_single_entities	false
			ferrik_crafting_ritual_scheme_clan_mors	jar_ac_unit_set_single_entities	false
			ferrik_crafting_ritual_scheme_clan_skryre	jar_ac_unit_set_single_entities	false
			ferrik_crafting_ritual_scheme_clan_eshin	jar_ac_unit_set_single_entities	false
			ferrik_crafting_ritual_scheme_tyranical	jar_ac_unit_set_single_entities	false
			ferrik_crafting_ritual_scheme_enslavement	jar_ac_unit_set_single_entities	false
			ferrik_crafting_ritual_scheme_stormvermin_frenzy	jar_ac_unit_set_single_entities	false
			str_skully_gutter_runner_slings	jar_ac_unit_set_infantry	false
			str_skully_gutter_runner	jar_ac_unit_set_infantry	false
			str_skully_night_runner	jar_ac_unit_set_infantry	false
			str_skully_night_runner_slings	jar_ac_unit_set_infantry	false
			str_skully_gutter_runner_slings_ror	jar_ac_unit_set_infantry	false
			str_skully_gutter_runner_ror	jar_ac_unit_set_infantry	false
			str_skully_night_runner_ror	jar_ac_unit_set_infantry	false
			str_skully_night_runner_slings_ror	jar_ac_unit_set_infantry	false
			clan_vrrtkin_clanrat_basic	jar_ac_unit_set_infantry	false
			clan_vrrtkin_clanrat_shield	jar_ac_unit_set_infantry	false
			clan_vrrtkin_clanrat_spear	jar_ac_unit_set_infantry	false
			clan_vrrtkin_clanrat_spear_shield	jar_ac_unit_set_infantry	false
			clan_vrrtkin_skavenslave_spearmen	jar_ac_unit_set_infantry	false
			clan_vrrtkin_skavenslaves	jar_ac_unit_set_infantry	false
			clan_vrrtkin_stormvermin	jar_ac_unit_set_infantry	false
			clan_vrrtkin_stormvermin_shield	jar_ac_unit_set_infantry	false
			clan_vrrtkin_skavenslave_slingers	jar_ac_unit_set_infantry	false
			clan_vrrtkin_poison_wind_globadiers	jar_ac_unit_set_infantry	false
			clan_vrrtkin_death_globe_bombardiers	jar_ac_unit_set_infantry	false
			clan_vrrtkin_warpfire_thrower	jar_ac_unit_set_infantry	false
			clan_vrrtkin_inf_warplock_jezzails	jar_ac_unit_set_infantry	false
			clan_vrrtkin_inf_cutthroats	jar_ac_unit_set_infantry	false
			clan_vrrtkin_inf_turntails_ror	jar_ac_unit_set_infantry	false
			clan_vrrtkin_mon_hell_pit_abomination	jar_ac_unit_set_single_entities	false
			clan_vrrtkin_ratogres_ror	jar_ac_unit_set_cavalry	false
			clan_vrrtkin_ratogres	jar_ac_unit_set_monstrous_infantry	false
			clan_vrrtkin_mortar	jar_ac_unit_set_chariots_war_machines	false
			clan_vrrtkin_gasthrower	jar_ac_unit_set_chariots_war_machines	false
			clan_vrrtkin_globeclaw_catapult	jar_ac_unit_set_chariots_war_machines	false
			clan_vrrtkin_veh_doomwheel	jar_ac_unit_set_chariots_war_machines	false
			clan_vrrtkin_veh_doom_flayer	jar_ac_unit_set_chariots_war_machines	false
			clan_vrrtkin_art_poison_wind_mortar	jar_ac_unit_set_infantry	false
			clan_vrrtkin_art_poison_wind_mortar_ror	jar_ac_unit_set_infantry	false
			clan_vrrtkin_skv_inf_warp_grinder	jar_ac_unit_set_infantry	false
			clan_vrrtkin_gas_monks_censer	jar_ac_unit_set_infantry	false
			clan_vrrtkin_clanrat_shield_sum	jar_ac_unit_set_infantry	false
			str_verms_giant_spider	jar_ac_unit_set_war_beasts	false
			str_verms_spider_hatchling	jar_ac_unit_set_infantry	false
			str_verms_bats	jar_ac_unit_set_war_beasts	false
			str_verms_flies	jar_ac_unit_set_war_beasts	false
			str_verms_toads	jar_ac_unit_set_monstrous_infantry	false
			str_verms_scorpions	jar_ac_unit_set_war_beasts	false
			str_verms_scorpions_sum	jar_ac_unit_set_war_beasts	false
			str_verms_giant_bat	jar_ac_unit_set_single_entities	false
			str_verms_giant_scorpion	jar_ac_unit_set_single_entities	false
			str_verms_verminkeepers	jar_ac_unit_set_infantry	false
			str_verms_scuttlers	jar_ac_unit_set_infantry	false
			str_verms_scuttlers_spider	jar_ac_unit_set_infantry	false
			str_verms_arach	jar_ac_unit_set_single_entities	false
			str_verms_lamplighters	jar_ac_unit_set_infantry	false
			str_verms_slingers	jar_ac_unit_set_infantry	false
			str_verms_spider_hatchling_sum	jar_ac_unit_set_infantry	false
			str_verms_bats_sum	jar_ac_unit_set_war_beasts	false
			str_verms_flies_sum	jar_ac_unit_set_war_beasts	false
			str_verms_giant_bat_sum	jar_ac_unit_set_single_entities	false
			str_verms_verminkeepers_ror	jar_ac_unit_set_infantry	false
			str_verms_scuttlers_spider_ror	jar_ac_unit_set_infantry	false
			str_verms_lamplighters_ror	jar_ac_unit_set_infantry	false
			str_verms_slingers_ror	jar_ac_unit_set_infantry	false
			str_verms_spider_riders	jar_ac_unit_set_cavalry	false
			str_verms_spider_riders_ror	jar_ac_unit_set_cavalry	false
			str_haematoma_bloodvermin_dw	jar_ac_unit_set_infantry	false
			str_haematoma_bloodvermin_gw	jar_ac_unit_set_infantry	false
			str_haematoma_brassfangs_dw	jar_ac_unit_set_infantry	false
			str_haematoma_brassfangs_gw	jar_ac_unit_set_infantry	false
			str_haematoma_bombadiers	jar_ac_unit_set_infantry	false
			str_haematoma_pyroclasts	jar_ac_unit_set_infantry	false
			str_haematoma_juggernauts	jar_ac_unit_set_cavalry	false
			str_haematoma_ravagers	jar_ac_unit_set_infantry	false
			str_haematoma_skullcrushers	jar_ac_unit_set_cavalry	false
			str_verms_rats	jar_ac_unit_set_war_beasts	false
			str_verms_rats_sum	jar_ac_unit_set_war_beasts	false
			str_verms_giant_rats	jar_ac_unit_set_war_beasts	false
			hcm_ror_ironskins	jar_ac_unit_set_infantry	false
			hcm_ror_fangsnapper	jar_ac_unit_set_infantry	false
			hcm_ror_blacktail	jar_ac_unit_set_infantry	false
			hcm_ror_mangefurs	jar_ac_unit_set_infantry	false
			hcm_ror_vatbacks	jar_ac_unit_set_infantry	false
			hcs_ror_lektrik_coven	jar_ac_unit_set_infantry	false
			hcs_ror_technox	jar_ac_unit_set_infantry	false
			hcs_ror_doomwheel_brigade	jar_ac_unit_set_chariots_war_machines	false
			hcs_ror_blackarc	jar_ac_unit_set_chariots_war_machines	false
			hcs_ror_warpfangs	jar_ac_unit_set_infantry	false
			kratch_ror_deathvermin	jar_ac_unit_set_infantry	false
			slaves_slingers_shielded	jar_ac_unit_set_infantry	false
			slaves_spears_shielded	jar_ac_unit_set_infantry	false
			slaves_shielded	jar_ac_unit_set_infantry	false
			slaves_spears_slingers_shielded	jar_ac_unit_set_infantry	false
			str_ror_bonefodder	jar_ac_unit_set_infantry	false
			str_ror_skullsplinters	jar_ac_unit_set_infantry	false
			str_ror_hell_pit_horrors	jar_ac_unit_set_war_beasts	false
			str_ror_seep_gore	jar_ac_unit_set_single_entities	false
			str_ror_warpshields	jar_ac_unit_set_infantry	false
			str_ror_burrow_crackers	jar_ac_unit_set_infantry	false
			str_ror_black_13	jar_ac_unit_set_single_entities	false
			str_treecherik_skurry_stabbers	jar_ac_unit_set_infantry	false
			bc_rotten_rodent_dual	jar_ac_unit_set_infantry	false
			bc_rotten_rodent	jar_ac_unit_set_infantry	false
			bc_pusbags	jar_ac_unit_set_infantry	false
			bc_pusbags_flail	jar_ac_unit_set_infantry	false
			bc_pusbags_sling	jar_ac_unit_set_infantry	false
			bc_frothing_giant_rats	jar_ac_unit_set_war_beasts	false
			bc_frothing_giant_rats_poison	jar_ac_unit_set_war_beasts	false
			bc_mad_rat_ogres	jar_ac_unit_set_monstrous_infantry	false
			bc_rat_spawn	jar_ac_unit_set_monstrous_infantry	false
			bc_pusbags_flail_ror	jar_ac_unit_set_infantry	false
			bc_rat_spawn_ror	jar_ac_unit_set_monstrous_infantry	false
			bc_mad_rat_ogres_ror	jar_ac_unit_set_monstrous_infantry	false
			bc_rotten_rodent_dual_ror	jar_ac_unit_set_infantry	false
			bc_frothing_giant_rats_ror	jar_ac_unit_set_war_beasts	false
			bc_ror_creeping_death	jar_ac_unit_set_infantry	false
			bc_ror_bilekin	jar_ac_unit_set_infantry	false
			bc_ror_chained_ones	jar_ac_unit_set_infantry	false
			bc_ror_slimeblades	jar_ac_unit_set_infantry	false
			bc_ror_virulent_batteries	jar_ac_unit_set_chariots_war_machines	false
			bc_ror_plaguevermin	jar_ac_unit_set_infantry	false
			bc_septik_plaguevermin	jar_ac_unit_set_infantry	false
			bc_septik_ror_rustblades	jar_ac_unit_set_infantry	false
			str_pox_rat	jar_ac_unit_set_single_entities	false
			str_skittice_sum_rustblade	jar_ac_unit_set_infantry	false
			str_gangrous_vermin	jar_ac_unit_set_infantry	false
			str_gangrous_clanrats	jar_ac_unit_set_infantry	false
			str_gangrous_vermin_ror	jar_ac_unit_set_infantry	false
			str_fester_ratling_horde	jar_ac_unit_set_infantry	false
			str_bubonic_skrat_spawn	jar_ac_unit_set_monstrous_infantry	false
			str_bubonic_morbidus_rat_ogre	jar_ac_unit_set_monstrous_infantry	false
			str_bubonic_septik_plaguevermin	jar_ac_unit_set_infantry	false
			str_bubonic_fester_censer	jar_ac_unit_set_infantry	false
			str_verminkin	jar_ac_unit_set_infantry	false
			str_night_runners	jar_ac_unit_set_infantry	false
			str_warpguard	jar_ac_unit_set_infantry	false
			str_warpguard_halberd	jar_ac_unit_set_infantry	false
			str_black_skaven	jar_ac_unit_set_infantry	false
			str_verminkin_ror	jar_ac_unit_set_infantry	false
			str_night_runners_ror	jar_ac_unit_set_infantry	false
			str_warpguard_ror	jar_ac_unit_set_infantry	false
			str_warpguard_halberd_ror	jar_ac_unit_set_infantry	false
			str_black_skaven_ror	jar_ac_unit_set_infantry	false
			str_shadow_ogre	jar_ac_unit_set_monstrous_infantry	false
			str_shadow_ogre_ror	jar_ac_unit_set_monstrous_infantry	false
			str_gnaw_scorpions	jar_ac_unit_set_war_beasts	false
			str_gnaw_giant_scorpion	jar_ac_unit_set_single_entities	false
			str_gnaw_hunters	jar_ac_unit_set_infantry	false
			str_gnaw_netters	jar_ac_unit_set_infantry	false
			str_gnaw_war_pigs	jar_ac_unit_set_cavalry	false
			str_gnaw_netters_ror	jar_ac_unit_set_infantry	false
			str_gnaw_hunters_ror	jar_ac_unit_set_infantry	false
			str_gnaw_war_pigs_ror	jar_ac_unit_set_cavalry	false
			str_gnaw_clanrat_spear	jar_ac_unit_set_infantry	false
			str_gnaw_clanrat_spear_shield	jar_ac_unit_set_infantry	false
			str_gnaw_clanrat_sword	jar_ac_unit_set_infantry	false
			str_gnaw_clanrat_sword_shield	jar_ac_unit_set_infantry	false
			str_gnaw_slave_sling	jar_ac_unit_set_infantry	false
			str_gnaw_slave_spear	jar_ac_unit_set_infantry	false
			str_gnaw_slave	jar_ac_unit_set_infantry	false
			str_gnaw_harpooner	jar_ac_unit_set_infantry	false
			str_gnaw_dagger_flinger	jar_ac_unit_set_infantry	false
			str_gnaw_boar_wranglers	jar_ac_unit_set_infantry	false
			str_gnaw_goblin_slave	jar_ac_unit_set_infantry	false
			str_gnaw_orc_slave	jar_ac_unit_set_infantry	false
			str_gnaw_savage_slave	jar_ac_unit_set_infantry	false
			str_gnaw_wyvern	jar_ac_unit_set_single_entities	false
			str_gnaw_wolves	jar_ac_unit_set_war_beasts	false
			str_gnaw_manticore	jar_ac_unit_set_single_entities	false
			str_gnaw_rock_lobber	jar_ac_unit_set_chariots_war_machines	false
			str_inq_gnaw_blood_vultures	jar_ac_unit_set_war_beasts	false
			str_gnaw_boar_wranglers_ror	jar_ac_unit_set_infantry	false
			str_gnaw_spear_chukka	jar_ac_unit_set_chariots_war_machines	false
			str_gnaw_wolves_sum	jar_ac_unit_set_war_beasts	false
			str_inq_gnaw_blood_vultures_sum	jar_ac_unit_set_war_beasts	false
			str_gnaw_sabretusk_sum	jar_ac_unit_set_war_beasts	false
			str_kreepus_verminkin	jar_ac_unit_set_infantry	false
			str_kreepus_night_runners	jar_ac_unit_set_infantry	false
			str_kreepus_warpguard	jar_ac_unit_set_infantry	false
			str_kreepus_warpguard_halberd	jar_ac_unit_set_infantry	false
			str_kreepus_black_skaven	jar_ac_unit_set_infantry	false
			str_kreepus_verminkin_ror	jar_ac_unit_set_infantry	false
			str_kreepus_night_runners_ror	jar_ac_unit_set_infantry	false
			str_kreepus_warpguard_ror	jar_ac_unit_set_infantry	false
			str_kreepus_warpguard_halberd_ror	jar_ac_unit_set_infantry	false
			str_kreepus_black_skaven_ror	jar_ac_unit_set_infantry	false
			str_kreepus_shadow_ogre	jar_ac_unit_set_monstrous_infantry	false
			str_kreepus_shadow_ogre_ror	jar_ac_unit_set_monstrous_infantry	false
			str_kreepus_gutters_pistol	jar_ac_unit_set_infantry	false
			str_kreepus_night_pistol	jar_ac_unit_set_infantry	false
			str_garbag_wolf_poison	jar_ac_unit_set_cavalry	false
			str_garbag_wolf_ap	jar_ac_unit_set_cavalry	false
			str_garbag_squig_rider	jar_ac_unit_set_cavalry	false
			str_garbag_gitz	jar_ac_unit_set_infantry	false
			str_urgat_wolf_chariot	jar_ac_unit_set_chariots_war_machines	false
			str_garbag_wolf_ap_ror	jar_ac_unit_set_cavalry	false
			str_garbag_squig_rider_ror	jar_ac_unit_set_cavalry	false
			str_urgat_wolf_chariot_ror	jar_ac_unit_set_chariots_war_machines	false
			str_gnaw_rats	jar_ac_unit_set_war_beasts	false
			str_gnaw_giant_rats	jar_ac_unit_set_war_beasts	false
			str_gnaw_rats_sum	jar_ac_unit_set_war_beasts	false
