unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__singe_units_wh_all__
			singe_lzd_hornedone_riders	jar_ac_unit_set_cavalry	false
			singe_lzd_redcrest_cohort	jar_ac_unit_set_infantry	false
			singe_lzd_temple_cohort	jar_ac_unit_set_infantry	false
			singe_lzd_ancient_razordon	jar_ac_unit_set_single_entities	false
			singe_lzd_temple_maces	jar_ac_unit_set_infantry	false
			singe_lzd_temple_riders	jar_ac_unit_set_cavalry	false
			singe_lzd_temple_maces_nakai	jar_ac_unit_set_infantry	false
			singe_lzd_temple_riders_nakai	jar_ac_unit_set_cavalry	false
			singe_lzd_chameleon_slayers	jar_ac_unit_set_infantry	false
			singe_tze_horror_knights	jar_ac_unit_set_cavalry	false
			singe_tze_screaming_chariot	jar_ac_unit_set_chariots_war_machines	false
			singe_tze_cultists_foot	jar_ac_unit_set_infantry	false
			singe_tze_cultists_horse	jar_ac_unit_set_cavalry	false
			singe_tze_exalted_screamer	jar_ac_unit_set_single_entities	false
			singe_tze_doomsayer	jar_ac_unit_set_cavalry	false
			singe_chs_dual_warrior	jar_ac_unit_set_infantry	false
			singe_chs_dual_chosen	jar_ac_unit_set_infantry	false
			singe_chs_chosen_knights	jar_ac_unit_set_cavalry	false
			singe_chs_gorebeasts	jar_ac_unit_set_cavalry	false
			singe_chs_manticore_knights	jar_ac_unit_set_cavalry	false
			singe_zpotvc_necrofex_rockets	jar_ac_unit_set_single_entities	false
			singe_zpotvc_necrofex_shrapnel	jar_ac_unit_set_single_entities	false
			singe_zpotvc_depthknight	jar_ac_unit_set_cavalry	false
			singe_zpotvc_bat_mortar	jar_ac_unit_set_chariots_war_machines	false
			singe_zpotvc_corpse_cannon	jar_ac_unit_set_chariots_war_machines	false
			singe_zpotvc_deck_snatchers	jar_ac_unit_set_cavalry	false
			singe_zpotvc_deck_droppers_handcannons	jar_ac_unit_set_cavalry	false
			singe_zpotvc_depth_guard_pistols	jar_ac_unit_set_infantry	false
			singe_zpotvc_deck_burners	jar_ac_unit_set_infantry	false
			singe_sla_blissbarb_archers	jar_ac_unit_set_infantry	false
			singe_sla_cultist_hedonites	jar_ac_unit_set_infantry	false
			singe_sla_exalted_fiend	jar_ac_unit_set_single_entities	false
			singe_sla_hellseekers	jar_ac_unit_set_cavalry	false
			singe_vc_skelly_scythe	jar_ac_unit_set_infantry	false
			singe_vc_graveguard_scythe	jar_ac_unit_set_infantry	false
			singe_vc_strigoi_terrors	jar_ac_unit_set_monstrous_infantry	false
			singe_vc_spirit_host	jar_ac_unit_set_infantry	false
			singe_vc_zombie_dragon	jar_ac_unit_set_single_entities	false
			singe_vc_blood_foot_duel	jar_ac_unit_set_infantry	false
			singe_vc_blood_foot_shield	jar_ac_unit_set_infantry	false
			singe_vc_hell_knights	jar_ac_unit_set_cavalry	false
			singe_kho_cult_blades	jar_ac_unit_set_infantry	false
			singe_kho_cult_reavers	jar_ac_unit_set_cavalry	false
			singe_kho_cult_hunters	jar_ac_unit_set_infantry	false
			singe_kho_exalted_doggo	jar_ac_unit_set_single_entities	false
			singe_kho_flesh_seekers	jar_ac_unit_set_cavalry	false
			singe_kho_blood_throne	jar_ac_unit_set_chariots_war_machines	false
			singe_dwf_gyro_flame	jar_ac_unit_set_chariots_war_machines	false
			singe_dwf_warriors_thrwaxe	jar_ac_unit_set_infantry	false
			singe_dwf_ranger_gunners	jar_ac_unit_set_infantry	false
			singe_dwf_bugman_thrower	jar_ac_unit_set_chariots_war_machines	false
			singe_dwf_flame_bombard	jar_ac_unit_set_chariots_war_machines	false
			singe_dwf_irondrake_drakefire	jar_ac_unit_set_infantry	false
			singe_skv_plague_staves	jar_ac_unit_set_infantry	false
			singe_sk_stormvermin_bonebreakers	jar_ac_unit_set_cavalry	false
			singe_skv_screaming_bell	jar_ac_unit_set_chariots_war_machines	false
			singe_skv_plague_furnace	jar_ac_unit_set_chariots_war_machines	false
			singe_skv_plague_hurlers	jar_ac_unit_set_infantry	false
			singe_def_pegasilancers	jar_ac_unit_set_cavalry	false
			singe_def_dreadfoot	jar_ac_unit_set_infantry	false
			singe_def_darkstriders	jar_ac_unit_set_infantry	false
			singe_def_nightwitches	jar_ac_unit_set_cavalry	false
			singe_def_dreadlancers	jar_ac_unit_set_cavalry	false
			singe_def_witchspears	jar_ac_unit_set_infantry	false
			singe_def_cauldron	jar_ac_unit_set_chariots_war_machines	false
			singe_def_harridan	jar_ac_unit_set_cavalry	false
			singe_cth_celestial_swords	jar_ac_unit_set_infantry	false
			singe_cth_celestial_lancers	jar_ac_unit_set_cavalry	false
			singe_cth_burningthunder_gunners	jar_ac_unit_set_infantry	false
			singe_cth_celestial_ox	jar_ac_unit_set_single_entities	false
			singe_chd_rifles	jar_ac_unit_set_infantry	false
			singe_chd_trackers	jar_ac_unit_set_infantry	false
			singe_chd_infernal_bazuka	jar_ac_unit_set_infantry	false
			singe_chd_infernal_magma	jar_ac_unit_set_infantry	false
			singe_chd_zealot_berzerker	jar_ac_unit_set_infantry	false
			brt_foot_knight	jar_ac_unit_set_infantry	false
			brt_ranger	jar_ac_unit_set_infantry	false
			brt_squire_longbow	jar_ac_unit_set_infantry	false
			brt_brigand	jar_ac_unit_set_infantry	false
			brt_fire_trebuchet	jar_ac_unit_set_chariots_war_machines	false
			brt_siege_trebuchet	jar_ac_unit_set_chariots_war_machines	false
			brt_squire_shield	jar_ac_unit_set_infantry	false
			brt_guardians_realm	jar_ac_unit_set_cavalry	false
			brt_questing_wardens	jar_ac_unit_set_cavalry	false
			brt_flaming_trebuchet	jar_ac_unit_set_chariots_war_machines	false
			brt_squire_polearm	jar_ac_unit_set_infantry	false
			brt_spirits_fay	jar_ac_unit_set_infantry	false
			brt_hermit_knights	jar_ac_unit_set_infantry	false
			brt_truffle_hounds	jar_ac_unit_set_war_beasts	false
			great_falcons	jar_ac_unit_set_war_beasts	false
			singe_brt_yeomen_pox	jar_ac_unit_set_cavalry	false
			singe_brt_yeomen_flame	jar_ac_unit_set_cavalry	false
			singe_brt_unicorn_knights	jar_ac_unit_set_cavalry	false
			singe_brt_serjeant_polearm	jar_ac_unit_set_infantry	false
			singe_brt_serjeant_shield	jar_ac_unit_set_infantry	false
			singe_brt_serjeant_sword	jar_ac_unit_set_infantry	false
			singe_brt_menpole_shield	jar_ac_unit_set_infantry	false
			singe_bm_vile_manticore	jar_ac_unit_set_single_entities	false
			singe_bm_bestigor_shield	jar_ac_unit_set_infantry	false
			singe_bm_ungor_vile	jar_ac_unit_set_infantry	false
			singe_bm_ungor_shard	jar_ac_unit_set_infantry	false
			singe_bm_bestigor_spear	jar_ac_unit_set_infantry	false
			singe_bm_razorgor_behemoth	jar_ac_unit_set_single_entities	false
			singe_bm_tuskgor_herd	jar_ac_unit_set_cavalry	false
			singe_nor_coldone_marauders	jar_ac_unit_set_cavalry	false
			singe_nor_manticore_reavers	jar_ac_unit_set_cavalry	false
			singe_nor_armoured_icetroll	jar_ac_unit_set_monstrous_infantry	false
			singe_nor_marauder_riders	jar_ac_unit_set_cavalry	false
			singe_nur_plague_riders	jar_ac_unit_set_cavalry	false
			singe_nur_plague_palanquin	jar_ac_unit_set_single_entities	false
			singe_nur_plague_walkers	jar_ac_unit_set_infantry	false
			singe_nur_plague_spewers	jar_ac_unit_set_infantry	false
			singe_nur_monstrous_toad	jar_ac_unit_set_single_entities	false
			singe_nur_blight_knights	jar_ac_unit_set_cavalry	false
			singe_ogk_irongut_ironfists	jar_ac_unit_set_monstrous_infantry	false
			singe_ogk_irongut_dual	jar_ac_unit_set_monstrous_infantry	false
			singe_ogk_rhinox_herd	jar_ac_unit_set_war_beasts	false
			singe_ogk_mournfang_pack	jar_ac_unit_set_war_beasts	false
			singe_ogk_rocketspitters	jar_ac_unit_set_monstrous_infantry	false
			singe_dae_chaos_bears	jar_ac_unit_set_cavalry	false
			singe_we_sky_riders	jar_ac_unit_set_cavalry	false
			singe_we_huntsmen_glaive	jar_ac_unit_set_infantry	false
			singe_we_huntsmen_sword	jar_ac_unit_set_infantry	false
			singe_we_huntsmen_spear	jar_ac_unit_set_infantry	false
			singe_we_sisters_oak	jar_ac_unit_set_infantry	false
			singe_we_huntsmen_parravon	jar_ac_unit_set_cavalry	false
