unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__str_toro_skaven__
			warp_bombard	jar_adj_com_unit_set_chariots_war_machines	false
			warp_tank	jar_adj_com_unit_set_chariots_war_machines	false
			warp_runners	jar_adj_com_unit_set_infantry	false
			skaven_cav	jar_adj_com_unit_set_infantry	false
			warp_forged	jar_adj_com_unit_set_infantry	false
			poxigors	jar_adj_com_unit_set_monstrous_infantry	false
			krakback_kill_squad	jar_adj_com_unit_set_infantry	false
			krakback_kill_squad_spears	jar_adj_com_unit_set_infantry	false
			warp_zeppelin	jar_adj_com_unit_set_chariots_war_machines	false
			warp_bomber	jar_adj_com_unit_set_chariots_war_machines	false
			warp_gunship	jar_adj_com_unit_set_chariots_war_machines	false
			skaven_mech	jar_adj_com_unit_set_single_entities	false
			skaven_mech_at	jar_adj_com_unit_set_single_entities	false
			skaven_mech_gat	jar_adj_com_unit_set_single_entities	false
