mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
teb_billmen	teb_billmen	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_border_rangers	teb_border_rangers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	teb_bow_rangers	22	archer	small	jar_adj_com_unit_set_infantry
teb_broken_lances	teb_broken_lances	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_bwatch	teb_bwatch	melee_infantry	inf_melee	inf_spr	infantry_spear_halberd	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_carabiniers	teb_carabiniers	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh_main_emp_rifle	20	skirmish	medium	jar_adj_com_unit_set_cavalry
teb_conqui_adventurers	teb_conqui_adventurers	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_conqui_lancers	teb_conqui_lancers	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_conqui_riders	teb_conqui_riders	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh2_dlc13_emp_pistol_noble_sons	24	skirmish	medium	jar_adj_com_unit_set_cavalry
teb_conqui_royal_guard	teb_conqui_royal_guard	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	teb_royal_guard	22	archer	small	jar_adj_com_unit_set_infantry
teb_duellists	teb_duellists	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_encarmine	teb_encarmine	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_enforcers	teb_enforcers	missile_cavalry	war_beast	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	teb_enforcers	20	skirmish	medium	jar_adj_com_unit_set_cavalry
teb_freelance_knights	teb_freelance_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_galloper	teb_galloper	warmachine	artillery	art_fld	artillery_field_gun	artillery_war_machines	true	16	4	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
teb_galloper_limbered	teb_galloper_limbered	warmachine	war_machine	chariot	artillery_field_gun	artillery_war_machines	true	16	4	4	false		0	melee	medium	jar_adj_com_unit_set_chariots_war_machines
teb_golden_lion	teb_golden_lion	monster	inf_melee	inf_mel	wh3_dlc24_mon_celestial_lion	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
teb_guard_kossars	teb_guard_kossars	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_bow_axe_infantry	missile_infantry	true	100	0	0	false	teb_bow_rangers	22	archer	small	jar_adj_com_unit_set_infantry
teb_half_pikes	teb_half_pikes	melee_infantry	inf_melee	inf_spr	infantry_pike	infantry	true	140	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_handgunners	teb_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	teb_handgunners	22	archer	small	jar_adj_com_unit_set_infantry
teb_irrana	teb_irrana	missile_infantry	inf_ranged	inf_mis	wh2_main_missile_infantry_javelin	missile_infantry	true	120	0	0	false	teb_irrana	5	archer	small	jar_adj_com_unit_set_infantry
teb_kotrs	teb_kotrs	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_light_cannon	teb_light_cannon	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
teb_light_scouts	teb_light_scouts	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_militia_archers	teb_militia_archers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	teb_bow_militia	24	archer	small	jar_adj_com_unit_set_infantry
teb_militia_knights	teb_militia_knights	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_militia_spearmen	teb_militia_spearmen	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	140	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_montante_greatswords	teb_montante_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	90	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_noble_retinue	teb_noble_retinue	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_pavisiers	teb_pavisiers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	teb_crossbow	24	melee	small	jar_adj_com_unit_set_infantry
teb_paymaster	teb_paymaster	chariot	war_machine	chariot	teb_paymaster	missile_cavalry_chariots	true	6	1	2	true	teb_paymaster_wagon	240	melee	medium	jar_adj_com_unit_set_chariots_war_machines
teb_pikemen	teb_pikemen	melee_infantry	inf_melee	inf_spr	infantry_pike	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_republican_guard	teb_republican_guard	melee_infantry	inf_melee	inf_spr	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_shieldbearers	teb_shieldbearers	melee_infantry	inf_melee	inf_spr	infantry_spear	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_sisters	teb_sisters	melee_infantry	inf_melee	inf_spr	infantry_spear	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_swash	teb_swash	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	100	0	0	false	teb_pistol_swash	15	archer	small	jar_adj_com_unit_set_infantry
teb_tank	teb_tank	chariot	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	9	1	0	true	teb_tank	200	artillery	large	jar_adj_com_unit_set_chariots_war_machines
teb_xbow_cav	teb_xbow_cav	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	teb_crossbow_cav	20	skirmish	medium	jar_adj_com_unit_set_cavalry
teb_xbowmen	teb_xbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	teb_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
cr_emp_veh_hurricanum_0	cr_emp_veh_hurricanum_0	chariot	war_machine	chariot	magic_chariot	artillery_war_machines	true	3	1	2	true	cr_storm_of_shemtek	25		large	jar_adj_com_unit_set_chariots_war_machines
wh2_main_hbe_inf_silverhelm_spears	wh2_main_hbe_inf_silverhelm_spears	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hbe_inf_silverhelm_swords	wh2_main_hbe_inf_silverhelm_swords	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hbe_inf_white_lions_spear_company	wh2_main_hbe_inf_white_lions_spear_company	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hbe_inf_white_lions_sword_company	wh2_main_hbe_inf_white_lions_sword_company	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_elven_paladins	wh2_main_hef_elven_paladins	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
wh2_main_hef_elven_paladins_dismounted	wh2_main_hef_elven_paladins_dismounted	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_gol_spear	wh2_main_hef_gol_spear	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_gol_swords	wh2_main_hef_gol_swords	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_highborn_archers	wh2_main_hef_highborn_archers	missile_infantry	inf_ranged	inf_mis	wh2_main_hef_missile_infantry_bow_spear	missile_infantry	true	90	0	0	false	wh2_main_hef_longbow_arrow	30		small	jar_adj_com_unit_set_infantry
wh2_main_hef_highborn_axes	wh2_main_hef_highborn_axes	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_highborn_guard	wh2_main_hef_highborn_guard	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_highborn_knights	wh2_main_hef_highborn_knights	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
wh2_main_hef_highborn_spears	wh2_main_hef_highborn_spears	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_highborn_swords	wh2_main_hef_highborn_swords	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
wh2_main_hef_shadow_warriors	wh2_main_hef_shadow_warriors	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_main_hef_longbow_arrow	35		small	jar_adj_com_unit_set_infantry
c_asrai_blademasters	c_asrai_blademasters	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
c_asrai_shieldmaidens	c_asrai_shieldmaidens	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
c_asrai_sunderers	c_asrai_sunderers	warmachine	inf_ranged	inf_mis	wh_dlc06_bolt_thrower	artillery_war_machines	true	12	0	0	false	c_asrai_sunderers_bow	21		medium	jar_adj_com_unit_set_chariots_war_machines
c_glade_rangers	c_glade_rangers	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
c_maidens_of_kurnous	c_maidens_of_kurnous	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	c_maidens_of_kurnous_bow	24		small	jar_adj_com_unit_set_infantry
