mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
calm_kreml_guard	calm_kreml_guard	missile_infantry	inf_ranged	inf_mis	infantry_axe_great	infantry	true	80	0	0	false	kreml_bomb	5	archer	small	jar_adj_com_unit_set_infantry
calm_straznik_blunderbuss	calm_straznik_blunderbuss	missile_infantry	inf_ranged	inf_mis	wh2_dlc11_cst_close_quarters_missile_infantry	missile_infantry	true	90	0	0	false	calm_straznik_blunderbuss	22	archer	small	jar_adj_com_unit_set_infantry
wh3_main_ksl_inf_streltsi_0	wh3_main_ksl_inf_streltsi_0	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_streltsi	missile_infantry	true	90	0	0	false	wh3_ksl_streltsi_rifle_bullet	20	archer	small	jar_adj_com_unit_set_infantry
calm_mounted_kirasirs	calm_mounted_kirasirs	melee_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	mounted_kirasir_pistol	22	skirmish	medium	jar_adj_com_unit_set_cavalry
calm_erengrad_mortar	calm_erengrad_mortar	warmachine	war_machine	chariot	artillery_mortar	artillery_war_machines	true	8	4	2	false	calm_erengrad_mortar	22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
calm_erengrad_cannon	calm_erengrad_cannon	warmachine	war_machine	chariot	artillery_cannon	artillery_war_machines	true	4	4	2	false	calm_erengrad_cannon	22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
calm_urugan_cannon	calm_urugan_cannon	warmachine	war_machine	chariot	artillery_field_gun	artillery_war_machines	true	4	4	2	false	calm_urugan_cannon	120	artillery	small	jar_adj_com_unit_set_chariots_war_machines
calm_storozhi	calm_storozhi	missile_infantry	inf_ranged	inf_mis	wh3_main_ksl_streltsi	missile_infantry	true	60	0	0	false	calm_storozhi_rifle	30	archer	small	jar_adj_com_unit_set_infantry
calm_ryadniks	calm_ryadniks	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
calm_sarmatyrs	calm_sarmatyrs	missile_infantry	inf_melee	inf_mel	missile_infantry_pistol	missile_infantry	true	100	0	0	false	calm_sarmatyr_pistol	18	melee	small	jar_adj_com_unit_set_infantry
calm_kvassniks	calm_kvassniks	missile_infantry	inf_melee	inf_mel	wh2_main_skv_missile_infantry_globe_death	missile_infantry	true	100	0	0	false	calm_kvass_molotov	10	melee	small	jar_adj_com_unit_set_infantry
calm_hajduks	calm_hajduks	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	calm_sarmatyr_pistol	24	melee	medium	jar_adj_com_unit_set_cavalry
