mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
Aver_cross	Aver_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Badland_cross	Badland_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
hoch_cross	hoch_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Marien_cross	Marien_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Midden_cross	Midden_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Nord_cross	Nord_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Oster_cross	Oster_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Ostl_cross	Ostl_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Reik_cross	Reik_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Southland_cross	Southland_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Stir_cross	Stir_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Tala_cross	Tala_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Wissen_cross	Wissen_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
carro_cross	carro_cross	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
Aver_greatswords	Aver_greatswords	melee_infantry	inf_melee	inf_mel	emp_aver_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
Badland_greatswords	Badland_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
hoch_greatswords	hoch_greatswords	melee_infantry	inf_melee	inf_mel	emp_hoch_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
Marien_greatswords	Marien_greatswords	melee_infantry	inf_melee	inf_mel	emp_marien_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
Midden_greatswords	Midden_greatswords	melee_infantry	inf_melee	inf_mel	emp_midden_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
Nord_greatswords	Nord_greatswords	melee_infantry	inf_melee	inf_mel	emp_nord_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
Oster_greatswords	Oster_greatswords	melee_infantry	inf_melee	inf_mel	emp_oster_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
Ostl_greatswords	Ostl_greatswords	melee_infantry	inf_melee	inf_mel	emp_ostl_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
Reik_greatswords	Reik_greatswords	melee_infantry	inf_melee	inf_mel	emp_reik_great_flag	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
