mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
kys_und_behemoth	kys_und_behemoth	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	1	0	0	false		0		medium	jar_adj_com_unit_set_single_entities
kys_und_void_revenants	kys_und_void_revenants	melee_infantry	inf_melee	inf_mel	infantry_axe_dual	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
kys_und_shield_revenants	kys_und_shield_revenants	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
kys_und_crossbow	kys_und_crossbow	missile_infantry	inf_ranged	inf_mis	missile_infantry_crossbow	missile_infantry	true	90	0	0	false	kys_wh3_main_ksl_bow_ice_guard	22	archer	small	jar_adj_com_unit_set_infantry
kys_und_necro_zombie	kys_und_necro_zombie	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	160	0	0	false		0		small	jar_adj_com_unit_set_infantry
kys_und_bk_foot	kys_und_bk_foot	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	80	0	0	false		0		small	jar_adj_com_unit_set_infantry
kys_und_bk_cav	kys_und_bk_cav	melee_cavalry	cavalry	cav_mel	shock_cavalry	cavalry_chariots	true	75	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
kys_und_necro_zombie_summoned	kys_und_necro_zombie_summoned	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
kys_und_basic_infantry	kys_und_basic_infantry	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
kys_und_brood_horror_rider	kys_und_brood_horror_rider	melee_cavalry	cavalry	cav_mel	wh2_dlc16_skv_brood_horror	monster_beasts	true	1	0	1	true		0	melee	small	jar_adj_com_unit_set_single_entities
