mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh_twm_brt_inf_modern_rifle_infantry_early	wh_twm_brt_inf_modern_rifle_infantry_early	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_militia	50	archer	small	jar_adj_com_unit_set_infantry
wh_twm_brt_inf_modern_rifle_infantry_mid	wh_twm_brt_inf_modern_rifle_infantry_mid	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_militia_infantry	wh_twm_emp_inf_modern_militia_infantry	missile_infantry	inf_ranged	inf_mis	twm_militia_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_militia	40	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_rifle_infantry_early	wh_twm_emp_inf_modern_rifle_infantry_early	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_rifle_infantry_mid	wh_twm_emp_inf_modern_rifle_infantry_mid	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_rifle_infantry_late	wh_twm_emp_inf_modern_rifle_infantry_late	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_field_pioneers_early	wh_twm_emp_inf_modern_field_pioneers_early	missile_infantry	inf_ranged	inf_mis	twm_engineer	twm_missile_infantry	false	120	0	0	false	wh_twm_emp_7,92mm_rifle_regular	40	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_field_pioneers_late	wh_twm_emp_inf_modern_field_pioneers_late	missile_infantry	inf_ranged	inf_mis	twm_engineer	twm_missile_infantry	false	120	0	0	false	wh_twm_emp_7,92mm_carbine_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_fortress_pioneers	wh_twm_emp_inf_modern_fortress_pioneers	missile_infantry	inf_ranged	inf_mis	twm_engineer	twm_missile_infantry	false	120	0	0	false	wh_twm_emp_7,92mm_carbine_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_base_engineers	wh_twm_emp_inf_modern_base_engineers	missile_infantry	inf_ranged	inf_mis	twm_engineer	twm_missile_infantry	false	120	0	0	false	wh_twm_emp_7,92mm_carbine_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_vanguard_infantry_early	wh_twm_emp_inf_modern_vanguard_infantry_early	melee_infantry	inf_melee	inf_mel	twm_emp_assault_infantry	twm_melee_infantry	false	120	0	0	false	wh_twm_emp_fragmentation_grenade_stick	6	melee	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_vanguard_infantry_late	wh_twm_emp_inf_modern_vanguard_infantry_late	melee_infantry	inf_melee	inf_mel	twm_emp_bulwark_infantry	twm_melee_infantry	false	120	0	0	false	wh_twm_emp_12_shotgun_short	30	melee	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_mountain_infantry	wh_twm_emp_inf_modern_mountain_infantry	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_regular	50	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_marine_infantry	wh_twm_emp_inf_modern_marine_infantry	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_regular	50	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_colonial_infantry	wh_twm_emp_inf_modern_colonial_infantry	missile_infantry	inf_ranged	inf_mis	twm_rifle_infantry	twm_missile_infantry	false	160	0	0	false	wh_twm_emp_7,92mm_rifle_regular	60	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_sharpshooter_infantry	wh_twm_emp_inf_modern_sharpshooter_infantry	missile_infantry	inf_ranged	inf_mis	twm_sharpshooter	twm_missile_infantry	false	64	0	0	false	wh_twm_emp_7,92mm_rifle_scoped	35	skirmish	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_tank_rifle_infantry	wh_twm_emp_inf_modern_tank_rifle_infantry	missile_infantry	inf_ranged	inf_mis	twm_sharpshooter	twm_missile_infantry	false	32	0	0	false	wh_twm_emp_13,25mm_rifle	35	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_flamer_infantry	wh_twm_emp_inf_modern_flamer_infantry	missile_infantry	inf_ranged	inf_mis	twm_flamer_infantry	twm_missile_infantry	false	32	0	0	false	wh_twm_emp_flamethrower	72	archer	small	jar_adj_com_unit_set_infantry
wh_twm_emp_inf_modern_shock_infantry_early	wh_twm_emp_inf_modern_shock_infantry_early	missile_infantry	inf_ranged	inf_mis	twm_elite_infantry	twm_missile_infantry	false	120	0	0	false	wh_twm_emp_7,92mm_carbine_veteran	75	archer	small	jar_adj_com_unit_set_infantry
