mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
teb_pikemen	teb_pikemen	melee_infantry	inf_melee	inf_spr	infantry_pike	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_montante_greatswords	teb_montante_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	90	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_republican_guard	teb_republican_guard	melee_infantry	inf_melee	inf_spr	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_paymaster	teb_paymaster	chariot	war_machine	chariot	teb_paymaster	missile_cavalry_chariots	true	6	1	2	true	teb_paymaster_wagon	240	melee	medium	jar_adj_com_unit_set_chariots_war_machines
teb_pavisiers	teb_pavisiers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	teb_crossbow	24	melee	small	jar_adj_com_unit_set_infantry
teb_sartosan_pirates	teb_sartosan_pirates	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	100	0	0	false	teb_pistol_pirates	24	archer	small	jar_adj_com_unit_set_infantry
teb_broken_lances	teb_broken_lances	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_noble_retinue	teb_noble_retinue	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_encarmine	teb_encarmine	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
teb_carabiniers	teb_carabiniers	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh_main_emp_rifle	20	skirmish	medium	jar_adj_com_unit_set_cavalry
teb_light_cannon	teb_light_cannon	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	44	4	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
teb_conqui_royal_guard	teb_conqui_royal_guard	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	teb_royal_guard	22	archer	small	jar_adj_com_unit_set_infantry
teb_conqui_adventurers	teb_conqui_adventurers	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
teb_conqui_riders	teb_conqui_riders	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh2_dlc13_emp_pistol_noble_sons	24	skirmish	medium	jar_adj_com_unit_set_cavalry
teb_conqui_lancers	teb_conqui_lancers	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
