mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
cr_skv_mon_chimaerat_0	cr_skv_mon_chimaerat_0	monster	inf_melee	inf_mel	cr_skv_mon_chimaerat	monster_beasts	true	1	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cr_skv_mon_chimaerat_0_flesh_lab	cr_skv_mon_chimaerat_0	monster	inf_melee	inf_mel	cr_skv_mon_chimaerat	monster_beasts	true	1	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cr_skv_mon_aberrations_0	cr_skv_mon_aberrations_0	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_aberrations_0_flesh_lab	cr_skv_mon_aberrations_0	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_giant_rats_0	cr_skv_mon_giant_rats_0	war_beast	inf_melee	inf_mel	cr_skv_mon_giant_rat	monster_beasts	true	120	0	0	false		0		small	jar_adj_com_unit_set_war_beasts
cr_skv_mon_giant_rats_0_flesh_lab	cr_skv_mon_giant_rats_0	war_beast	inf_melee	inf_mel	cr_skv_mon_giant_rat	monster_beasts	true	120	0	0	false		0		small	jar_adj_com_unit_set_war_beasts
cr_skv_mon_burrowing_behemoth_0	cr_skv_mon_burrowing_behemoth_0	monster	inf_melee	inf_mel	wh2_dlc16_skv_brood_horror	monster_beasts	true	1	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cr_skv_mon_burrowing_behemoth_0_flesh_lab	cr_skv_mon_burrowing_behemoth_0	monster	inf_melee	inf_mel	wh2_dlc16_skv_brood_horror	monster_beasts	true	1	0	0	true		0		very_large	jar_adj_com_unit_set_single_entities
cr_skv_mon_armoured_rat_ogre_0	cr_skv_mon_armoured_rat_ogre_0	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_armoured_rat_ogre_0_flesh_lab	cr_skv_mon_armoured_rat_ogre_0	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_0	cr_skv_mon_stormfiend_0	monstrous_missile_infantry	inf_ranged	inf_mis	cr_skv_stormfiend_gun	missile_monster_beasts	true	4	0	0	false	cr_skv_stormfiend_ratling_gun	720		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_1	cr_skv_mon_stormfiend_1	monstrous_missile_infantry	inf_ranged	inf_mis	cr_skv_stormfiend_warpfire	missile_monster_beasts	true	4	0	0	false	cr_skv_stormfiend_warpfire_thrower	100		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_ror_tech_lab_0	cr_skv_mon_stormfiend_ror_tech_lab_0	monstrous_missile_infantry	inf_ranged	inf_mis	cr_skv_stormfiend_gun	missile_monster_beasts	true	4	0	0	false	cr_skv_stormfiend_ratling_gun	720		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_ror_tech_lab_1	cr_skv_mon_stormfiend_ror_tech_lab_1	monstrous_missile_infantry	inf_ranged	inf_mis	cr_skv_stormfiend_warpfire	missile_monster_beasts	true	4	0	0	false	cr_skv_stormfiend_warpfire_thrower	100		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_3	cr_skv_mon_stormfiend_3	monstrous_infantry	inf_melee	inf_mel	cr_skv_stormfiend_grinderfists	monster_beasts	true	4	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_4	cr_skv_mon_stormfiend_4	monstrous_infantry	inf_melee	inf_mel	cr_skv_stormfiend_shockgauntlets	monster_beasts	true	4	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_2	cr_skv_mon_stormfiend_2	monstrous_infantry	inf_melee	inf_mel	cr_skv_stormfiend_warp_braziers	monster_beasts	true	4	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_5	cr_skv_mon_stormfiend_5	monstrous_missile_infantry	inf_ranged	inf_mis	cr_skv_stormfiend_mortar	missile_monster_beasts	true	4	0	0	false	cr_skv_stormfiend_windlauncher	60		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_6	cr_skv_mon_stormfiend_6	monstrous_infantry	inf_melee	inf_mel	cr_skv_stormfiend_doomflayers	monster_beasts	true	4	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
cr_skv_mon_stormfiend_ror_tech_lab_2	cr_skv_mon_stormfiend_ror_tech_lab_2	monstrous_infantry	inf_melee	inf_mel	cr_skv_stormfiend_doomflayers	monster_beasts	true	4	0	0	false		0		large	jar_adj_com_unit_set_monstrous_infantry
pj_dummy_summoned_behemoth	pj_dummy_summoned_behemoth	monster	inf_melee	inf_mel	wh2_dlc16_skv_brood_horror	monster_beasts	true	1	0	0	true		0		small	jar_adj_com_unit_set_single_entities
