mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
str_ironarm_crimson_death	str_ironarm_crimson_death	melee_infantry	inf_melee	inf_mel	infantry_axe_great_grn	infantry	true	16	0	0	true		0	skirmish	small	jar_adj_com_unit_set_single_entities
wh2_dlc15_grn_mnt_arachnarok_spider_red_moon	wh2_dlc15_grn_mnt_arachnarok_spider_red_moon	monster	war_beast	inf_mel	grn_arachnarok	monster_beasts	true	1	0	1	true		200	skirmish	very_large	jar_adj_com_unit_set_single_entities
kou_laddrielle_wolves	kou_laddrielle_wolves	war_beast	inf_melee	inf_mel	war_beast	monster_beasts	true	36	0	0	false		0	skirmish	medium	jar_adj_com_unit_set_war_beasts
kou_eonir_explorers	kou_eonir_explorers	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	wh_dlc05_wef_scout_bow	25	skirmish	small	jar_adj_com_unit_set_infantry
kou_queen_ror_treekin	kou_queen_ror_treekin	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	skirmish	large	jar_adj_com_unit_set_monstrous_infantry
kou_elf_wolf_rider	kou_elf_wolf_rider	war_beast	war_beast	com	wh_dlc05_wef_wild_riders	cavalry_chariots	true	1	0	1	false		0	skirmish	small	jar_adj_com_unit_set_single_entities
camera_skelly_bones	camera_skelly_bones	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	1	0	0	false		0	skirmish	small	jar_adj_com_unit_set_single_entities
werebear_werebearus	werebear_werebearus	melee_infantry	inf_melee	com	wh_dlc08_nor_skin_wolf_werekin	heroes_agents	true	1	0	0	true		0	skirmish	large	jar_adj_com_unit_set_single_entities
bear_dead_baron	bear_dead_baron	monster	inf_melee	inf_mel	wh3_main_monster_feral_bear	monster_beasts	true	1	0	0	true		0	skirmish	medium	jar_adj_com_unit_set_single_entities
dust_gutrot_blight_kings	dust_gutrot_blight_kings	monstrous_infantry	inf_melee	inf_mel	infantry_sword_dual	infantry	true	16	0	0	false		0	skirmish	large	jar_adj_com_unit_set_monstrous_infantry
dust_gutrot_flies_summon	dust_gutrot_flies_summon	monstrous_infantry	inf_melee	inf_mel	wh3_main_nur_rot_flies	monster_beasts	true	12	0	0	false		0	skirmish	medium	jar_adj_com_unit_set_monstrous_infantry
dust_gutrot_flies_riders_summon	dust_gutrot_flies_riders_summon	monstrous_cavalry	cavalry	cav_mel	wh3_main_nur_rot_flies	monster_beasts	true	12	0	12	false		0	skirmish	medium	jar_adj_com_unit_set_cavalry
