mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
hkrul_mar_inf_boogschutter	hkrul_mar_inf_boogschutter	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_bow	missile_infantry	true	90	0	0	false	wh2_dlc13_emp_bow_archers	20		small	jar_adj_com_unit_set_infantry
hkrul_mar_inf_crossbow	hkrul_mar_inf_crossbow	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22		small	jar_adj_com_unit_set_infantry
hkrul_mar_inf_greatsword	hkrul_mar_inf_greatsword	melee_infantry	inf_melee	inf_mel	hkrul_mar_inf_gsword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_inf_halberd	hkrul_mar_inf_halberd	melee_infantry	inf_melee	inf_mel	hkrul_mar_infantry_spear_halberd	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_inf_handgun	hkrul_mar_inf_handgun	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22		small	jar_adj_com_unit_set_infantry
hkrul_mar_inf_swords	hkrul_mar_inf_swords	melee_infantry	inf_melee	inf_mel	hkrul_mar_inf_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_inf_goedendagers	hkrul_mar_inf_goedendagers	melee_infantry	inf_melee	inf_mel	infantry_goedendag	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_riverwarden	hkrul_mar_riverwarden	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_pistol	missile_infantry	true	120	0	0	false	wh_dlc04_emp_free_company_pistol	18		small	jar_adj_com_unit_set_infantry
hkrul_mar_qual	hkrul_mar_qual	melee_infantry	inf_melee	inf_mel	hkrul_mar_infantry_axe	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_qual_great	hkrul_mar_qual_great	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_bow	missile_infantry	true	80	0	0	false	wh_main_dwf_crossbow	22		small	jar_adj_com_unit_set_infantry
hkrul_mar_black_caps	hkrul_mar_black_caps	melee_infantry	inf_melee	inf_mel	infantry_goedendag	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_carriers	hkrul_carriers	melee_infantry	inf_melee	spcl	hkrul_mar_wh_dlc07_brt_grail_relique	infantry	true	1	0	0	true		0		large	jar_adj_com_unit_set_single_entities
hkrul_burgher	hkrul_burgher	melee_infantry	inf_melee	inf_mel	hkrul_mar_infantry_spear	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_privateers_dual_swords	hkrul_privateers_dual_swords	melee_infantry	inf_melee	inf_mel	hkrul_mar_wh2_main_infantry_dual_swords	infantry	true	100	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_handguns	hkrul_mar_handguns	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_rifle	missile_infantry	true	90	0	0	false	hkrul_mar_handgun	18		small	jar_adj_com_unit_set_infantry
hkrul_privateers	hkrul_privateers	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_pistol	missile_infantry	true	120	0	0	false	hkrul_mar_pistol	18		small	jar_adj_com_unit_set_infantry
hkrul_mar_inf_cairn_wraiths_summoned_0	hkrul_mar_inf_cairn_wraiths_summoned_0	melee_infantry	inf_melee	inf_mel	vmp_infantry_scythe	infantry	true	60	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_knights_mariner	hkrul_mar_knights_mariner	melee_infantry	inf_melee	inf_mel	hkrul_mar_inf_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_knights_mariner_fmc	hkrul_mar_knights_mariner_fmc	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_pistol	missile_infantry	true	120	0	0	false	hkrul_mar_mariner_pistol	17		small	jar_adj_com_unit_set_infantry
hkrul_manann_flagellant	hkrul_manann_flagellant	melee_infantry	inf_melee	inf_mel	wh_dlc04_emp_flagelllents	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_defenders	hkrul_mar_defenders	melee_infantry	inf_melee	inf_mel	hkrul_mar_inf_gsword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
rhox_mar_cst_inf_sartosa_free_company_0	rhox_mar_cst_inf_sartosa_free_company_0	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
rhox_mar_cst_inf_sartosa_militia_0	rhox_mar_cst_inf_sartosa_militia_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	120	0	0	false	wh_dlc04_emp_free_company_pistol	18		small	jar_adj_com_unit_set_infantry
hkrul_pion	hkrul_pion	melee_infantry	inf_melee	inf_mel	hkrul_mar_infantry_spear_halberd	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_klumpf	hkrul_klumpf	melee_infantry	inf_melee	inf_mel	hkrul_mar_inf_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_carriers_ror	hkrul_carriers_ror	melee_infantry	inf_melee	spcl	hkrul_mar_wh_dlc07_brt_grail_relique	infantry	true	1	0	0	true		0		large	jar_adj_com_unit_set_single_entities
hkrul_mar_art_paixhan_ror	hkrul_mar_art_paixhan_ror	warmachine	artillery	art_fld	hkrul_mar_cannon	artillery_war_machines	true	44	4	0	false		22		small	jar_adj_com_unit_set_chariots_war_machines
hkrul_mar_mananns_blades_ror	hkrul_mar_mananns_blades_ror	melee_infantry	inf_melee	inf_mel	hkrul_mar_inf_sword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_bordermen_ror	hkrul_mar_bordermen_ror	missile_cavalry	cavalry	cav_mis	hkrul_mar_missile_cavalry_rifle	missile_cavalry_chariots	true	48	0	48	false	wh2_dlc13_emp_grenade_launcher_bordermen	18		medium	jar_adj_com_unit_set_cavalry
hkrul_mar_teuling	hkrul_mar_teuling	melee_cavalry	cavalry	cav_shk	hkrul_mar_cav	cavalry_chariots	true	60	0	60	false		0		small	jar_adj_com_unit_set_cavalry
hkrul_mar_talons	hkrul_mar_talons	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_rifle	missile_infantry	true	90	0	0	false	hkrul_talons	22		small	jar_adj_com_unit_set_infantry
hkrul_fooger_ror	hkrul_fooger_ror	melee_infantry	inf_melee	inf_mel	hkrul_mar_inf_gsword	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_riverwarden_ror	hkrul_mar_riverwarden_ror	missile_infantry	inf_ranged	inf_mis	hkrul_mar_missile_infantry_pistol	missile_infantry	true	120	0	0	false	wh_dlc04_emp_free_company_pistol	18		small	jar_adj_com_unit_set_infantry
hkrul_mar_naval_paixhan	hkrul_mar_naval_paixhan	warmachine	artillery	art_fld	hkrul_mar_cannon	artillery_war_machines	true	44	4	0	false		22		small	jar_adj_com_unit_set_chariots_war_machines
ovn_mar_inf_knights_mariner_0	ovn_mar_inf_knights_mariner_0	melee_infantry	inf_melee	inf_mel	infantry_trident	infantry	true	120	0	0	false		0		small	jar_adj_com_unit_set_infantry
hkrul_mar_cav_rijders	hkrul_mar_cav_rijders	melee_cavalry	cavalry	cav_mel	hkrul_mar_cav	cavalry_chariots	true	60	0	60	false		0		medium	jar_adj_com_unit_set_cavalry
hkrul_mar_cav_rijders_crossbow	hkrul_mar_cav_rijders_crossbow	missile_cavalry	cavalry	cav_mis	hkrul_mar_missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	wh_main_emp_crossbow	18		medium	jar_adj_com_unit_set_cavalry
