mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
nor_longship	hkrul_sarl_hunters	missile_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	90	0	0	false	hkrul_sarl_hunters	25		small	jar_ac_unit_set_infantry
deco_nor_huskarls	hkrul_sarl_hunters	missile_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	90	0	0	false	hkrul_sarl_hunters	25		small	jar_ac_unit_set_infantry
deco_nor_maidens	hkrul_sarl_hunters	missile_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	90	0	0	false	hkrul_sarl_hunters	25		small	jar_ac_unit_set_infantry
nor_shield_spear	hkrul_sarl_hunters	melee_infantry	inf_ranged	inf_mel	hkrul_norsca_missile_bow	hkrul_nor_norsca	false	120	0	0	false	hkrul_sarl_hunters	25		small	jar_ac_unit_set_infantry
r1kko_adella_kho_bastiladon	r1kko_adella_kho_bastiladon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_bastiladon	monster_beasts	true	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
r1kko_adella_nur_bastiladon	r1kko_adella_nur_bastiladon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_bastiladon	monster_beasts	true	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
r1kko_adella_sla_bastiladon	r1kko_adella_sla_bastiladon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_bastiladon	monster_beasts	true	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
r1kko_adella_tze_bastiladon	r1kko_adella_tze_bastiladon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_bastiladon	monster_beasts	true	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
r1kko_adella_kho_carnosaur	r1kko_adella_kho_carnosaur	monster	inf_melee	inf_mel	wh2_dlc17_lzd_carnosaur	monster_beasts	true	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
r1kko_adella_nur_stegadon	r1kko_adella_nur_stegadon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_stegadon_feral	monster_beasts	true	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
r1kko_adella_sla_troglodon	r1kko_adella_sla_troglodon	monster	inf_melee	inf_mel	wh2_dlc17_lzd_troglodon	missile_monster_beasts	true	1	0	0	true	wh2_dlc17_lzd_troglodon_spit	20		very_large	jar_ac_unit_set_single_entities
r1kko_adella_tze_coatl	r1kko_adella_tze_coatl	monster	inf_melee	inf_mel	wh2_dlc17_lzd_coatl	monster_beasts	true	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
rhox_skeggi_dodvakt	rhox_skeggi_dodvakt	melee_cavalry	war_beast	cav_mel	wh2_main_cold_one	cavalry_chariots	true	48	0	48	false		0		medium	jar_ac_unit_set_cavalry
hkrul_skeggi_giant_ror	hkrul_skeggi_giant_ror	monster	inf_melee	inf_mel	hkrul_norsca_beast	hkrul_nor_norsca	false	1	0	0	true		0		very_large	jar_ac_unit_set_single_entities
wh_mod_nor_cav_cold_one_riders_def	wh_mod_nor_cav_cold_one_riders_1	melee_cavalry	war_beast	cav_mel	wh2_main_cold_one	cavalry_chariots	true	24	0	24	false		0		medium	jar_ac_unit_set_cavalry
scm_fc_norsca_aesling_nor_marauder_throwing_axe	scm_fc_norsca_aesling_nor_marauder_throwing_axe	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_throwing_axe	12		small	jar_ac_unit_set_infantry
scm_fc_norsca_aesling_nor_marauder_javelins	scm_fc_norsca_aesling_nor_marauder_javelins	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_missile	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_javelin_heavy	12		small	jar_ac_unit_set_infantry
scm_fc_norsca_aesling_nor_marauder_spear	scm_fc_norsca_aesling_nor_marauder_spear	melee_infantry	inf_melee	inf_mel	hkrul_norsca_spear	hkrul_nor_norsca	false	120	0	0	false		0		small	jar_ac_unit_set_infantry
scm_fc_norsca_aesling_nor_marauder_horsemen_throwing_axe	scm_fc_norsca_aesling_nor_marauder_horsemen_throwing_axe	missile_cavalry	war_beast	cav_mis	hkrul_norsca_axe_throwing	hkrul_nor_norsca	false	60	0	60	false	wh_main_chs_throwing_axe	12		small	jar_ac_unit_set_cavalry
scm_fc_norsca_aesling_nor_marauder	scm_fc_norsca_aesling_nor_marauder	melee_infantry	inf_melee	inf_mel	hkrul_norsca_axe	hkrul_nor_norsca	false	120	0	0	false		0		small	jar_ac_unit_set_infantry
scm_fc_norsca_aesling_nor_marauder_great_weapons	scm_fc_norsca_aesling_nor_marauder_great_weapons	melee_infantry	inf_melee	inf_mel	hkrul_norsca_axe_great	hkrul_nor_norsca	false	120	0	0	false		0		small	jar_ac_unit_set_infantry
scm_fc_norsca_bloodfjord_nor_marauder_javelins	scm_fc_norsca_bloodfjord_nor_marauder_javelins	missile_infantry	inf_ranged	inf_mis	hkrul_norsca_missile	hkrul_nor_norsca	false	90	0	0	false	wh_dlc08_nor_javelin_heavy	12		small	jar_ac_unit_set_infantry
scm_fc_norsca_bloodfjord_nor_marauder_spear	scm_fc_norsca_bloodfjord_nor_marauder_spear	melee_infantry	inf_melee	inf_mel	hkrul_norsca_spear	hkrul_nor_norsca	false	120	0	0	false		0		small	jar_ac_unit_set_infantry
