mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh_com_cav_winged_hussars	wh_com_cav_winged_hussars	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
wh_com_cav_petyhorcy	wh_com_cav_petyhorcy	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
wh_com_inf_polish_hungarian_muskets	wh_com_inf_polish_hungarian_muskets	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	120	0	0	false	wh_long_rifle	22	archer	small	jar_adj_com_unit_set_infantry
wh_com_art_demi_culverines	wh_com_art_demi_culverines	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	24	2	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
wh_com_inf_german_muskets	wh_com_inf_german_muskets	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	120	0	0	false	wh_long_rifle	22	archer	small	jar_adj_com_unit_set_infantry
wh_com_inf_german_pikes	wh_com_inf_german_pikes	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_com_inf_scottish_greatswords	wh_com_inf_scottish_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_com_cav_pancerni	wh_com_cav_pancerni	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
wh_com_cav_dragoons	wh_com_cav_dragoons	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	60	0	60	false	wh_short_rifle	116	skirmish	medium	jar_adj_com_unit_set_cavalry
wh_com_art_octave_guns	wh_com_art_octave_guns	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	48	4	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
wh_com_inf_polish_muskets	wh_com_inf_polish_muskets	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	120	0	0	false	wh_long_rifle	22	archer	small	jar_adj_com_unit_set_infantry
wh_com_cav_tatars	wh_com_cav_tatars	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow	missile_cavalry_chariots	true	60	0	60	false	wh_main_brt_horse_bow	18	skirmish	medium	jar_adj_com_unit_set_cavalry
wh_com_cav_lisowczycy	wh_com_cav_lisowczycy	missile_cavalry	cavalry	cav_mis	missile_cavalry_pistol	missile_cavalry_chariots	true	60	0	60	false	wh_pistol	24	skirmish	medium	jar_adj_com_unit_set_cavalry
wh_com_art_falconets	wh_com_art_falconets	warmachine	artillery	art_fld	artillery_cannon	artillery_war_machines	true	96	8	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
wh_com_inf_grod_wardens	wh_com_inf_grod_wardens	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
wh_com_cav_wallachians	wh_com_cav_wallachians	melee_cavalry	cavalry	cav_shk	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
