mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
str_urgat_wolf_chariot	str_urgat_wolf_chariot	chariot	war_machine	chariot	chariot	cavalry_chariots	true	56	8	3	false		0	melee	small	jar_adj_com_unit_set_chariots_war_machines
dec_spirit_host	dec_spirit_host	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
dec_reapers	dec_reapers	melee_infantry	inf_melee	inf_mel	vmp_infantry_scythe	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
dec_lahmian	dec_lahmian	melee_infantry	inf_melee	inf_mel	wh2_main_infantry_dual_swords	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
dec_hell_knights	dec_hell_knights	monstrous_cavalry	cavalry	cav_shk	cavalry_flying	cavalry_chariots	true	24	0	24	false		0	melee	medium	jar_adj_com_unit_set_cavalry
dec_kastellans	dec_kastellans	melee_cavalry	cavalry	cav_shk	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	small	jar_adj_com_unit_set_cavalry
deco_bugman_thrower	deco_bugman_thrower	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	32	4	0	false		22	artillery	small	jar_adj_com_unit_set_chariots_war_machines
deco_irondrakes_drakefire	deco_irondrakes_drakefire	missile_infantry	inf_ranged	inf_mis	missile_infantry_pistol	missile_infantry	true	28	0	0	false	deco_irondrakes_missile	22	archer	small	jar_adj_com_unit_set_infantry
deco_hammerers_dual	deco_hammerers_dual	melee_infantry	inf_melee	inf_mel	infantry_hammer_great	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
deco_old_guard	deco_old_guard	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	16	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
deco_prospectors	deco_prospectors	melee_infantry	inf_melee	inf_mel	infantry_pickaxe	infantry	true	28	0	0	false	deco_prospectors_charges	2	archer	small	jar_adj_com_unit_set_infantry
deco_meadow_chariots	deco_meadow_chariots	chariot	war_machine	chariot	missile_chariot	missile_cavalry_chariots	true	12	4	2	false	deco_meadow_chariots	150	skirmish	medium	jar_adj_com_unit_set_chariots_war_machines
deco_glade_knights	deco_glade_knights	melee_cavalry	cavalry	cav_shk	cavalry	cavalry_chariots	true	48	0	48	false		0	melee	medium	jar_adj_com_unit_set_cavalry
