mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
deco_backstabbers	deco_backstabbers	melee_infantry	inf_melee	inf_mel	infantry_dual_sword_goblin	infantry	true	120	0	0	false	wh3_dlc23_chd_hobgoblin_throwing_knife	3	melee	small	jar_adj_com_unit_set_infantry
deco_magma_beasts	deco_magma_beasts	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
deco_warriors_horde	deco_warriors_horde	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	80	0	0	false	deco_warriors_horde_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
deco_bahal_guardians	deco_bahal_guardians	melee_cavalry	inf_melee	inf_mel	chd_bull_centaurs_great_weapons	cavalry_chariots	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_cavalry
deco_kinslayers	deco_kinslayers	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	80	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
deco_doombringer	deco_doombringer	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
ror_bret_fracasse	ror_bret_fracasse	melee_cavalry	cavalry	cav_shk	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
ror_bret_fastric	ror_bret_fastric	monstrous_cavalry	cavalry	cav_mel	cavalry_flying_rare	cavalry_chariots	true	24	0	24	false		0	melee	medium	jar_adj_com_unit_set_cavalry
ror_bret_ennar	ror_bret_ennar	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	ror_bret_ennar_bow	22	archer	small	jar_adj_com_unit_set_infantry
ror_bret_mayonne	ror_bret_mayonne	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
ror_bret_salles	ror_bret_salles	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	7	0	7	false		0	melee	medium	jar_adj_com_unit_set_cavalry
ror_bret_elcyd	ror_bret_elcyd	warmachine	inf_melee	spcl	wh_dlc07_brt_grail_relique	infantry	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_chariots_war_machines
ror_bret_dason	ror_bret_dason	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		25	melee	small	jar_adj_com_unit_set_chariots_war_machines
ror_bret_flame	ror_bret_flame	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	80	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
ror_bret_mob	ror_bret_mob	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
