mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh_main_emp_cav_outriders_1	wh_main_emp_cav_outriders_1	missile_cavalry	cavalry	cav_mis	missile_cavalry_rifle	missile_cavalry_chariots	true	48	0	48	false	wh_main_emp_grenade_launcher	18	skirmish	medium	jar_adj_com_unit_set_cavalry
rek_inf_crossbowmen	rek_inf_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
rek_inf_greatswords	rek_inf_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rek_inf_halberdiers	rek_inf_halberdiers	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rek_inf_handgunners	rek_inf_handgunners	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	90	0	0	false	wh_main_emp_rifle	22	archer	small	jar_adj_com_unit_set_infantry
rek_inf_spearmen_0	rek_inf_spearmen_0	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rek_inf_spearmen_1	rek_inf_spearmen_1	melee_infantry	inf_melee	inf_mel	infantry_spear	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
rek_inf_swordsmen	rek_inf_swordsmen	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
tab_inf_crossbowmen	tab_inf_crossbowmen	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	90	0	0	false	wh_main_emp_crossbow	22	archer	small	jar_adj_com_unit_set_infantry
tab_inf_greatswords	tab_inf_greatswords	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	120	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
