mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh_dlc03_nur_inf_cygor_0	wh_dlc03_nur_inf_cygor_0	missile_infantry	inf_ranged	spcl	wh_dlc03_bst_cygor	monster_beasts	true	1	0	0	true	wh_dlc03_nur_cygor_rock	25	artillery	very_large	jar_adj_com_unit_set_single_entities
wh_dlc03_kho_inf_cygor_0	wh_dlc03_kho_inf_cygor_0	missile_infantry	inf_ranged	spcl	wh_dlc03_bst_cygor	monster_beasts	true	1	0	0	true	wh_dlc03_kho_cygor_rock	25	artillery	very_large	jar_adj_com_unit_set_single_entities
wh_dlc03_sla_inf_cygor_0	wh_dlc03_sla_inf_cygor_0	missile_infantry	inf_ranged	spcl	wh_dlc03_bst_cygor	monster_beasts	true	1	0	0	true	wh_dlc03_sla_cygor_rock	25	artillery	very_large	jar_adj_com_unit_set_single_entities
wh_dlc03_tze_inf_cygor_0	wh_dlc03_tze_inf_cygor_0	missile_infantry	inf_ranged	spcl	wh_dlc03_bst_cygor	monster_beasts	true	1	0	0	true	wh_dlc03_tze_cygor_rock	25	artillery	very_large	jar_adj_com_unit_set_single_entities
wh_dlc03_und_inf_cygor_0	wh_dlc03_und_inf_cygor_0	missile_infantry	inf_ranged	spcl	wh_dlc03_bst_cygor	monster_beasts	true	1	0	0	true	wh_dlc03_und_cygor_rock	25	artillery	very_large	jar_adj_com_unit_set_single_entities
kho_incarnate_elemental_of_beasts	kho_incarnate_elemental_of_beasts	monster	inf_melee	inf_mel	wh3_dlc24_mon_incarnate_elemental_of_beasts	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
nur_incarnate_elemental_of_beasts	nur_incarnate_elemental_of_beasts	monster	inf_melee	inf_mel	wh3_dlc24_mon_incarnate_elemental_of_beasts	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
sla_incarnate_elemental_of_beasts	sla_incarnate_elemental_of_beasts	monster	inf_melee	inf_mel	wh3_dlc24_mon_incarnate_elemental_of_beasts	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
tze_incarnate_elemental_of_beasts	tze_incarnate_elemental_of_beasts	monster	inf_melee	inf_mel	wh3_dlc24_mon_incarnate_elemental_of_beasts	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
und_incarnate_elemental_of_beasts	und_incarnate_elemental_of_beasts	monster	inf_melee	inf_mel	wh3_dlc24_mon_incarnate_elemental_of_beasts	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_kho_ghorgon	cf_kho_ghorgon	monster	inf_melee	inf_mel	wh2_dlc17_bst_ghorgon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_nur_ghorgon	cf_nur_ghorgon	monster	inf_melee	inf_mel	wh2_dlc17_bst_ghorgon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_sla_ghorgon	cf_sla_ghorgon	monster	inf_melee	inf_mel	wh2_dlc17_bst_ghorgon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_tze_ghorgon	cf_tze_ghorgon	monster	inf_melee	inf_mel	wh2_dlc17_bst_ghorgon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
cf_und_ghorgon	cf_und_ghorgon	monster	inf_melee	inf_mel	wh2_dlc17_bst_ghorgon	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
wh_main_chs_kho_giant	wh_main_chs_kho_giant	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
wh_main_chs_nur_giant	wh_main_chs_nur_giant	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
wh_main_chs_sla_giant	wh_main_chs_sla_giant	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
wh_main_chs_tze_giant	wh_main_chs_tze_giant	monster	inf_melee	inf_mel	giant	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
kho_gorebeast	kho_gorebeast	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
nur_gorebeast	nur_gorebeast	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
sla_gorebeast	sla_gorebeast	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
tze_gorebeast	tze_gorebeast	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
und_gorebeast	und_gorebeast	monstrous_infantry	inf_melee	inf_mel	monstrous_infantry	monster_beasts	true	16	0	0	false		0	melee	large	jar_adj_com_unit_set_monstrous_infantry
kho_jabberslythe	kho_jabberslythe	monster	inf_melee	inf_mel	wh2_dlc17_bst_jabberslythe	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
nur_jabberslythe	nur_jabberslythe	monster	inf_melee	inf_mel	wh2_dlc17_bst_jabberslythe	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
sla_jabberslythe	sla_jabberslythe	monster	inf_melee	inf_mel	wh2_dlc17_bst_jabberslythe	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
tze_jabberslythe	tze_jabberslythe	monster	inf_melee	inf_mel	wh2_dlc17_bst_jabberslythe	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
und_jabberslythe	und_jabberslythe	monster	inf_melee	inf_mel	wh2_dlc17_bst_jabberslythe	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
nur_rot_beast	nur_rot_beast	war_beast	inf_melee	spcl	war_beast	monster_beasts	true	32	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
kho_juggernaut	kho_juggernaut	war_beast	inf_melee	spcl	kho_juggernaut	monster_beasts	true	32	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
cf_eye_of_tze	cf_eye_of_tze	warmachine	war_beast	inf_mis	cf_eye_of_tze	flying_war_machine	true	1	0	0	true	cf_eye_of_tze	140	artillery	very_large	jar_adj_com_unit_set_chariots_war_machines
wh3_main_und_mon_soul_grinder_0	wh3_main_und_mon_soul_grinder_0	monster	inf_melee	inf_mel	wh3_main_soul_grinder_melee	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
sla_steed	sla_steed	war_beast	inf_melee	inf_mel	sla_steed	monster_beasts	true	60	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
sla_valkyrie	sla_valkyrie	monster	inf_melee	inf_mel	wh_dlc05_bst_harpies	monster_beasts	true	1	0	0	true		0	melee	small	jar_adj_com_unit_set_single_entities
exalted_flesh_hounds_of_khorne	exalted_flesh_hounds_of_khorne	war_beast	inf_melee	spcl	war_beast	monster_beasts	true	16	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
tze_clandestine_coatl	tze_clandestine_coatl	monster	inf_melee	inf_mel	wh2_dlc17_lzd_coatl	monster_beasts	true	1	0	0	true		0	melee	very_large	jar_adj_com_unit_set_single_entities
tze_pink_squigularities	tze_pink_squigularities	war_beast	inf_melee	inf_mel	wh2_dlc15_squig_explosive	monster_beasts	true	40	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
tze_blue_squigularities	tze_blue_squigularities	war_beast	inf_melee	inf_mel	wh_dlc06_grn_squig	monster_beasts	true	40	0	0	false		0	melee	medium	jar_adj_com_unit_set_war_beasts
tze_exalted_screamer	tze_exalted_screamer	monstrous_infantry	inf_melee	inf_mel	wh3_main_tze_screamer	monster_beasts	true	1	0	0	true		0	melee	medium	jar_adj_com_unit_set_single_entities
tze_pink_horror_exalted_disc	tze_pink_horror_exalted_disc	missile_cavalry	inf_ranged	inf_mis	tze_pink_horror_exalted_disc	missile_cavalry_chariots	true	40	0	0	false	tze_pink_horror_exalted_disc_fire_bolt	20	skirmish	medium	jar_adj_com_unit_set_cavalry
tze_veh_burning_chariots	tze_veh_burning_chariots	chariot	war_beast	chariot	wh3_main_tze_burning_chariot	missile_cavalry_chariots	true	1	0	1	false	tze_burning_chariot_flamer	108	skirmish	large	jar_adj_com_unit_set_chariots_war_machines
tze_fate_reapers	tze_fate_reapers	melee_infantry	inf_melee	inf_mel	vmp_infantry_scythe	infantry	true	15	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
tze_exalted_purple_horrors	tze_exalted_purple_horrors	melee_infantry	inf_melee	inf_mel	wh3_main_tze_blue_horror	infantry	true	160	0	0	false		0	archer	small	jar_adj_com_unit_set_infantry
king_rot_fly	king_rot_fly	monstrous_infantry	inf_melee	inf_mel	wh3_main_nur_rot_flies	monster_beasts	true	1	0	0	false		0	melee	large	jar_adj_com_unit_set_single_entities
queen_rot_fly	queen_rot_fly	monstrous_infantry	inf_melee	inf_mel	wh3_main_nur_rot_flies	monster_beasts	true	1	0	0	false		0	melee	large	jar_adj_com_unit_set_single_entities
wh3_main_nur_mon_rot_flies_0_summoned	wh3_main_nur_mon_rot_flies_0_summoned	monstrous_infantry	inf_melee	inf_mel	wh3_main_nur_rot_flies	monster_beasts	true	12	0	0	false		0	melee	medium	jar_adj_com_unit_set_monstrous_infantry
nur_bloated_plague_ogre	nur_bloated_plague_ogre	monster	inf_melee	inf_mel	wh2_dlc11_cst_exploding_monster	monster_beasts	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
nur_exalted_beast_of_nurgle	nur_exalted_beast_of_nurgle	monster	inf_melee	inf_mel	wh3_main_nur_beast_of_nurgle	monster_beasts	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
nur_exalted_nurglings	nur_exalted_nurglings	melee_infantry	inf_melee	inf_mel	wh3_main_nur_nurglings	infantry	true	60	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
nur_exalted_pox_riders	nur_exalted_pox_riders	monstrous_cavalry	cavalry	cav_mis	wh3_main_nur_toads	monster_beasts	true	24	0	24	false	wh3_nur_plaguebearers_deaths_head	4	melee	small	jar_adj_com_unit_set_cavalry
nur_gorged_toad_dragon	nur_gorged_toad_dragon	monster	inf_melee	inf_mel	nur_toad_dragon	monster_beasts	true	1	0	0	true	nur_gorged_toad_dragon	150	melee	very_large	jar_adj_com_unit_set_single_entities
nur_king_plague_toad	nur_king_plague_toad	melee_infantry	inf_melee	inf_mel	wh3_main_nur_toads	monster_beasts	true	1	0	0	false		0	melee	medium	jar_adj_com_unit_set_single_entities
sla_exaltant_fiends	sla_exaltant_fiends	monstrous_infantry	inf_melee	inf_mel	wh3_main_sla_fiend	monster_beasts	true	1	0	0	true		0	melee	large	jar_adj_com_unit_set_single_entities
sla_pleasure_portal	sla_pleasure_portal	chariot	war_machine	chariot	sla_pleasure_portal	missile_monster_beasts	true	1	1	0	true	sla_pleasure_portal	12	artillery	small	jar_adj_com_unit_set_chariots_war_machines
